method,seed,coef_fro_norm,coef_norm_fraction,coef_rms,head
l2_only,11,8.990520936720909,1.0,0.2293978001747425,l2
l2_only,23,8.999020208990014,1.0,0.2296146635106206,l2
l2_only,37,8.410289445956382,1.0,0.21459289303862267,l2
l1_l2_joint,11,8.62459937477838,0.5134503520604385,0.22006112191806101,l2
l1_l2_joint,11,8.17273914133812,0.4865496479395615,0.20853167392864924,l1
l1_l2_joint,23,9.359397967070816,0.5355737913889053,0.238809888739226,l2
l1_l2_joint,23,8.116061283463193,0.46442620861109474,0.20708550901711217,l1
l1_l2_joint,37,8.834917462127459,0.5201973739906272,0.22542749689392919,l2
l1_l2_joint,37,8.14886197211214,0.4798026260093728,0.20792243558379783,l1
l2_main_l1_aux,11,9.079654683049805,0.43080091986337526,0.23167209389733073,l2
l2_main_l1_aux,11,11.99656466654986,0.5691990801366247,0.30609856353488524,l1
l2_main_l1_aux,23,9.106175228101652,0.4466596095123509,0.23234877934605488,l2
l2_main_l1_aux,23,11.281106348675552,0.553340390487649,0.28784327383673913,l1
l2_main_l1_aux,37,8.749263663316492,0.43780810793641234,0.2232419958354096,l2
l2_main_l1_aux,37,11.23497944391085,0.5621918920635877,0.2866663219608279,l1
