method,seed,feature,block_index,layer,aggregation,feature_dim,coef_fro_norm,coef_rms,coef_norm_fraction
l2_only,11,l1_fixed250,0,l1,fixed250,2048,8.1387620745222,0.05191618286587205,1.0
l2_only,11,l1_l2_fixed250,0,l1,fixed250,2048,0.6440720155316413,0.0041084578011938615,0.33521661482660564
l2_only,11,l1_l2_fixed250,1,l2,fixed250,2048,1.277288642157699,0.008147670384215462,0.6647833851733943
l2_only,11,l1_l2_whole,0,l1,whole_count,128,0.6555045349183211,0.016725537860732134,0.2691844094174436
l2_only,11,l1_l2_whole,1,l2,whole_count,128,1.7796459120816872,0.04540858757739694,0.7308155905825564
l2_only,11,l1_whole,0,l1,whole_count,128,14.20204110056957,0.36237243752531545,1.0
l2_only,11,l1fixed250_l2whole,0,l1,fixed250,2048,2.471740608773147,0.015766935593777273,0.4997402534776721
l2_only,11,l1fixed250_l2whole,1,l2,whole_count,128,2.474310047687694,0.06313330294037878,0.500259746522328
l2_only,11,l1whole_l2fixed250,0,l1,whole_count,128,0.29394918438039247,0.00750026575040888,0.16655495039604593
l2_only,11,l1whole_l2fixed250,1,l2,fixed250,2048,1.4709289154984744,0.009382878361658064,0.833445049603954
l2_only,11,l2_fixed250,0,l2,fixed250,2048,1.514856248597826,0.009663085527946301,1.0
l2_only,11,l2_whole,0,l2,whole_count,128,1.9299950970697561,0.04924482493639783,1.0
l2_only,23,l1_fixed250,0,l1,fixed250,2048,8.317889428505664,0.05305881467898244,1.0
l2_only,23,l1_l2_fixed250,0,l1,fixed250,2048,0.2932367228468721,0.00187052173130408,0.32868655186501716
l2_only,23,l1_l2_fixed250,1,l2,fixed250,2048,0.5989102822039967,0.0038203765445470536,0.6713134481349828
l2_only,23,l1_l2_whole,0,l1,whole_count,128,0.6642677180417831,0.016949135018805583,0.2736960811303223
l2_only,23,l1_l2_whole,1,l2,whole_count,128,1.7627590603412344,0.044977710805249656,0.7263039188696778
l2_only,23,l1_whole,0,l1,whole_count,128,5.835477191550201,0.14889522421820212,1.0
l2_only,23,l1fixed250_l2whole,0,l1,fixed250,2048,5.022696448362785,0.03203917560254724,0.5467344255847603
