method,seed,epoch,train_ba,val_ba,train_loss,val_loss,train_main_ce,val_main_ce,train_aux_ce,val_aux_ce
l2_only,11,1.0,0.1001725495627656,0.0535714285714285,2.490012137286634,2.4796159267425537,2.490012137286634,2.4796159267425537,,
l2_only,11,2.0,0.1040566037735849,0.0486111111111111,2.4676036379218305,2.4680263996124268,2.4676036379218305,2.4680263996124268,,
l2_only,11,3.0,0.1145728511530398,0.1051587301587301,2.451507423502648,2.452878713607788,2.451507423502648,2.452878713607788,,
l2_only,11,4.0,0.1144196500564425,0.117063492063492,2.437458044075104,2.4357292652130127,2.437458044075104,2.4357292652130127,,
l2_only,11,5.0,0.1159236525470802,0.117063492063492,2.421883412359504,2.420428514480591,2.421883412359504,2.420428514480591,,
l2_only,11,6.0,0.1196445353795982,0.1240079365079365,2.4083540706339064,2.403855323791504,2.4083540706339064,2.403855323791504,,
l2_only,11,7.0,0.1362810657779211,0.119047619047619,2.391400065971939,2.392872810363769,2.391400065971939,2.392872810363769,,
l2_only,11,8.0,0.153325527692666,0.1259920634920635,2.3762547698981176,2.3775877952575684,2.3762547698981176,2.3775877952575684,,
l2_only,11,9.0,0.1643464526594382,0.1706349206349206,2.3593455830047136,2.3602771759033203,2.3593455830047136,2.3602771759033203,,
l2_only,11,10.0,0.1716685256858212,0.1621031746031745,2.340990038623908,2.346449136734009,2.340990038623908,2.346449136734009,,
l2_only,11,11.0,0.2034493863260511,0.1906746031746031,2.3208580365894997,2.331941843032837,2.3208580365894997,2.331941843032837,,
l2_only,11,12.0,0.2197267241842713,0.2105820105820106,2.299853395882244,2.3150460720062256,2.299853395882244,2.3150460720062256,,
l2_only,11,13.0,0.2353863848124854,0.2400793650793651,2.2759812542985927,2.2939131259918213,2.2759812542985927,2.2939131259918213,,
l2_only,11,14.0,0.2582806984536543,0.2321789321789321,2.25088712968022,2.2684268951416016,2.25088712968022,2.2684268951416016,,
l2_only,11,15.0,0.2918777312166602,0.2831409331409331,2.2249367421752613,2.247284412384033,2.2249367421752613,2.247284412384033,,
l2_only,11,16.0,0.2954994588949917,0.271566859066859,2.1984328423432764,2.2181363105773926,2.1984328423432764,2.2181363105773926,,
l2_only,11,17.0,0.3038377072325463,0.2613816738816739,2.171309579054788,2.190542459487915,2.171309579054788,2.190542459487915,,
l2_only,11,18.0,0.3196966972699954,0.3104617604617605,2.1411566648138574,2.170242547988892,2.1411566648138574,2.170242547988892,,
l2_only,11,19.0,0.3394562428261096,0.3120490620490621,2.1079176588436,2.137712240219116,2.1079176588436,2.137712240219116,,
l2_only,11,20.0,0.349767085716725,0.312012987012987,2.076664913952248,2.1111505031585693,2.076664913952248,2.1111505031585693,,
