method,feature,block_index,layer,aggregation,coef_fro_norm_mean,coef_fro_norm_std,coef_rms_mean,coef_rms_std,coef_norm_fraction_mean,coef_norm_fraction_std
l2_only,l1_fixed250,0,l1,fixed250,8.311900521422134,0.17022302644444398,0.05302061216212934,0.001085832180367642,1.0,0.0
l2_only,l1_l2_fixed250,0,l1,fixed250,1.0552939580609768,1.0311204451193103,0.006731593036175585,0.006577393109098378,0.3412461548551073,0.016426430202415222
l2_only,l1_l2_fixed250,1,l2,fixed250,1.9469800664234567,1.7800476175271724,0.01241955130757179,0.011354709324995943,0.6587538451448928,0.01642643020241517
l2_only,l1_l2_whole,0,l1,whole_count,0.6686095507636378,0.015731901929143546,0.01705991913044166,0.0004014076292698763,0.2740024229097531,0.004978258543351946
l2_only,l1_l2_whole,1,l2,whole_count,1.7714050745032444,0.008450713962376896,0.045198318336560094,0.00021562434552121733,0.725997577090247,0.004978258543351906
l2_only,l1_whole,0,l1,whole_count,11.527621001662803,4.932528784387053,0.2941332229402603,0.1258560277431132,1.0,0.0
l2_only,l1fixed250_l2whole,0,l1,fixed250,3.3863318959462867,1.4204088878555932,0.02160100324161443,0.009060617191042543,0.5201486091205286,0.02409841944313718
l2_only,l1fixed250_l2whole,1,l2,whole_count,3.05267761572298,0.9627219162625016,0.077890651122263,0.024564348531641283,0.47985139087947126,0.024098419443137224
l2_only,l1whole_l2fixed250,0,l1,whole_count,0.47534151273141206,0.15719604431629372,0.012128584997444097,0.004010938522488036,0.16772226057382342,0.0022204866840806877
l2_only,l1whole_l2fixed250,1,l2,fixed250,2.3550909718597866,0.7657862023426358,0.015022841611697433,0.004884857936987423,0.8322777394261767,0.0022204866840806643
l2_only,l2_fixed250,0,l2,fixed250,2.431592325482133,0.7939618279456064,0.015510834530986407,0.005064586858630585,1.0,0.0
l2_only,l2_whole,0,l2,whole_count,9.851343219271914,8.244831860429835,0.251362126752533,0.21037115701140444,1.0,0.0
l1_l2_joint,l1_fixed250,0,l1,fixed250,4.260500168365916,0.008574792219606234,0.027177217347756032,5.4697566636515366e-05,1.0,0.0
l1_l2_joint,l1_l2_fixed250,0,l1,fixed250,1.1276306813000874,0.029377045520717567,0.007193020279927528,0.00018739263457362443,0.3412442333264463,0.005989514869793927
l1_l2_joint,l1_l2_fixed250,1,l2,fixed250,2.176589447585991,0.02322672637720976,0.013884201890916633,0.00014816048963386955,0.6587557666735536,0.005989514869793907
l1_l2_joint,l1_l2_whole,0,l1,whole_count,2.6154398050072007,2.560226879090882,0.06673430182533306,0.06532551541178024,0.29610094158356004,0.01666881784754875
