method,feature,train_ba_mean,train_ba_std,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,train_test_gap_mean,train_test_gap_std,feature_dim_mean,feature_dim_std,probe_C_mean,probe_C_std
l2_only,l1_fixed250,0.9960009217362158,0.0009433827927935108,0.5310425685425685,0.02908600539843722,0.5194983257483257,0.010113948492222835,0.47650259598789013,0.009823318398708657,2048.0,0.0,1.0,0.0
l2_only,l1_l2_fixed250,0.9714777679978209,0.03629917295284943,0.5831689915023249,0.004927762532018558,0.5750080937580937,0.03940165320246243,0.3964696742397271,0.0726019367325554,4096.0,0.0,0.33699999999999997,0.5741924764397388
l2_only,l1_l2_whole,0.9193952059726298,0.01869243559952987,0.5634900593233927,0.01811944311316668,0.5930772930772931,0.00878672669180802,0.3263179128953369,0.02055967316542905,256.0,0.0,0.01,0.0
l2_only,l1_whole,0.9302359179217579,0.0550946843673071,0.5393759018759018,0.02170873808925065,0.5713205775705776,0.008451420108442013,0.3589153403511802,0.04787857140041163,128.0,0.0,0.7000000000000001,0.5196152422706632
l2_only,l1fixed250_l2whole,0.9926365019554985,0.0037329164968129256,0.5779501362834697,0.02361057012737566,0.5801057738557738,0.024318037806807864,0.4125307280997246,0.025743158891232062,2176.0,0.0,0.4000000000000001,0.5196152422706632
l2_only,l1whole_l2fixed250,0.9904776374600326,0.006401736402225934,0.580148709315376,0.014294570033870186,0.581784188034188,0.02083800226288098,0.4086934494258447,0.021550334669819027,2176.0,0.0,0.07,0.05196152422706632
l2_only,l2_fixed250,0.9904776374600326,0.006401736402225934,0.5867263908930576,0.009892736534136234,0.5823253135753136,0.026010907807514198,0.40815232388471906,0.02533674279550517,2048.0,0.0,0.07,0.05196152422706632
l2_only,l2_whole,0.9711764861080411,0.03478737219935369,0.5588403880070546,0.01130768304229343,0.5456474081474081,0.031982020773372095,0.42552907796063305,0.06247775258351486,128.0,0.0,3.67,5.5042438172740855
l1_l2_joint,l1_fixed250,0.9899533321633767,0.0016240671506487134,0.549853695687029,0.020010389925590864,0.5974342786842786,0.017702269849441093,0.39251905347909793,0.018615351822983947,2048.0,0.0,0.10000000000000002,0.0
l1_l2_joint,l1_l2_fixed250,0.9977801519468185,0.0010691671651659432,0.6116722783389449,0.020246558788655653,0.6349210974210974,0.022125548436224378,0.36285905452572126,0.021419777791041913,4096.0,0.0,0.10000000000000002,0.0
l1_l2_joint,l1_l2_whole,0.9730856410710884,0.0332697940805206,0.5959575917909251,0.01443429436555381,0.5917069042069042,0.05518266628784388,0.3813787368641843,0.0873414651676798,256.0,0.0,3.3699999999999997,5.741924764397388
l1_l2_joint,l1_whole,0.9087663647321375,0.05554829979974197,0.5622154080487415,0.022062060961128227,0.6101134976134975,0.039376063945890175,0.2986528671186399,0.04913290561728366,128.0,0.0,0.39999999999999997,0.5196152422706632
l1_l2_joint,l1fixed250_l2whole,0.9853424663756994,0.011514931276112944,0.592259900593234,0.00908110631051931,0.6420648795648796,0.013347929266369156,0.34327758681082,0.007203043852378892,2176.0,0.0,0.34,0.5715767664977295
l1_l2_joint,l1whole_l2fixed250,0.9977801519468185,0.0010691671651659432,0.6061046977713644,0.026488470604786214,0.616502479002479,0.018642819520429815,0.3812776729443396,0.017725325582726104,2176.0,0.0,0.4000000000000001,0.5196152422706632
l1_l2_joint,l2_fixed250,0.9989316239316238,0.0009252408160090925,0.6042408209074875,0.03395842176022568,0.6094377844377844,0.012134184793331834,0.3894938394938395,0.01274544933077306,2048.0,0.0,0.7000000000000001,0.5196152422706631
l1_l2_joint,l2_whole,0.9676978822776526,0.03758145777179851,0.5953944203944204,0.030306190879215825,0.5855133292633292,0.039396306298292084,0.38218455301432347,0.06816643486783658,128.0,0.0,3.3699999999999997,5.741924764397388
l2_main_l1_aux,l1_fixed250,0.9919292046892701,0.007995803592147735,0.5507375340708675,0.007327171314694182,0.555983830983831,0.021781738030850196,0.43594537370543923,0.01855441747597576,2048.0,0.0,0.7000000000000001,0.5196152422706632
l2_main_l1_aux,l1_l2_fixed250,0.9747685476810201,0.03144864138883134,0.5876142376142376,0.008482640288728287,0.5961691086691087,0.020965828146055604,0.37859943901191134,0.011927224147047649,4096.0,0.0,0.037,0.05474486277268398
l2_main_l1_aux,l1_l2_whole,0.9463435452933359,0.044046426422506266,0.5706569664902998,0.01685440709474176,0.5936325248825248,0.02727780638416606,0.352711020410811,0.07040497317726804,256.0,0.0,3.34,5.767729189204362
l2_main_l1_aux,l1_whole,0.9694412248249482,0.004979570834009916,0.5601551226551226,0.026457973102108363,0.5617266992266993,0.032211245944680174,0.40771452559824906,0.027601418910069404,128.0,0.0,1.0,0.0
l2_main_l1_aux,l1fixed250_l2whole,0.9971628679962014,0.0010691671651659432,0.593706910373577,0.013267807158067373,0.6028157028157027,0.03517254572863099,0.39434716518049845,0.0357060652512189,2176.0,0.0,0.7000000000000001,0.5196152422706631
l2_main_l1_aux,l1whole_l2fixed250,0.974914140545197,0.040674260679223556,0.5963804713804713,0.007139235056097336,0.5809866059866059,0.02612524008449776,0.39392753455859114,0.06407253866602457,2176.0,0.0,0.6669999999999999,0.5767729189204361
l2_main_l1_aux,l2_fixed250,0.9718154715852316,0.04743594203908964,0.5978555395222062,0.013331070010401657,0.5887149887149886,0.013713383463781478,0.3831004828702429,0.059348292193594686,2048.0,0.0,3.667,5.507237692346318
l2_main_l1_aux,l2_whole,0.9472165991578487,0.021998364081079833,0.5764750681417349,0.006849047552237989,0.5721348096348096,0.022658231562786634,0.37508178952303917,0.042651658177056344,128.0,0.0,0.07,0.05196152422706632
