method,seed,feature,feature_dim,probe_C,train_ba,val_ba,test_ba,train_test_gap
l2_only,11,l1_fixed250,2048,1.0,0.996545584045584,0.5619588744588745,0.5310168997668997,0.4655286842786843
l2_only,11,l1_l2_fixed250,4096,0.01,0.9858411000646928,0.5782828282828283,0.5851572039072039,0.4006838961574889
l2_only,11,l1_l2_whole,256,0.01,0.9405052604619244,0.549416786916787,0.5953102453102452,0.34519501515167916
l2_only,11,l1_whole,128,1.0,0.958034309862185,0.5173039923039923,0.5707944832944832,0.38723982656770173
l2_only,11,l1fixed250_l2whole,2176,0.1,0.9922548479000092,0.5596019721019722,0.6074266011766012,0.384828246723408
l2_only,11,l1whole_l2fixed250,2176,0.01,0.9831529280216821,0.5637626262626262,0.5775814463314463,0.4055714816902358
l2_only,11,l2_fixed250,2048,0.01,0.9831529280216821,0.5978896103896104,0.5716290653790653,0.41152386264261676
l2_only,11,l2_whole,128,0.01,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.35540983068678544
l2_only,23,l1_fixed250,2048,1.0,0.9949115971174795,0.5269480519480519,0.5154075091575091,0.47950408795997035
l2_only,23,l1_l2_fixed250,4096,0.001,0.9301947680313339,0.5881373256373258,0.608342352092352,0.32185241593898195
l2_only,23,l1_l2_whole,256,0.01,0.9049438537624753,0.5571188071188071,0.6005321067821067,0.30441174698036866
l2_only,23,l1_whole,128,0.1,0.8667800745702091,0.5401214526214526,0.5631444943944944,0.3036355801757147
l2_only,23,l1fixed250_l2whole,2176,1.0,0.996545584045584,0.6045875420875421,0.5608287545787545,0.43571682946682955
l2_only,23,l1whole_l2fixed250,2176,0.1,0.9932776101893749,0.5900613275613275,0.6044032356532355,0.3888743745361394
l2_only,23,l2_fixed250,2048,0.1,0.9932776101893749,0.5832431457431456,0.6119789932289932,0.3812986169603817
l2_only,23,l2_whole,128,10.0,0.9948789173789173,0.5480218855218856,0.5489850427350426,0.44589387464387475
l2_only,37,l1_fixed250,2048,1.0,0.996545584045584,0.5042207792207792,0.5120705683205683,0.4844750157250157
l2_only,37,l1_l2_fixed250,4096,1.0,0.9983974358974358,0.5830868205868206,0.5315247252747253,0.4668727106227105
l2_only,37,l1_l2_whole,256,0.01,0.9127365036934899,0.5839345839345839,0.5833895271395271,0.32934697655396283
l2_only,37,l1_whole,128,1.0,0.9658933693328794,0.5607022607022607,0.5800227550227551,0.38587061431012426
l2_only,37,l1fixed250_l2whole,2176,0.1,0.989109073920902,0.5696608946608946,0.5720619658119658,0.4170471081089362
l2_only,37,l1whole_l2fixed250,2176,0.1,0.9950023741690409,0.5866221741221742,0.5633678821178821,0.4316344920511588
l2_only,37,l2_fixed250,2048,0.1,0.9950023741690409,0.5790464165464165,0.5633678821178821,0.4316344920511588
l2_only,37,l2_whole,128,1.0,0.9874109844286947,0.570580808080808,0.5121274558774558,0.4752835285512389
l1_l2_joint,11,l1_fixed250,2048,0.1,0.9896533726375568,0.5579244829244829,0.5820700133200133,0.4075833593175435
l1_l2_joint,11,l1_l2_fixed250,4096,0.1,0.9983974358974358,0.635040885040885,0.6271776834276833,0.3712197524697525
l1_l2_joint,11,l1_l2_whole,256,10.0,0.9983974358974358,0.6057659932659932,0.5365322177822177,0.4618652181152181
l1_l2_joint,11,l1_whole,128,1.0,0.9728336754929892,0.5837121212121212,0.6350670163170163,0.3377666591759728
l1_l2_joint,11,l1fixed250_l2whole,2176,0.01,0.97663106989878,0.5986592111592112,0.627281746031746,0.349349323867034
l1_l2_joint,11,l1whole_l2fixed250,2176,0.1,0.9983974358974358,0.6364297739297738,0.6164883727383726,0.38190906315906314
l1_l2_joint,11,l2_fixed250,2048,0.1,0.9983974358974358,0.6433742183742184,0.6045836108336108,0.393813825063825
l1_l2_joint,11,l2_whole,128,10.0,0.9983974358974358,0.6295755170755171,0.5407710345210345,0.4576264013764013
l1_l2_joint,23,l1_fixed250,2048,0.1,0.9885001549402216,0.5645683020683021,0.6167922355422354,0.3717079193979862
l1_l2_joint,23,l1_l2_fixed250,4096,0.1,0.9983974358974358,0.600583213083213,0.6598776223776223,0.33851981351981353
l1_l2_joint,23,l1_l2_whole,256,0.01,0.9354024789219929,0.6027236652236653,0.6468975468975467,0.28850493202444616
l1_l2_joint,23,l1_whole,128,0.1,0.8740590639851095,0.5633056758056758,0.6305527805527805,0.24350628343232894
l1_l2_joint,23,l1fixed250_l2whole,2176,1.0,0.9983974358974358,0.5962542087542088,0.6532328782328781,0.34516455766455767
l1_l2_joint,23,l1whole_l2fixed250,2176,1.0,0.9983974358974358,0.5943963443963444,0.6351523476523476,0.36324508824508817
l1_l2_joint,23,l2_fixed250,2048,1.0,0.9983974358974358,0.5868205868205868,0.6232475857475857,0.37514985014985014
l1_l2_joint,23,l2_whole,128,0.01,0.9257864973855493,0.5848003848003848,0.6007665945165944,0.3250199028689549
l1_l2_joint,37,l1_fixed250,2048,0.1,0.9917064689123514,0.527068302068302,0.5934405871905871,0.39826588172176425
l1_l2_joint,37,l1_l2_fixed250,4096,0.1,0.996545584045584,0.5993927368927369,0.6177079864579864,0.3788375975875976
l1_l2_joint,37,l1_l2_whole,256,0.1,0.9854570083938364,0.5793831168831168,0.5916909479409479,0.39376606045288853
l1_l2_joint,37,l1_whole,128,0.1,0.8794063547183139,0.5396284271284272,0.5647206959706959,0.314685658747618
l1_l2_joint,37,l1fixed250_l2whole,2176,0.01,0.9809988933308826,0.5818662818662819,0.6456800144300144,0.3353188789008682
l1_l2_joint,37,l1whole_l2fixed250,2176,0.1,0.996545584045584,0.587487974987975,0.5978667166167165,0.3986788674288675
l1_l2_joint,37,l2_fixed250,2048,1.0,1.0,0.5825276575276576,0.6004821567321567,0.39951784326784334
l1_l2_joint,37,l2_whole,128,0.1,0.978909713549973,0.5718073593073593,0.6150023587523588,0.36390735479761427
l2_main_l1_aux,11,l1_fixed250,2048,1.0,0.996545584045584,0.5460497835497836,0.5810779498279498,0.4154676342176342
l2_main_l1_aux,11,l1_l2_fixed250,4096,0.01,0.9890462282698209,0.5786135161135161,0.6103556166056165,0.37869061166420437
l2_main_l1_aux,11,l1_l2_whole,256,0.01,0.9283068135268424,0.5821188071188071,0.6137626262626262,0.3145441872642162
l2_main_l1_aux,11,l1_whole,128,1.0,0.9751639032600451,0.5804713804713805,0.5976703851703852,0.3774935180896599
l2_main_l1_aux,11,l1fixed250_l2whole,2176,0.1,0.996545584045584,0.5976070226070226,0.6434253246753247,0.35312025937025937
l2_main_l1_aux,11,l1whole_l2fixed250,2176,1.0,0.9983974358974358,0.600583213083213,0.5829267954267953,0.41547064047064053
l2_main_l1_aux,11,l2_fixed250,2048,1.0,0.9983974358974358,0.5923761423761423,0.5899683649683649,0.4084290709290709
l2_main_l1_aux,11,l2_whole,128,0.01,0.9220864378965965,0.5821188071188071,0.591314935064935,0.33077150283166146
l2_main_l1_aux,23,l1_fixed250,2048,0.1,0.9826964459766424,0.5591810966810967,0.5419677544677545,0.44072869150888794
l2_main_l1_aux,23,l1_l2_fixed250,4096,0.001,0.938713830727655,0.5887686387686388,0.5720869408369408,0.36662688989071424
l2_main_l1_aux,23,l1_l2_whole,256,10.0,0.996545584045584,0.5513047138047139,0.5625874125874125,0.4339581714581715
l2_main_l1_aux,23,l1_whole,128,1.0,0.9660957995228235,0.5302368927368927,0.5520375457875457,0.4140582537352778
l2_main_l1_aux,23,l1fixed250_l2whole,2176,1.0,0.996545584045584,0.6045875420875421,0.5820089632589632,0.4145366207866208
l2_main_l1_aux,23,l1whole_l2fixed250,2176,0.001,0.9279475498407196,0.5881373256373257,0.6060876623376623,0.3218598875030573
l2_main_l1_aux,23,l2_fixed250,2048,0.001,0.9170489788582589,0.5881373256373257,0.6017586580086579,0.31529032084960096
l2_main_l1_aux,23,l2_whole,128,0.1,0.9565747702978066,0.5784511784511785,0.5779553779553779,0.3786193923424287
l2_main_l1_aux,37,l1_fixed250,2048,1.0,0.996545584045584,0.546981721981722,0.5449057886557885,0.4516397953897955
l2_main_l1_aux,37,l1_l2_fixed250,4096,0.1,0.996545584045584,0.595460557960558,0.6060647685647685,0.3904808154808155
l2_main_l1_aux,37,l1_l2_whole,256,0.01,0.9141782383075809,0.5785473785473786,0.6045475357975357,0.3096307025100452
l2_main_l1_aux,37,l1_whole,128,1.0,0.9670639716919761,0.5697570947570948,0.5354721667221667,0.4315918049698094
l2_main_l1_aux,37,l1fixed250_l2whole,2176,1.0,0.9983974358974358,0.5789261664261665,0.5830128205128206,0.41538461538461524
l2_main_l1_aux,37,l1whole_l2fixed250,2176,1.0,0.9983974358974358,0.6004208754208754,0.5539453601953602,0.44445207570207557
l2_main_l1_aux,37,l2_fixed250,2048,10.0,1.0,0.6130531505531506,0.5744179431679431,0.42558205683205685
l2_main_l1_aux,37,l2_whole,128,0.1,0.9629885892791431,0.5688552188552188,0.5471341158841159,0.41585447339502724
