method,aggregation,split,both_correct_mean,both_correct_std,l1_only_correct_mean,l1_only_correct_std,l2_only_correct_mean,l2_only_correct_std,both_wrong_mean,both_wrong_std,prediction_disagreement_mean,prediction_disagreement_std,oracle_union_accuracy_mean,oracle_union_accuracy_std
l2_only,fixed250,test,0.4589041095890411,0.03624316864472043,0.07077625570776255,0.027681177289913563,0.13926940639269406,0.031635631188472645,0.3310502283105023,0.022017467490851508,0.3493150684931507,0.036243168644720415,0.6689497716894977,0.022017467490851473
l2_only,fixed250,train,0.9908204245553643,0.005532788732640792,0.0051635111876075735,0.005962309148257754,0.0,0.0,0.004016064257028113,0.0009937181913762924,0.006310958118187034,0.00794974553101034,0.9959839357429718,0.0009937181913763332
l2_only,fixed250,val,0.4365079365079365,0.020998026278290394,0.10582010582010581,0.01652115872592169,0.15873015873015872,0.013746434980705366,0.2989417989417989,0.01652115872592171,0.4021164021164021,0.009164289987136916,0.701058201058201,0.016521158725921675
l2_only,whole,test,0.45433789954337894,0.020925003173314326,0.12557077625570776,0.022017467490851494,0.1004566210045662,0.020925003173314336,0.31963470319634707,0.022017467490851463,0.3356164383561644,0.0273972602739726,0.680365296803653,0.022017467490851487
l2_only,whole,train,0.9202524383247276,0.04777087685178683,0.010900745840504877,0.01741134928914919,0.05163511187607573,0.0647901212554861,0.01721170395869191,0.016598366197922466,0.06827309236947791,0.05277944065224062,0.9827882960413081,0.016598366197922463
l2_only,whole,val,0.46296296296296297,0.00458214499356847,0.0925925925925926,0.024246432248443597,0.10582010582010581,0.01652115872592169,0.3386243386243386,0.03207501495497921,0.29894179894179895,0.024246432248443608,0.6613756613756614,0.03207501495497916
l1_l2_joint,fixed250,test,0.5319634703196346,0.024054004001946877,0.0821917808219178,0.00684931506849315,0.08904109589041094,0.018121584322360208,0.2968036529680365,0.010462501586657187,0.3059360730593607,0.045604987112872544,0.7031963470319634,0.0104625015866572
l1_l2_joint,fixed250,train,0.9896729776247849,0.0017211703958692065,0.0,0.0,0.009179575444635685,0.0009937181913762928,0.0011474469305794608,0.0009937181913762922,0.010327022375215147,0.0017211703958691913,0.9988525530694204,0.000993718191376277
l1_l2_joint,fixed250,val,0.4576719576719577,0.00458214499356845,0.10052910052910052,0.018328579974273833,0.1455026455026455,0.02551230360051046,0.2962962962962963,0.039946213943231466,0.3624338624338624,0.019973106971615737,0.7037037037037037,0.03994621394323152
l1_l2_joint,whole,test,0.5091324200913242,0.02768117728991358,0.1187214611872146,0.04859314304518896,0.08904109589041094,0.024695556681260198,0.28310502283105027,0.010462501586657187,0.317351598173516,0.048593143045188934,0.7168949771689498,0.01046250158665715
l1_l2_joint,whole,train,0.9070567986230637,0.05729196894007996,0.004016064257028113,0.006956027339634046,0.060814687320711415,0.03528749125572411,0.02811244979919679,0.03080526393266506,0.07286288009179576,0.04164141666465647,0.9718875502008032,0.030805263932665018
l1_l2_joint,whole,val,0.48941798941798936,0.016521158725921685,0.0925925925925926,0.009164289987136916,0.1111111111111111,0.007936507936507936,0.3068783068783069,0.01997310697161576,0.3068783068783069,0.01212321612422176,0.6931216931216931,0.0199731069716157
l2_main_l1_aux,fixed250,test,0.4931506849315068,0.006849315068493143,0.0730593607305936,0.020925003173314336,0.1095890410958904,0.01186336169567724,0.3242009132420091,0.020925003173314336,0.319634703196347,0.00790890779711817,0.6757990867579909,0.020925003173314416
l2_main_l1_aux,fixed250,train,0.9707401032702238,0.044717318611933184,0.021227768215720023,0.036767573080922815,0.0017211703958691911,0.0017211703958691911,0.006310958118187034,0.009479467379149916,0.023522662076878947,0.03628092198224298,0.993689041881813,0.009479467379149897
l2_main_l1_aux,fixed250,val,0.47883597883597884,0.022910724967842272,0.082010582010582,0.01997310697161574,0.12962962962962962,0.01652115872592169,0.30952380952380953,0.007936507936507922,0.35714285714285715,0.020998026278290408,0.6904761904761904,0.007936507936507908
l2_main_l1_aux,whole,test,0.4680365296803653,0.025931088336987564,0.10730593607305934,0.02405400400194689,0.11643835616438354,0.0136986301369863,0.30821917808219174,0.041662757056837155,0.3515981735159817,0.06214912141011962,0.6917808219178082,0.041662757056837064
l2_main_l1_aux,whole,train,0.9414802065404474,0.016418919129379442,0.028112449799196786,0.02186180021027843,0.0068846815834767644,0.005163511187607573,0.023522662076878947,0.003582901892368559,0.04188181296615032,0.015037684936409819,0.9764773379231211,0.0035829018923685557
l2_main_l1_aux,whole,val,0.4947089947089947,0.022910724967842272,0.082010582010582,0.004582144993568458,0.0925925925925926,0.024246432248443597,0.3306878306878307,0.004582144993568438,0.2671957671957672,0.05102460720102094,0.6693121693121693,0.004582144993568539
