model_kind,history_ms,layer,state,phase,bias_mode,full_test_ba_mean,full_test_ba_std,full_test_ba_count,trunc_shared_test_ba_mean,trunc_shared_test_ba_std,trunc_shared_test_ba_count,trunc_retrained_test_ba_mean,trunc_retrained_test_ba_std,trunc_retrained_test_ba_count,context_drop_shared_pp_mean,context_drop_shared_pp_std,context_drop_shared_pp_count,information_loss_retrained_pp_mean,information_loss_retrained_pp_std,information_loss_retrained_pp_count,geometry_shift_pp_mean,geometry_shift_pp_std,geometry_shift_pp_count
a2,50,L1,spike50,0.25,no_bias,0.22536306286306282,0.019500890157015116,3,0.08409692159692155,0.013750059667465953,3,0.05913299663299659,0.01919837985318662,3,14.126614126614124,2.6834780465411767,3,16.623006623006624,2.3784223278936927,3,-2.4963924963924975,1.0132976115136765,3
a2,50,L1,spike50,0.25,affine,0.2403598716098716,0.043181849502979555,3,0.07774170274170271,0.008318796939105522,3,0.08420514670514667,0.016485426425805347,3,16.261816886816888,3.6506230569170857,3,15.615472490472493,5.507489777699068,3,0.6463443963443962,2.4539367674821215,3
a2,50,L1,spike50,0.5,no_bias,0.3647609335109334,0.012177653577246126,3,0.12202010952010948,0.005669625129366807,3,0.1268430643430643,0.0192474254654356,3,24.274082399082392,1.1148534370501555,3,23.791786916786908,2.294173246009744,3,0.48229548229548197,1.4306412829380408,3
a2,50,L1,spike50,0.5,affine,0.36297290672290666,0.015229297528666256,3,0.0846403596403596,0.007060726134765245,3,0.12251174751174747,0.013553076928974426,3,27.833254708254703,1.6270841934706253,3,24.046115921115916,2.818277505266662,3,3.787138787138787,1.7984510190761642,3
a2,50,L1,spike50,0.75,no_bias,0.42209827209827205,0.015638170661921812,3,0.10693172568172564,0.005999049075386966,3,0.10412087912087907,0.015023969329573256,3,31.51665464165464,1.5660519645880615,3,31.797739297739298,2.969348683693848,3,-0.28108465608465694,1.4348146453206585,3
a2,50,L1,spike50,0.75,affine,0.4410520035520035,0.0687946244078065,3,0.07521645021645017,0.0076335151405118725,3,0.11029572279572276,0.014273079844161849,3,36.58355533355533,7.577988852878736,3,33.07562807562807,7.9340044025231204,3,3.5079272579272582,1.3856781250521362,3
a2,50,L1,spike50,1.0,no_bias,0.27467994967994963,0.02964666641698376,3,0.09623015873015871,0.008184616977991672,3,0.0853174603174603,0.00491004963521508,3,17.844979094979095,2.4640814467869387,3,18.936248936248933,2.8262833189506056,3,-1.0912698412698412,1.1168978421823121,3
a2,50,L1,spike50,1.0,affine,0.2917728105228105,0.04954944654778492,3,0.0877525252525252,0.009018646283566713,3,0.08585858585858584,0.004373865675678994,3,20.402028527028524,4.793024993664611,3,20.591422466422465,5.051945108331128,3,-0.18939393939393975,1.3380553183307244,3
a2,50,L1,syn_current,0.25,no_bias,0.19733460983460982,0.008546459497777298,3,0.14082306582306578,0.006304162483809584,3,0.1304279054279054,0.011482478860907575,3,5.651154401154401,1.097280773853672,3,6.6906704406704405,1.1143953982521377,3,-1.0395160395160397,1.7533917357118098,3
a2,50,L1,syn_current,0.25,affine,0.23327089577089574,0.005139422573623529,3,0.11689884189884187,0.014817275797048527,3,0.139292883042883,0.01036970568658187,3,11.637205387205386,1.0147542036217225,3,9.397801272801274,1.3728380840222658,3,2.2394041144041132,1.958967232360445,3
a2,50,L1,syn_current,0.5,no_bias,0.5237574925074925,0.009832751394733245,3,0.2374058811558811,0.013777942439249081,3,0.2267124079624079,0.05253925302700793,3,28.635161135161137,0.8422928750131082,3,29.704508454508453,5.7172963382259,3,-1.0693473193473184,5.103646847323426,3
a2,50,L1,syn_current,0.5,affine,0.5345272782772782,0.026485871566670923,3,0.17014790764790763,0.00158641292528243,3,0.24632751507751505,0.04345768217365575,3,36.43793706293706,2.490534918513194,3,28.81997631997631,2.1847024871756098,3,7.617960742960743,4.195723529495683,3
a2,50,L1,syn_current,0.75,no_bias,0.5078937266437266,0.04797713494211761,3,0.1693979631479631,0.022670921516250876,3,0.32993464868464867,0.016110038356007595,3,33.849576349576346,2.605190946800929,3,17.79590779590779,6.38419587857086,3,16.053668553668555,3.806821066281592,3
a2,50,L1,syn_current,0.75,affine,0.5241124616124616,0.049817549133921134,3,0.16382136382136378,0.031978771295767115,3,0.3259233821733821,0.009630172432954392,3,36.029109779109774,1.9377508427922263,3,19.818907943907938,5.681867307597395,3,16.210201835201833,4.015752754500134,3
a2,50,L1,syn_current,1.0,no_bias,0.3397431272431272,0.006874787295337605,3,0.10385563510563507,0.006615065049339626,3,0.08624824249824244,0.017028585731857025,3,23.58874921374921,1.3199130238362546,3,25.34948847448847,1.5992691856446657,3,-1.7607392607392631,2.215394537955336,3
a2,50,L1,syn_current,1.0,affine,0.35378602878602866,0.020539396526262448,3,0.11500721500721496,0.00654500979577296,3,0.1081952769452769,0.0037302633538518924,3,23.877881377881376,1.9159518096007624,3,24.55907518407518,2.098771374323494,3,-0.6811938061938051,0.3438080614079569,3
