variant,hidden_cap,output_cap,valid_count_balanced_accuracy_mean,valid_count_balanced_accuracy_std,valid_count_macro_f1_mean,valid_count_macro_f1_std,state_probe_balanced_accuracy_mean,state_probe_balanced_accuracy_std,state_probe_macro_f1_mean,state_probe_macro_f1_std,probe_minus_fully_spiking_ba_mean,probe_minus_fully_spiking_ba_std,probe_minus_fully_spiking_macro_f1_mean,probe_minus_fully_spiking_macro_f1_std
binary,1,1,0.3543489843489843,0.03293643007431299,0.33455991122170403,0.03061298974787751,0.41320485070485063,0.042817313134326726,0.4072577788558339,0.0447399718895787,0.05885586635586636,0.030847241898871103,0.0726978676341299,0.032341076346639165
multi_h,31,1,0.24582625707625705,0.05842954716389257,0.2062722526843416,0.08167074422397856,0.44007326007326003,0.021810986196972994,0.4294302480821825,0.01928655958528251,0.19424700299700298,0.039732032210769784,0.22315799539784092,0.06430176056530687
multi_ho,31,31,0.40763986013986003,0.025049001781167653,0.39530695363630297,0.02345706491044854,0.4622322122322123,0.056853965117086014,0.4550141061066239,0.05794732853666873,0.05459235209235215,0.05550225315598079,0.059707152470320914,0.06522624244438326
multi_o,1,31,0.3272399822399822,0.03273156672389803,0.30878763489287864,0.03719334800164298,0.43815004440004435,0.05148516990593547,0.4378330480337029,0.051237681008746226,0.11091006216006219,0.02168074079796633,0.1290454131408242,0.02072435629831907
