variant,hidden_cap,output_cap,seed,fully_spiking_ba,state_probe_ba,probe_minus_fully_spiking_ba,fully_spiking_delta_vs_binary,state_probe_delta_vs_binary
binary,1,1,11,0.3622079309579309,0.4209720834720834,0.05876415251415251,0.0,0.0
binary,1,1,23,0.3727487789987789,0.39073218448218444,0.017983405483405546,0.0,0.0
binary,1,1,37,0.3103882228882229,0.35430749805749806,0.043919275169275185,0.0,0.0
binary,1,1,53,0.3936112498612498,0.46718697968697964,0.07357572982572985,0.0,0.0
binary,1,1,71,0.332788739038739,0.4328255078255077,0.1000367687867687,0.0,0.0
multi_h,31,1,11,0.3271908646908646,0.4581543456543456,0.13096348096348098,-0.0350170662670663,0.03718226218226217
multi_h,31,1,23,0.2441863691863691,0.44852924852924847,0.20434287934287937,-0.1285624098124098,0.05779706404706403
multi_h,31,1,37,0.1762154512154512,0.4063415750915751,0.23012612387612388,-0.13417277167277167,0.05203407703407703
multi_h,31,1,53,0.2080863580863581,0.43061799311799304,0.22253163503163495,-0.1855248917748917,-0.036568986568986606
multi_h,31,1,71,0.2734522422022422,0.45672313797313796,0.18327089577089578,-0.05933649683649683,0.023897630147630244
multi_o,1,31,11,0.3699217449217449,0.5089819902319902,0.1390602453102453,0.007713813963813987,0.08800990675990678
multi_o,1,31,23,0.311019536019536,0.3917735042735042,0.08075396825396819,-0.06172924297924287,0.0010413197913197725
multi_o,1,31,37,0.2908674658674658,0.3974893162393162,0.1066218503718504,-0.019520757020757062,0.043181818181818155
multi_o,1,31,53,0.3118423243423243,0.41752691752691756,0.10568459318459328,-0.0817689255189255,-0.04966006216006208
multi_o,1,31,71,0.3525488400488399,0.4749784937284937,0.1224296536796538,0.019760101010100894,0.042152985902985995
multi_ho,31,31,11,0.3855443167943167,0.4409874847374848,0.05544316794316806,0.02333638583638581,0.020015401265401356
multi_ho,31,31,23,0.3986686924186924,0.4244359806859807,0.025767288267288302,0.02591991341991351,0.033703796203796266
multi_ho,31,31,37,0.4060307747807747,0.5564574314574314,0.15042665667665672,0.09564255189255183,0.20214993339993337
multi_ho,31,31,53,0.4504793817293817,0.4724990287490287,0.022019647019647037,0.05686813186813189,0.0053120490620490735
multi_ho,31,31,71,0.3974761349761349,0.4167811355311355,0.019305000555000618,0.06468739593739586,-0.016044372294372222
