architecture,hidden_width,tau_mem_ms,variant,hidden_cap,output_cap,seed,split,state_probe_feature_dim,state_probe_accuracy,state_probe_balanced_accuracy,state_probe_macro_f1,best_epoch,parameter_count,valid_count_accuracy,valid_count_balanced_accuracy,valid_count_macro_f1,valid_membrane_accuracy,valid_membrane_balanced_accuracy,valid_membrane_macro_f1,hidden_tail_event_fraction,output_tail_event_fraction,hidden_mean_events_per_neuron_step,output_mean_events_per_neuron_step
rsnn,128,250.0,binary,1,1,11,train,128,0.955249569707401,0.9569918632668354,0.9580716732919248,110,21760,0.8278829604130808,0.8188220163475703,0.8209772638887548,0.2461273666092943,0.2329444406236396,0.2190005481618196,0.393381339598851,0.4752593134848878,0.2746148222797709,0.1414799264755593
rsnn,128,250.0,binary,1,1,11,val,128,0.5,0.4948232323232324,0.49442403497017634,110,21760,0.4126984126984127,0.396434583934584,0.3679713211853392,0.1269841269841269,0.1230579605579605,0.1157953278605452,0.4146571457386017,0.4974815845489502,0.2573475837707519,0.1398231983184814
rsnn,128,250.0,binary,1,1,11,test,128,0.4315068493150685,0.4209720834720834,0.4180276931555704,110,21760,0.3767123287671233,0.3622079309579309,0.346033332893467,0.1643835616438356,0.1482961482961483,0.1404655963580448,0.4243706036103915,0.5125805090551507,0.2788029170199616,0.1374148540709116
rsnn,128,250.0,binary,1,1,23,train,128,0.9380378657487092,0.9410666007116709,0.9392264647841717,89,21760,0.8605851979345955,0.8449683313084343,0.8452453626339117,0.2082616179001721,0.1980283540605405,0.1973562129613678,0.2651146187121609,0.2870861110301518,0.291118926722909,0.1593421317521553
rsnn,128,250.0,binary,1,1,23,val,128,0.3968253968253968,0.38520923520923517,0.3895637880351503,89,21760,0.3968253968253968,0.3798641173641173,0.3521114703298516,0.1666666666666666,0.1641293891293891,0.1571583442054456,0.2800202667713165,0.3348602950572967,0.2727502286434173,0.1565329879522323
rsnn,128,250.0,binary,1,1,23,test,128,0.3835616438356164,0.39073218448218444,0.3843712954982978,89,21760,0.3835616438356164,0.3727487789987789,0.3549384320519892,0.1027397260273972,0.1012334887334887,0.0946485966822305,0.3019323124460978,0.3502171125314007,0.2970394296188877,0.1542924797698243
rsnn,128,250.0,binary,1,1,37,train,128,0.963855421686747,0.9646810998226091,0.9649060548784344,145,21760,0.9242685025817556,0.9220768068335063,0.9232289502757108,0.2495697074010327,0.2430246790540982,0.24542587174883,0.2380407717521342,0.3316969718149319,0.2987899864397033,0.1429858384926429
rsnn,128,250.0,binary,1,1,37,val,128,0.4444444444444444,0.43401875901875897,0.43221637991350415,145,21760,0.4126984126984127,0.418428330928331,0.384823925009347,0.246031746031746,0.2414381914381914,0.2416236297815245,0.2415822148323059,0.3480916023254394,0.2813712954521179,0.1380983144044876
rsnn,128,250.0,binary,1,1,37,test,128,0.3493150684931507,0.35430749805749806,0.346128931890811,145,21760,0.3150684931506849,0.3103882228882229,0.2918105558834459,0.2602739726027397,0.2581487956487956,0.2497802099001789,0.2577393267252674,0.4001653067869682,0.3063205994971811,0.1350846758035764
rsnn,128,250.0,binary,1,1,53,train,128,0.9776247848537005,0.9788383719208266,0.9789219755048109,146,21760,0.9432013769363168,0.9365970591261336,0.9383634384374628,0.2822719449225473,0.2809233993922005,0.2809732475312143,0.3052414985511471,0.3633746294474643,0.2865161400756409,0.1577563300959625
rsnn,128,250.0,binary,1,1,53,val,128,0.48412698412698413,0.4682058682058683,0.4704724659150406,146,21760,0.4285714285714285,0.4121813371813371,0.3883107088989442,0.2698412698412698,0.2571789321789322,0.246741515232477,0.3111403584480285,0.3757601976394653,0.2697889804840088,0.154915913939476
