contrast,layer,aggregation,seed,left_state,right_state,left_test_ba,right_test_ba,delta_pp
membrane_integration_pre_minus_current,l1,whole_mean,11,pre_reset,syn_current,0.551577589077589,0.5096583971583971,4.191919191919191
membrane_integration_pre_minus_current,l1,whole_mean,23,pre_reset,syn_current,0.5501505439005439,0.4896207958707959,6.052974802974798
membrane_integration_pre_minus_current,l1,whole_mean,37,pre_reset,syn_current,0.504048729048729,0.4830350205350205,2.1013708513708487
membrane_integration_pre_minus_current,l1,fixed250_ordered_mean,11,pre_reset,syn_current,0.6253427128427128,0.6260503385503385,-0.07076257076257253
membrane_integration_pre_minus_current,l1,fixed250_ordered_mean,23,pre_reset,syn_current,0.6115301365301364,0.5888861138861139,2.2644022644022543
membrane_integration_pre_minus_current,l1,fixed250_ordered_mean,37,pre_reset,syn_current,0.6324605949605948,0.6244269619269619,0.8033633033632914
membrane_integration_pre_minus_current,l2,whole_mean,11,pre_reset,syn_current,0.5562271062271061,0.5566870629370628,-0.045995670995668814
membrane_integration_pre_minus_current,l2,whole_mean,23,pre_reset,syn_current,0.5370802808302808,0.5395985958485958,-0.25183150183150094
membrane_integration_pre_minus_current,l2,whole_mean,37,pre_reset,syn_current,0.5248869186369186,0.5188374125874124,0.6049506049506159
membrane_integration_pre_minus_current,l2,fixed250_ordered_mean,11,pre_reset,syn_current,0.5873036685536686,0.5874771062271061,-0.0173437673437582
membrane_integration_pre_minus_current,l2,fixed250_ordered_mean,23,pre_reset,syn_current,0.5786477411477411,0.589817821067821,-1.11700799200799
membrane_integration_pre_minus_current,l2,fixed250_ordered_mean,37,pre_reset,syn_current,0.5949425574425574,0.6092282717282717,-1.4285714285714235
spike_quantization_pre_minus_spike,l1,whole_mean,11,pre_reset,spike,0.551577589077589,0.5444479131979132,0.7129675879675834
spike_quantization_pre_minus_spike,l1,whole_mean,23,pre_reset,spike,0.5501505439005439,0.5573447385947385,-0.7194194694194689
spike_quantization_pre_minus_spike,l1,whole_mean,37,pre_reset,spike,0.504048729048729,0.5924617049617049,-8.841297591297593
