seed,layer,state,state_role,aggregation,feature_dim,selected_C,train_accuracy,train_ba,train_macro_f1,val_accuracy,val_ba,val_macro_f1,test_accuracy,test_ba,test_macro_f1
11,l1,post_reset,secondary,fixed250_ordered_mean,2048,0.01,0.9948364888123924,0.9951294620412267,0.9951583022377415,0.5873015873015873,0.5817340067340068,0.5957504755417469,0.6095890410958904,0.5956709956709957,0.6031054262819137
23,l1,post_reset,secondary,fixed250_ordered_mean,2048,0.1,1.0,1.0,1.0,0.6111111111111112,0.6031986531986532,0.6091602691885657,0.6027397260273972,0.5925074925074925,0.5997476546675631
37,l1,post_reset,secondary,fixed250_ordered_mean,2048,0.1,1.0,1.0,1.0,0.5317460317460317,0.5324915824915826,0.5432756227376346,0.6095890410958904,0.5994519369519369,0.6012520423752309
11,l1,pre_reset,primary,fixed250_ordered_mean,2048,0.01,0.9913941480206541,0.9917344003128318,0.9917903991274892,0.5952380952380952,0.5830868205868206,0.5986382153315791,0.636986301369863,0.6253427128427128,0.6241185354133476
23,l1,pre_reset,primary,fixed250_ordered_mean,2048,0.01,0.9827882960413081,0.9818026049294996,0.9823037493146575,0.5952380952380952,0.5893097643097643,0.5919552509963243,0.6232876712328768,0.6115301365301364,0.6175390064136866
37,l1,pre_reset,primary,fixed250_ordered_mean,2048,0.1,1.0,1.0,1.0,0.5555555555555556,0.5496272246272247,0.5539503882276381,0.6438356164383562,0.6324605949605948,0.6305505063263684
11,l1,spike,primary,fixed250_ordered_mean,2048,0.1,0.9845094664371773,0.9843001958462079,0.9851765664365405,0.5476190476190477,0.5363275613275613,0.551267359016972,0.5342465753424658,0.5238990176490176,0.5170436441712568
23,l1,spike,primary,fixed250_ordered_mean,2048,0.1,0.9776247848537005,0.9788408146008497,0.9794173527094322,0.5873015873015873,0.5693722943722944,0.5751221926221927,0.5547945205479452,0.5458596958596957,0.5470286732988755
37,l1,spike,primary,fixed250_ordered_mean,2048,0.1,0.9810671256454389,0.980542411285843,0.9818111500530814,0.5238095238095238,0.5117965367965368,0.5072670074746514,0.5958904109589042,0.5844738594738595,0.5812710589564809
11,l1,syn_current,primary,fixed250_ordered_mean,2048,1.0,1.0,1.0,1.0,0.6190476190476191,0.6072029822029822,0.6196541661605183,0.636986301369863,0.6260503385503385,0.6280029729763902
23,l1,syn_current,primary,fixed250_ordered_mean,2048,10.0,1.0,1.0,1.0,0.6190476190476191,0.6022426647426647,0.6089301670551671,0.5958904109589042,0.5888861138861139,0.595630203244674
37,l1,syn_current,primary,fixed250_ordered_mean,2048,1.0,1.0,1.0,1.0,0.5714285714285714,0.5618326118326118,0.5685389283029937,0.636986301369863,0.6244269619269619,0.6237883163627864
11,l2,post_reset,secondary,fixed250_ordered_mean,2048,0.1,0.9948364888123924,0.9940752769263206,0.9946485925410947,0.5396825396825397,0.5361952861952861,0.5374107259556176,0.6027397260273972,0.5901424963924964,0.5907680936213545
23,l2,post_reset,secondary,fixed250_ordered_mean,2048,0.1,0.9948364888123924,0.9949115971174795,0.9950930778169301,0.5714285714285714,0.5599386724386725,0.5715795065925148,0.589041095890411,0.5776535964035964,0.57879131223339
37,l2,post_reset,secondary,fixed250_ordered_mean,2048,0.1,0.9948364888123924,0.994106699751861,0.9946343765021334,0.5634920634920635,0.5499218374218374,0.5628788933613494,0.5684931506849316,0.5577762515262515,0.5770180911279982
11,l2,pre_reset,primary,fixed250_ordered_mean,2048,0.1,0.9913941480206541,0.9908387258956518,0.9914261004805679,0.5555555555555556,0.5514730639730641,0.5513669859817838,0.6027397260273972,0.5873036685536686,0.584766800726705
23,l2,pre_reset,primary,fixed250_ordered_mean,2048,0.1,0.9931153184165232,0.9932776101893749,0.9935015225035588,0.5793650793650794,0.5676406926406926,0.5860355214960479,0.589041095890411,0.5786477411477411,0.5766395154553049
37,l2,pre_reset,primary,fixed250_ordered_mean,2048,0.1,0.9965576592082617,0.9967948717948718,0.9967793129200896,0.5873015873015873,0.5753848003848004,0.5911864009262677,0.6095890410958904,0.5949425574425574,0.6075123823675325
11,l2,spike,primary,fixed250_ordered_mean,2048,0.1,0.9982788296041308,0.9983974358974358,0.9983818770226538,0.5952380952380952,0.5949855699855701,0.5950984283888556,0.6232876712328768,0.6111242923742923,0.6048968672652884
23,l2,spike,primary,fixed250_ordered_mean,2048,0.1,0.9965576592082617,0.996545584045584,0.9966520448207478,0.5952380952380952,0.5827922077922078,0.5962248005978656,0.6575342465753424,0.6428682428682428,0.6407207779514379
37,l2,spike,primary,fixed250_ordered_mean,2048,0.1,0.9948364888123924,0.9950023741690409,0.9950948403429826,0.6111111111111112,0.6011724386724386,0.6030329586051533,0.6164383561643836,0.6010662948162948,0.6039553112186814
11,l2,syn_current,primary,fixed250_ordered_mean,2048,0.1,0.9931153184165232,0.992441289998216,0.9930428868285731,0.5873015873015873,0.5801767676767677,0.5925295115512508,0.6027397260273972,0.5874771062271061,0.5821317269686835
