aggregation,layer,state,state_role,selected_C_mean,selected_C_std,train_ba_mean,train_ba_std,val_ba_mean,val_ba_std,test_ba_mean,test_ba_std,test_accuracy_mean,test_accuracy_std,test_macro_f1_mean,test_macro_f1_std
fixed250_ordered_mean,l1,post_reset,secondary,0.07,0.05196152422706632,0.9983764873470755,0.002812006401596122,0.5724747474747475,0.03625152236136164,0.5958768083768083,0.003476793970441619,0.6073059360730594,0.003954453898559088,0.6013683744415692,0.0016819058879076546
fixed250_ordered_mean,l1,pre_reset,primary,0.04,0.051961524227066326,0.9911790017474438,0.009111402060758528,0.5740079365079366,0.021342342678404475,0.623111148111148,0.010642177098256681,0.634703196347032,0.010462501586657156,0.6240693493844676,0.006505889404494006
fixed250_ordered_mean,l1,spike,primary,0.10000000000000002,0.0,0.9812278072443003,0.0027934810918358545,0.5391654641654642,0.028892598264843458,0.5514108576608576,0.03066658464082961,0.5616438356164384,0.0313875047599715,0.5484477921422044,0.03213721559527091
fixed250_ordered_mean,l1,syn_current,primary,4.0,5.196152422706632,1.0,0.0,0.5904260862594196,0.024886568107599052,0.6131211381211381,0.02100383626077604,0.6232876712328768,0.023726723391354444,0.6158071641946169,0.01760037350382907
fixed250_ordered_mean,l2,post_reset,secondary,0.10000000000000002,0.0,0.9943645245985536,0.00047403913785054835,0.548685265351932,0.011919896410569612,0.5751907814407814,0.016323067874674406,0.58675799086758,0.017237064920709377,0.5821924989942476,0.007479418137696334
fixed250_ordered_mean,l2,pre_reset,primary,0.10000000000000002,0.0,0.9936370692932995,0.002994299021264315,0.5648328523328524,0.012200645882568696,0.5869646557146556,0.008152696290137049,0.6004566210045662,0.010462501586657144,0.5896395661831808,0.01600285475283696
fixed250_ordered_mean,l2,spike,primary,0.10000000000000002,0.0,0.9966484647040202,0.001699867452865989,0.5929834054834054,0.009352257418556465,0.6183529433529433,0.021818358358565947,0.632420091324201,0.02201746749085147,0.6165243188118025,0.020960035976096462
fixed250_ordered_mean,l2,syn_current,primary,0.07,0.05196152422706632,0.9844895766844671,0.01767761893856789,0.5780042488375822,0.01741793140038658,0.5955077330077329,0.011939833481993673,0.6118721461187214,0.010462501586657225,0.5975560835195041,0.017091359415771893
whole_mean,l1,post_reset,secondary,3.6999999999999997,5.474486277268397,0.9396698233271769,0.07906815738145519,0.5223785473785473,0.04062405516107767,0.5450382950382949,0.019183137427170933,0.5547945205479452,0.020547945205479423,0.5412786778126409,0.026457234147135477
whole_mean,l1,pre_reset,primary,10.0,0.0,0.995383230452675,0.0008909726376382672,0.5414622414622414,0.024812127717800964,0.535258954008954,0.02703826401667126,0.5502283105022832,0.025931088336987606,0.5372271827572656,0.031099158785259737
whole_mean,l1,spike,primary,1.0,0.0,0.953798316888601,0.003965279693460228,0.5338423921757255,0.019773220331320056,0.5647514522514522,0.024849056426323332,0.5707762557077626,0.02201746749085152,0.5537631695879646,0.01920314346924603
whole_mean,l1,syn_current,primary,10.0,0.0,0.8700440314813234,0.0017581863179605844,0.5121632996632997,0.004825038884617497,0.49410473785473785,0.0138665189393033,0.5,0.018121584322360235,0.49642768820908917,0.016026160558926663
whole_mean,l2,post_reset,secondary,4.0,5.196152422706632,0.9740179141301027,0.014529584202135265,0.5281305114638447,0.016046614106650522,0.5146129333629333,0.03360072013258051,0.5205479452054794,0.0273972602739726,0.5032061468540433,0.028647275389276593
whole_mean,l2,pre_reset,primary,10.0,0.0,0.9879713243628486,0.0012577216755072622,0.5467612634279301,0.0265817605395413,0.5393981018981019,0.015798134713435656,0.545662100456621,0.014257986297713287,0.5269131429515469,0.019965153381709688
whole_mean,l2,spike,primary,0.4000000000000001,0.5196152422706632,0.9665895638674167,0.01749162330025995,0.5563692480359147,0.011253513451734363,0.5567756317756317,0.010088409912641478,0.5662100456621005,0.007908907797118128,0.5479607217094445,0.017952473676082117
whole_mean,l2,syn_current,primary,6.7,5.715767664977295,0.9665419478988656,0.03627739682897045,0.5525412858746191,0.01709621204294258,0.538374357124357,0.01895450021071885,0.541095890410959,0.02054794520547952,0.528511327221645,0.022857061761735797
