seed,split,aggregation,l2_spike_replay_max_abs_delta,tolerance
11,test,fixed250_ordered_mean,0.0,1e-06
11,test,whole_mean,0.0,1e-06
11,train,fixed250_ordered_mean,0.0,1e-06
11,train,whole_mean,0.0,1e-06
11,val,fixed250_ordered_mean,0.0,1e-06
11,val,whole_mean,0.0,1e-06
23,test,fixed250_ordered_mean,0.0,1e-06
23,test,whole_mean,0.0,1e-06
23,train,fixed250_ordered_mean,0.0,1e-06
23,train,whole_mean,0.0,1e-06
23,val,fixed250_ordered_mean,0.0,1e-06
23,val,whole_mean,0.0,1e-06
37,test,fixed250_ordered_mean,0.0,1e-06
37,test,whole_mean,0.0,1e-06
37,train,fixed250_ordered_mean,0.0,1e-06
37,train,whole_mean,0.0,1e-06
37,val,fixed250_ordered_mean,0.0,1e-06
37,val,whole_mean,0.0,1e-06
