contrast,architecture,training_family,regularization,metric,n,delta_mean,delta_std
analog_minus_if,234x234,e2e_wc,task_only,accuracy,3,0.06849315068493146,0.05171119476212844
analog_minus_if,234x234,e2e_wc,task_only,balanced_accuracy,3,0.0709188959188959,0.055623022601866245
analog_minus_if,234x234,e2e_wc,task_only,macro_f1,3,0.08368988662176063,0.07315667272226524
analog_minus_if,234x234,e2e_wc,task_plus_reg,accuracy,3,0.05479452054794522,0.01812158432236026
analog_minus_if,234x234,e2e_wc,task_plus_reg,balanced_accuracy,3,0.0527692215192215,0.023462993256808142
analog_minus_if,234x234,e2e_wc,task_plus_reg,macro_f1,3,0.06086873518118219,0.034668208570913885
analog_minus_if,234x234,local_tsce,task_only,accuracy,3,0.045662100456621,0.020925003173314374
analog_minus_if,234x234,local_tsce,task_only,balanced_accuracy,3,0.047502960002960025,0.02766667751228355
analog_minus_if,234x234,local_tsce,task_only,macro_f1,3,0.05845905376202707,0.04262763641487994
analog_minus_if,234x234,local_tsce,task_plus_reg,accuracy,3,0.011415525114155223,0.01046250158665715
analog_minus_if,234x234,local_tsce,task_plus_reg,balanced_accuracy,3,0.008183945683945723,0.01307598246968172
analog_minus_if,234x234,local_tsce,task_plus_reg,macro_f1,3,0.015062950104868614,0.008027035926286206
analog_minus_if,34x234,e2e_wc,task_only,accuracy,3,0.043378995433789924,0.08285501055536106
analog_minus_if,34x234,e2e_wc,task_only,balanced_accuracy,3,0.0475466662966663,0.08837275415654927
analog_minus_if,34x234,e2e_wc,task_only,macro_f1,3,0.056569503731244385,0.09727324519193345
analog_minus_if,34x234,e2e_wc,task_plus_reg,accuracy,3,0.06164383561643838,0.04794520547945205
analog_minus_if,34x234,e2e_wc,task_plus_reg,balanced_accuracy,3,0.062003968253968166,0.04963124887637194
analog_minus_if,34x234,e2e_wc,task_plus_reg,macro_f1,3,0.07668466078270542,0.062313164052027165
analog_minus_if,34x234,local_tsce,task_only,accuracy,3,0.04109589041095892,0.04166275705683713
analog_minus_if,34x234,local_tsce,task_only,balanced_accuracy,3,0.0402047027047027,0.042949299103496916
analog_minus_if,34x234,local_tsce,task_only,macro_f1,3,0.04689094792328515,0.05071669688573795
analog_minus_if,34x234,local_tsce,task_plus_reg,accuracy,3,0.05022831050228308,0.07128993148856617
analog_minus_if,34x234,local_tsce,task_plus_reg,balanced_accuracy,3,0.05375897250897258,0.07113283530051168
analog_minus_if,34x234,local_tsce,task_plus_reg,macro_f1,3,0.06045982834376858,0.08506365431913576
analog_minus_if,34x34,e2e_wc,task_only,accuracy,3,-0.002283105022831041,0.030885272279608904
analog_minus_if,34x34,e2e_wc,task_only,balanced_accuracy,3,0.0010413197913198096,0.031969409284913194
analog_minus_if,34x34,e2e_wc,task_only,macro_f1,3,0.003889305979893084,0.030574864589616092
analog_minus_if,34x34,e2e_wc,task_plus_reg,accuracy,3,0.02054794520547946,0.020547945205479423
analog_minus_if,34x34,e2e_wc,task_plus_reg,balanced_accuracy,3,0.022402134902134867,0.019249133097574905
analog_minus_if,34x34,e2e_wc,task_plus_reg,macro_f1,3,0.029816321885159553,0.014646546752508958
analog_minus_if,34x34,local_tsce,task_only,accuracy,3,0.029680365296803624,0.052312507933285825
analog_minus_if,34x34,local_tsce,task_only,balanced_accuracy,3,0.03016011766011763,0.05813763561476063
analog_minus_if,34x34,local_tsce,task_only,macro_f1,3,0.04068416573514929,0.07267700889975925
analog_minus_if,34x34,local_tsce,task_plus_reg,accuracy,3,0.034246575342465745,0.04277395889313976
analog_minus_if,34x34,local_tsce,task_plus_reg,balanced_accuracy,3,0.03355625855625851,0.049463524435525597
analog_minus_if,34x34,local_tsce,task_plus_reg,macro_f1,3,0.040439737222727236,0.0595770282131421
analog_minus_if,34x345,e2e_wc,task_only,accuracy,3,-0.004566210045662118,0.027681177289913563
analog_minus_if,34x345,e2e_wc,task_only,balanced_accuracy,3,-0.002321983571983636,0.026457310565956113
analog_minus_if,34x345,e2e_wc,task_only,macro_f1,3,0.005351795969332977,0.036177131694862905
analog_minus_if,34x345,e2e_wc,task_plus_reg,accuracy,3,0.0228310502283105,0.020925003173314336
analog_minus_if,34x345,e2e_wc,task_plus_reg,balanced_accuracy,3,0.024477143227143245,0.023267306426599556
analog_minus_if,34x345,e2e_wc,task_plus_reg,macro_f1,3,0.027945840948005046,0.030055210187503654
analog_minus_if,34x345,local_tsce,task_only,accuracy,3,0.03424657534246578,0.047945205479452024
analog_minus_if,34x345,local_tsce,task_only,balanced_accuracy,3,0.033339345839345814,0.04866032266601028
analog_minus_if,34x345,local_tsce,task_only,macro_f1,3,0.04661542973206465,0.06378319526148774
analog_minus_if,34x345,local_tsce,task_plus_reg,accuracy,3,0.06164383561643838,0.03138750475997152
analog_minus_if,34x345,local_tsce,task_plus_reg,balanced_accuracy,3,0.06403480778480782,0.032835637611469716
analog_minus_if,34x345,local_tsce,task_plus_reg,macro_f1,3,0.08203887754389033,0.039287718363634073
analog_minus_if,34x45,e2e_wc,task_only,accuracy,3,0.02739726027397262,0.013698630136986328
analog_minus_if,34x45,e2e_wc,task_only,balanced_accuracy,3,0.03005374255374253,0.01971648535700094
analog_minus_if,34x45,e2e_wc,task_only,macro_f1,3,0.03446819352335282,0.021681367236172276
analog_minus_if,34x45,e2e_wc,task_plus_reg,accuracy,3,-0.00684931506849316,0.013698630136986328
analog_minus_if,34x45,e2e_wc,task_plus_reg,balanced_accuracy,3,-0.0026091963591963565,0.01682621154910876
analog_minus_if,34x45,e2e_wc,task_plus_reg,macro_f1,3,-0.000681195240992342,0.019191038490890548
analog_minus_if,34x45,local_tsce,task_only,accuracy,3,0.03196347031963472,0.027681177289913567
analog_minus_if,34x45,local_tsce,task_only,balanced_accuracy,3,0.0395923520923521,0.03217434543814319
analog_minus_if,34x45,local_tsce,task_only,macro_f1,3,0.05333106310402604,0.05542180535674527
analog_minus_if,34x45,local_tsce,task_plus_reg,accuracy,3,0.0022831050228310037,0.014257986297713202
analog_minus_if,34x45,local_tsce,task_plus_reg,balanced_accuracy,3,0.007202982202982211,0.016436080257764288
analog_minus_if,34x45,local_tsce,task_plus_reg,macro_f1,3,0.015280776421823886,0.02641894076878294
analog_minus_if,4x4,e2e_wc,task_only,accuracy,3,-0.009132420091324181,0.03236860017981237
analog_minus_if,4x4,e2e_wc,task_only,balanced_accuracy,3,-0.007011044511044562,0.030132527612763332
analog_minus_if,4x4,e2e_wc,task_only,macro_f1,3,-0.002326199786759501,0.025637215443677117
analog_minus_if,4x4,e2e_wc,task_plus_reg,accuracy,3,0.02283105022831052,0.01046250158665718
analog_minus_if,4x4,e2e_wc,task_plus_reg,balanced_accuracy,3,0.02374685499685499,0.014815683946765367
analog_minus_if,4x4,e2e_wc,task_plus_reg,macro_f1,3,0.04158087864876353,0.047055106827777984
analog_minus_if,4x4,local_tsce,task_only,accuracy,3,0.04794520547945206,0.03138750475997152
analog_minus_if,4x4,local_tsce,task_only,balanced_accuracy,3,0.0501669626669626,0.03384668564252142
analog_minus_if,4x4,local_tsce,task_only,macro_f1,3,0.05688104162369528,0.04445880796752154
analog_minus_if,4x4,local_tsce,task_plus_reg,accuracy,3,0.047945205479452045,0.05479452054794523
analog_minus_if,4x4,local_tsce,task_plus_reg,balanced_accuracy,3,0.048431429681429605,0.05263529614640704
analog_minus_if,4x4,local_tsce,task_plus_reg,macro_f1,3,0.06318238541625203,0.061353978305859654
analog_minus_if,5x5,e2e_wc,task_only,accuracy,3,0.0639269406392694,0.0518621766739751
analog_minus_if,5x5,e2e_wc,task_only,balanced_accuracy,3,0.06572848447848446,0.05280187835323055
analog_minus_if,5x5,e2e_wc,task_only,macro_f1,3,0.09468148781380777,0.06023018129936226
analog_minus_if,5x5,e2e_wc,task_plus_reg,accuracy,3,0.07077625570776258,0.07029591012940938
analog_minus_if,5x5,e2e_wc,task_plus_reg,balanced_accuracy,3,0.06793044918044919,0.06733540225261292
analog_minus_if,5x5,e2e_wc,task_plus_reg,macro_f1,3,0.08607269448426598,0.07922847822756579
analog_minus_if,5x5,local_tsce,task_only,accuracy,3,0.04794520547945206,0.02054794520547945
analog_minus_if,5x5,local_tsce,task_only,balanced_accuracy,3,0.04960618085618081,0.020159603232164328
analog_minus_if,5x5,local_tsce,task_only,macro_f1,3,0.07972748187288663,0.038963981843026234
analog_minus_if,5x5,local_tsce,task_plus_reg,accuracy,3,0.011415525114155242,0.03236860017981237
analog_minus_if,5x5,local_tsce,task_plus_reg,balanced_accuracy,3,0.013237456987457005,0.03581556073087493
analog_minus_if,5x5,local_tsce,task_plus_reg,macro_f1,3,0.01034945400379006,0.05549978040257171
analog_minus_lif,234x234,e2e_wc,task_only,accuracy,3,0.5114155251141552,0.014257986297713191
analog_minus_lif,234x234,e2e_wc,task_only,balanced_accuracy,3,0.49040959040959037,0.018584955339888885
analog_minus_lif,234x234,e2e_wc,task_only,macro_f1,3,0.5578160437313511,0.01939203034812184
analog_minus_lif,234x234,e2e_wc,task_plus_reg,accuracy,3,0.34474885844748865,0.24603568545293283
analog_minus_lif,234x234,e2e_wc,task_plus_reg,balanced_accuracy,3,0.3316165316165316,0.23139330146084916
analog_minus_lif,234x234,e2e_wc,task_plus_reg,macro_f1,3,0.3736831937932188,0.2577381037987094
analog_minus_lif,234x234,local_tsce,task_only,accuracy,3,0.5319634703196348,0.01046250158665712
analog_minus_lif,234x234,local_tsce,task_only,balanced_accuracy,3,0.5120946183446183,0.010860690804373031
analog_minus_lif,234x234,local_tsce,task_only,macro_f1,3,0.5791506547401345,0.008671039758937453
analog_minus_lif,234x234,local_tsce,task_plus_reg,accuracy,3,0.4315068493150685,0.09060792161180108
analog_minus_lif,234x234,local_tsce,task_plus_reg,balanced_accuracy,3,0.41243663743663744,0.09153756234280595
analog_minus_lif,234x234,local_tsce,task_plus_reg,macro_f1,3,0.44340942006251227,0.11140902552049499
analog_minus_lif,34x234,e2e_wc,task_only,accuracy,3,0.45433789954337905,0.06214912141011967
analog_minus_lif,34x234,e2e_wc,task_only,balanced_accuracy,3,0.43897237022237023,0.056124420715311325
analog_minus_lif,34x234,e2e_wc,task_only,macro_f1,3,0.4875766583146017,0.06728178101283079
analog_minus_lif,34x234,e2e_wc,task_plus_reg,accuracy,3,0.5045662100456622,0.02593108833698753
analog_minus_lif,34x234,e2e_wc,task_plus_reg,balanced_accuracy,3,0.4822809135309134,0.028242716072439732
analog_minus_lif,34x234,e2e_wc,task_plus_reg,macro_f1,3,0.5449029427883277,0.033348491509650795
analog_minus_lif,34x234,local_tsce,task_only,accuracy,3,0.54337899543379,0.017237064920709515
analog_minus_lif,34x234,local_tsce,task_only,balanced_accuracy,3,0.5193209568209568,0.013647700261937472
analog_minus_lif,34x234,local_tsce,task_only,macro_f1,3,0.5839293933139136,0.009925006326480319
analog_minus_lif,34x234,local_tsce,task_plus_reg,accuracy,3,0.5593607305936074,0.04954916532924823
analog_minus_lif,34x234,local_tsce,task_plus_reg,balanced_accuracy,3,0.5422276797276797,0.045254711979188865
analog_minus_lif,34x234,local_tsce,task_plus_reg,macro_f1,3,0.6123584771443813,0.04825216011532626
analog_minus_lif,34x34,e2e_wc,task_only,accuracy,3,0.44520547945205485,0.018121584322360215
analog_minus_lif,34x34,e2e_wc,task_only,balanced_accuracy,3,0.4311757686757687,0.014599277533481853
analog_minus_lif,34x34,e2e_wc,task_only,macro_f1,3,0.49213589916620304,0.018969999200896658
analog_minus_lif,34x34,e2e_wc,task_plus_reg,accuracy,3,0.44292237442922383,0.027681177289913515
analog_minus_lif,34x34,e2e_wc,task_plus_reg,balanced_accuracy,3,0.4313949938949939,0.029905905150586973
analog_minus_lif,34x34,e2e_wc,task_plus_reg,macro_f1,3,0.490531645696652,0.040795803553919076
analog_minus_lif,34x34,local_tsce,task_only,accuracy,3,0.5091324200913242,0.027681177289913525
analog_minus_lif,34x34,local_tsce,task_only,balanced_accuracy,3,0.489567377067377,0.026512123343720218
analog_minus_lif,34x34,local_tsce,task_only,macro_f1,3,0.5560066371199407,0.027586112524005776
analog_minus_lif,34x34,local_tsce,task_plus_reg,accuracy,3,0.5068493150684932,0.01186336169567729
analog_minus_lif,34x34,local_tsce,task_plus_reg,balanced_accuracy,3,0.48678867428867423,0.020173797405942766
analog_minus_lif,34x34,local_tsce,task_plus_reg,macro_f1,3,0.5451933266073242,0.019554167400045164
analog_minus_lif,34x345,e2e_wc,task_only,accuracy,3,0.4269406392694064,0.015817815594236322
