contrast,architecture,training_family,regularization,seed,metric,delta
probe_analog_minus_native_analog,234x234,e2e_wc,task_only,37,accuracy,0.041095890410958846
probe_analog_minus_native_analog,234x234,e2e_wc,task_only,37,balanced_accuracy,0.047028665778665824
probe_analog_minus_native_analog,234x234,e2e_wc,task_only,37,macro_f1,0.05975506770040068
probe_analog_minus_native_lif,234x234,e2e_wc,task_only,37,accuracy,0.06849315068493145
probe_analog_minus_native_lif,234x234,e2e_wc,task_only,37,balanced_accuracy,0.07745795870795874
probe_analog_minus_native_lif,234x234,e2e_wc,task_only,37,macro_f1,0.10096605092801986
analog_minus_if,234x234,e2e_wc,task_plus_reg,11,accuracy,0.0410958904109589
analog_minus_if,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.03624639249639261
analog_minus_if,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.03240499764112964
if_minus_lif,234x234,e2e_wc,task_plus_reg,11,accuracy,0.020547945205479423
if_minus_lif,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.02939907314907303
if_minus_lif,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.04517178083354545
analog_minus_lif,234x234,e2e_wc,task_plus_reg,11,accuracy,0.061643835616438325
analog_minus_lif,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.06564546564546564
analog_minus_lif,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.07757677847467509
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,11,accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,11,macro_f1,-0.000575609031491453
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,11,accuracy,0.0273972602739726
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.025432900432900418
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.029902879752506717
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,11,accuracy,0.0273972602739726
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.022359584859584836
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,11,macro_f1,0.02168136425583067
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,11,accuracy,-0.08219178082191786
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,-0.07243589743589735
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,11,macro_f1,-0.09014183334793824
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,11,accuracy,-0.05479452054794526
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,11,balanced_accuracy,-0.05007631257631251
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,11,macro_f1,-0.06846046909210757
analog_minus_if,234x234,e2e_wc,task_plus_reg,23,accuracy,0.047945205479452024
analog_minus_if,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.042436036186035975
analog_minus_if,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.05072343390514611
if_minus_lif,234x234,e2e_wc,task_plus_reg,23,accuracy,0.45890410958904115
if_minus_lif,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.4442432567432569
if_minus_lif,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.49689101336142905
analog_minus_lif,234x234,e2e_wc,task_plus_reg,23,accuracy,0.5068493150684932
analog_minus_lif,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.48667929292929285
analog_minus_lif,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.5476144472665752
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,23,accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.0
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,23,accuracy,0.0
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.0
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.0
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,23,accuracy,0.006849315068493178
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.0028638028638028334
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.004122870430241621
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,23,accuracy,0.041095890410958846
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.04306110556110554
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.05022196414499969
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,23,accuracy,0.047945205479452024
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,23,balanced_accuracy,0.04592490842490837
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,23,macro_f1,0.05434483457524131
analog_minus_if,234x234,e2e_wc,task_plus_reg,37,accuracy,0.07534246575342474
analog_minus_if,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.0796252358752359
analog_minus_if,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.09947777399727081
if_minus_lif,234x234,e2e_wc,task_plus_reg,37,accuracy,0.3904109589041096
if_minus_lif,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.36289960039960045
if_minus_lif,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.3963805816411354
analog_minus_lif,234x234,e2e_wc,task_plus_reg,37,accuracy,0.46575342465753433
analog_minus_lif,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.44252483627483635
analog_minus_lif,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.4958583556384062
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,37,accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.0
multispike_minus_lif,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.0
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,37,accuracy,0.0
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.0
bipolar_minus_lif,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.0
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,37,accuracy,-0.0273972602739726
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,-0.02305194805194799
native_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,37,macro_f1,-0.018091730531456407
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,37,accuracy,0.020547945205479534
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,0.019724025974026005
probe_analog_minus_native_analog,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.026138812670387812
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,37,accuracy,-0.006849315068493067
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,37,balanced_accuracy,-0.0033279220779219854
probe_analog_minus_native_lif,234x234,e2e_wc,task_plus_reg,37,macro_f1,0.008047082138931405
analog_minus_if,234x234,local_tsce,task_only,11,accuracy,0.0273972602739726
analog_minus_if,234x234,local_tsce,task_only,11,balanced_accuracy,0.022084859584859617
analog_minus_if,234x234,local_tsce,task_only,11,macro_f1,0.024522695164673203
if_minus_lif,234x234,local_tsce,task_only,11,accuracy,0.49315068493150693
if_minus_lif,234x234,local_tsce,task_only,11,balanced_accuracy,0.47796439671439667
if_minus_lif,234x234,local_tsce,task_only,11,macro_f1,0.5480811414594519
analog_minus_lif,234x234,local_tsce,task_only,11,accuracy,0.5205479452054795
analog_minus_lif,234x234,local_tsce,task_only,11,balanced_accuracy,0.5000492562992562
analog_minus_lif,234x234,local_tsce,task_only,11,macro_f1,0.5726038366241251
multispike_minus_lif,234x234,local_tsce,task_only,11,accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_only,11,balanced_accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_only,11,macro_f1,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,11,accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,11,balanced_accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,11,macro_f1,0.0
analog_minus_if,234x234,local_tsce,task_only,23,accuracy,0.041095890410958846
analog_minus_if,234x234,local_tsce,task_only,23,balanced_accuracy,0.04345238095238102
analog_minus_if,234x234,local_tsce,task_only,23,macro_f1,0.04455073617094896
if_minus_lif,234x234,local_tsce,task_only,23,accuracy,0.49315068493150693
if_minus_lif,234x234,local_tsce,task_only,23,balanced_accuracy,0.4716422466422466
if_minus_lif,234x234,local_tsce,task_only,23,macro_f1,0.5313127400073203
analog_minus_lif,234x234,local_tsce,task_only,23,accuracy,0.5342465753424658
analog_minus_lif,234x234,local_tsce,task_only,23,balanced_accuracy,0.5150946275946275
analog_minus_lif,234x234,local_tsce,task_only,23,macro_f1,0.5758634761782693
multispike_minus_lif,234x234,local_tsce,task_only,23,accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_only,23,balanced_accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_only,23,macro_f1,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,23,accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,23,balanced_accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,23,macro_f1,0.0
analog_minus_if,234x234,local_tsce,task_only,37,accuracy,0.06849315068493156
analog_minus_if,234x234,local_tsce,task_only,37,balanced_accuracy,0.07697163947163943
analog_minus_if,234x234,local_tsce,task_only,37,macro_f1,0.10630372995045906
if_minus_lif,234x234,local_tsce,task_only,37,accuracy,0.4726027397260274
if_minus_lif,234x234,local_tsce,task_only,37,balanced_accuracy,0.44416833166833164
if_minus_lif,234x234,local_tsce,task_only,37,macro_f1,0.4826809214675502
analog_minus_lif,234x234,local_tsce,task_only,37,accuracy,0.541095890410959
analog_minus_lif,234x234,local_tsce,task_only,37,balanced_accuracy,0.521139971139971
analog_minus_lif,234x234,local_tsce,task_only,37,macro_f1,0.5889846514180093
multispike_minus_lif,234x234,local_tsce,task_only,37,accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_only,37,balanced_accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_only,37,macro_f1,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,37,accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,37,balanced_accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_only,37,macro_f1,0.0
analog_minus_if,234x234,local_tsce,task_plus_reg,11,accuracy,0.020547945205479423
analog_minus_if,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.019938394938394888
analog_minus_if,234x234,local_tsce,task_plus_reg,11,macro_f1,0.01992019929365596
if_minus_lif,234x234,local_tsce,task_plus_reg,11,accuracy,0.3767123287671233
if_minus_lif,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.3580773393273392
if_minus_lif,234x234,local_tsce,task_plus_reg,11,macro_f1,0.373053067980435
analog_minus_lif,234x234,local_tsce,task_plus_reg,11,accuracy,0.3972602739726027
analog_minus_lif,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.3780157342657341
analog_minus_lif,234x234,local_tsce,task_plus_reg,11,macro_f1,0.392973267274091
multispike_minus_lif,234x234,local_tsce,task_plus_reg,11,accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_plus_reg,11,macro_f1,0.0
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,11,accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,11,balanced_accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,11,macro_f1,-0.005285106293401509
analog_minus_if,234x234,local_tsce,task_plus_reg,23,accuracy,0.013698630136986245
analog_minus_if,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.010513791763791858
analog_minus_if,234x234,local_tsce,task_plus_reg,23,macro_f1,0.019470892887485713
if_minus_lif,234x234,local_tsce,task_plus_reg,23,accuracy,0.34931506849315075
if_minus_lif,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.33258547008547
if_minus_lif,234x234,local_tsce,task_plus_reg,23,macro_f1,0.3466670097738007
analog_minus_lif,234x234,local_tsce,task_plus_reg,23,accuracy,0.363013698630137
analog_minus_lif,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.34309926184926187
analog_minus_lif,234x234,local_tsce,task_plus_reg,23,macro_f1,0.36613790266128643
multispike_minus_lif,234x234,local_tsce,task_plus_reg,23,accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_plus_reg,23,macro_f1,0.0
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,23,accuracy,0.00684931506849315
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,23,balanced_accuracy,0.005952380952380959
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,23,macro_f1,0.013313632631438532
analog_minus_if,234x234,local_tsce,task_plus_reg,37,accuracy,0.0
analog_minus_if,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,-0.005900349650349579
analog_minus_if,234x234,local_tsce,task_plus_reg,37,macro_f1,0.00579775813346417
if_minus_lif,234x234,local_tsce,task_plus_reg,37,accuracy,0.5342465753424658
if_minus_lif,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.5220952658452658
if_minus_lif,234x234,local_tsce,task_plus_reg,37,macro_f1,0.5653193321186952
analog_minus_lif,234x234,local_tsce,task_plus_reg,37,accuracy,0.5342465753424658
analog_minus_lif,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.5161949161949162
analog_minus_lif,234x234,local_tsce,task_plus_reg,37,macro_f1,0.5711170902521594
multispike_minus_lif,234x234,local_tsce,task_plus_reg,37,accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.0
multispike_minus_lif,234x234,local_tsce,task_plus_reg,37,macro_f1,0.0
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,37,accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,37,balanced_accuracy,0.0
bipolar_minus_lif,234x234,local_tsce,task_plus_reg,37,macro_f1,0.0
analog_minus_if,34x234,e2e_wc,task_only,11,accuracy,-0.020547945205479534
analog_minus_if,34x234,e2e_wc,task_only,11,balanced_accuracy,-0.023707542457542474
analog_minus_if,34x234,e2e_wc,task_only,11,macro_f1,-0.020232727675855378
if_minus_lif,34x234,e2e_wc,task_only,11,accuracy,0.46575342465753433
if_minus_lif,34x234,e2e_wc,task_only,11,balanced_accuracy,0.44742410367410373
if_minus_lif,34x234,e2e_wc,task_only,11,macro_f1,0.5151588806791458
analog_minus_lif,34x234,e2e_wc,task_only,11,accuracy,0.4452054794520548
analog_minus_lif,34x234,e2e_wc,task_only,11,balanced_accuracy,0.42371656121656126
analog_minus_lif,34x234,e2e_wc,task_only,11,macro_f1,0.49492615300329046
multispike_minus_lif,34x234,e2e_wc,task_only,11,accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_only,11,balanced_accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_only,11,macro_f1,0.0
bipolar_minus_lif,34x234,e2e_wc,task_only,11,accuracy,0.0
bipolar_minus_lif,34x234,e2e_wc,task_only,11,balanced_accuracy,0.0
bipolar_minus_lif,34x234,e2e_wc,task_only,11,macro_f1,0.0
native_analog_minus_native_lif,34x234,e2e_wc,task_only,11,accuracy,-0.013698630136986356
native_analog_minus_native_lif,34x234,e2e_wc,task_only,11,balanced_accuracy,-0.014917027417027329
native_analog_minus_native_lif,34x234,e2e_wc,task_only,11,macro_f1,-0.016316010572928197
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,11,accuracy,0.020547945205479423
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,11,balanced_accuracy,0.016216422466422464
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,11,macro_f1,0.02719123610433588
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,11,accuracy,0.006849315068493067
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,11,balanced_accuracy,0.0012993950493951356
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,11,macro_f1,0.010875225531407684
analog_minus_if,34x234,e2e_wc,task_only,23,accuracy,0.013698630136986245
analog_minus_if,34x234,e2e_wc,task_only,23,balanced_accuracy,0.019913419913419828
analog_minus_if,34x234,e2e_wc,task_only,23,macro_f1,0.02399071264183117
if_minus_lif,34x234,e2e_wc,task_only,23,accuracy,0.3835616438356165
if_minus_lif,34x234,e2e_wc,task_only,23,balanced_accuracy,0.37213966588966585
if_minus_lif,34x234,e2e_wc,task_only,23,macro_f1,0.39293115091037617
analog_minus_lif,34x234,e2e_wc,task_only,23,accuracy,0.3972602739726027
analog_minus_lif,34x234,e2e_wc,task_only,23,balanced_accuracy,0.39205308580308573
analog_minus_lif,34x234,e2e_wc,task_only,23,macro_f1,0.41692186355220734
multispike_minus_lif,34x234,e2e_wc,task_only,23,accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_only,23,balanced_accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_only,23,macro_f1,0.0
bipolar_minus_lif,34x234,e2e_wc,task_only,23,accuracy,0.00684931506849315
bipolar_minus_lif,34x234,e2e_wc,task_only,23,balanced_accuracy,0.005952380952380987
bipolar_minus_lif,34x234,e2e_wc,task_only,23,macro_f1,0.009003566271490016
native_analog_minus_native_lif,34x234,e2e_wc,task_only,23,accuracy,0.020547945205479423
native_analog_minus_native_lif,34x234,e2e_wc,task_only,23,balanced_accuracy,0.017225829725829644
native_analog_minus_native_lif,34x234,e2e_wc,task_only,23,macro_f1,0.023194428811539658
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,23,accuracy,-0.013698630136986356
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,23,balanced_accuracy,-0.003798978798978836
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,23,macro_f1,-0.009557786228311382
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,23,accuracy,0.006849315068493067
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,23,balanced_accuracy,0.013426850926850808
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,23,macro_f1,0.013636642583228276
analog_minus_if,34x234,e2e_wc,task_only,37,accuracy,0.13698630136986306
analog_minus_if,34x234,e2e_wc,task_only,37,balanced_accuracy,0.14643412143412154
analog_minus_if,34x234,e2e_wc,task_only,37,macro_f1,0.16595052622775736
if_minus_lif,34x234,e2e_wc,task_only,37,accuracy,0.3835616438356164
if_minus_lif,34x234,e2e_wc,task_only,37,balanced_accuracy,0.35471334221334216
if_minus_lif,34x234,e2e_wc,task_only,37,macro_f1,0.38493143216054987
analog_minus_lif,34x234,e2e_wc,task_only,37,accuracy,0.5205479452054795
analog_minus_lif,34x234,e2e_wc,task_only,37,balanced_accuracy,0.5011474636474637
analog_minus_lif,34x234,e2e_wc,task_only,37,macro_f1,0.5508819583883072
multispike_minus_lif,34x234,e2e_wc,task_only,37,accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_only,37,balanced_accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_only,37,macro_f1,0.0
bipolar_minus_lif,34x234,e2e_wc,task_only,37,accuracy,0.0
bipolar_minus_lif,34x234,e2e_wc,task_only,37,balanced_accuracy,0.0
bipolar_minus_lif,34x234,e2e_wc,task_only,37,macro_f1,0.0
native_analog_minus_native_lif,34x234,e2e_wc,task_only,37,accuracy,0.020547945205479423
native_analog_minus_native_lif,34x234,e2e_wc,task_only,37,balanced_accuracy,0.02341061716061721
native_analog_minus_native_lif,34x234,e2e_wc,task_only,37,macro_f1,0.018001535124238632
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,37,accuracy,0.10273972602739734
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,37,balanced_accuracy,0.10553127428127435
probe_analog_minus_native_analog,34x234,e2e_wc,task_only,37,macro_f1,0.1117653514854951
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,37,accuracy,0.12328767123287676
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,37,balanced_accuracy,0.12894189144189155
probe_analog_minus_native_lif,34x234,e2e_wc,task_only,37,macro_f1,0.12976688660973373
analog_minus_if,34x234,e2e_wc,task_plus_reg,11,accuracy,0.11643835616438358
analog_minus_if,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.11890470640470635
analog_minus_if,34x234,e2e_wc,task_plus_reg,11,macro_f1,0.1461321204171569
if_minus_lif,34x234,e2e_wc,task_plus_reg,11,accuracy,0.36986301369863017
if_minus_lif,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.3450313575313576
if_minus_lif,34x234,e2e_wc,task_plus_reg,11,macro_f1,0.3755435033722782
analog_minus_lif,34x234,e2e_wc,task_plus_reg,11,accuracy,0.48630136986301375
analog_minus_lif,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.46393606393606396
analog_minus_lif,34x234,e2e_wc,task_plus_reg,11,macro_f1,0.5216756237894351
multispike_minus_lif,34x234,e2e_wc,task_plus_reg,11,accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.0
multispike_minus_lif,34x234,e2e_wc,task_plus_reg,11,macro_f1,0.0
bipolar_minus_lif,34x234,e2e_wc,task_plus_reg,11,accuracy,0.0
bipolar_minus_lif,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.0
bipolar_minus_lif,34x234,e2e_wc,task_plus_reg,11,macro_f1,0.0
native_analog_minus_native_lif,34x234,e2e_wc,task_plus_reg,11,accuracy,0.0068493150684931225
native_analog_minus_native_lif,34x234,e2e_wc,task_plus_reg,11,balanced_accuracy,0.005876068376068355
