architecture,training_family,regularization,seed,probe_C,beta_lif
234x234,e2e_wc,task_only,11,0.1,0.4999675576146916
234x234,e2e_wc,task_only,23,0.1,0.4999675576146916
234x234,e2e_wc,task_only,37,0.01,0.4999675576146916
234x234,e2e_wc,task_plus_reg,11,10.0,0.4999675576146916
234x234,e2e_wc,task_plus_reg,23,0.1,0.4999675576146916
234x234,e2e_wc,task_plus_reg,37,0.01,0.4999675576146916
234x234,local_tsce,task_only,11,0.1,0.4999675576146916
234x234,local_tsce,task_only,23,0.1,0.4999675576146916
234x234,local_tsce,task_only,37,0.01,0.4999675576146916
234x234,local_tsce,task_plus_reg,11,1.0,0.4999675576146916
234x234,local_tsce,task_plus_reg,23,1.0,0.4999675576146916
234x234,local_tsce,task_plus_reg,37,0.1,0.4999675576146916
34x234,e2e_wc,task_only,11,0.1,0.4999675576146916
34x234,e2e_wc,task_only,23,1.0,0.4999675576146916
34x234,e2e_wc,task_only,37,0.01,0.4999675576146916
34x234,e2e_wc,task_plus_reg,11,0.01,0.4999675576146916
34x234,e2e_wc,task_plus_reg,23,0.1,0.4999675576146916
34x234,e2e_wc,task_plus_reg,37,0.1,0.4999675576146916
34x234,local_tsce,task_only,11,0.01,0.4999675576146916
34x234,local_tsce,task_only,23,0.1,0.4999675576146916
34x234,local_tsce,task_only,37,0.1,0.4999675576146916
34x234,local_tsce,task_plus_reg,11,0.01,0.4999675576146916
34x234,local_tsce,task_plus_reg,23,0.1,0.4999675576146916
34x234,local_tsce,task_plus_reg,37,0.1,0.4999675576146916
34x34,e2e_wc,task_only,11,0.1,0.4999675576146916
34x34,e2e_wc,task_only,23,1.0,0.4999675576146916
34x34,e2e_wc,task_only,37,0.1,0.4999675576146916
34x34,e2e_wc,task_plus_reg,11,0.1,0.4999675576146916
34x34,e2e_wc,task_plus_reg,23,1.0,0.4999675576146916
34x34,e2e_wc,task_plus_reg,37,0.1,0.4999675576146916
34x34,local_tsce,task_only,11,0.1,0.4999675576146916
34x34,local_tsce,task_only,23,0.01,0.4999675576146916
34x34,local_tsce,task_only,37,0.1,0.4999675576146916
34x34,local_tsce,task_plus_reg,11,0.1,0.4999675576146916
34x34,local_tsce,task_plus_reg,23,0.01,0.4999675576146916
34x34,local_tsce,task_plus_reg,37,0.1,0.4999675576146916
34x345,e2e_wc,task_only,11,0.1,0.4999675576146916
34x345,e2e_wc,task_only,23,0.1,0.4999675576146916
34x345,e2e_wc,task_only,37,0.1,0.4999675576146916
34x345,e2e_wc,task_plus_reg,11,1.0,0.4999675576146916
34x345,e2e_wc,task_plus_reg,23,0.1,0.4999675576146916
34x345,e2e_wc,task_plus_reg,37,0.1,0.4999675576146916
34x345,local_tsce,task_only,11,0.01,0.4999675576146916
34x345,local_tsce,task_only,23,0.1,0.4999675576146916
34x345,local_tsce,task_only,37,0.1,0.4999675576146916
34x345,local_tsce,task_plus_reg,11,0.01,0.4999675576146916
34x345,local_tsce,task_plus_reg,23,0.01,0.4999675576146916
34x345,local_tsce,task_plus_reg,37,0.01,0.4999675576146916
34x45,e2e_wc,task_only,11,0.1,0.4999675576146916
34x45,e2e_wc,task_only,23,10.0,0.4999675576146916
34x45,e2e_wc,task_only,37,1.0,0.4999675576146916
34x45,e2e_wc,task_plus_reg,11,0.1,0.4999675576146916
34x45,e2e_wc,task_plus_reg,23,10.0,0.4999675576146916
34x45,e2e_wc,task_plus_reg,37,0.1,0.4999675576146916
34x45,local_tsce,task_only,11,0.01,0.4999675576146916
34x45,local_tsce,task_only,23,0.1,0.4999675576146916
34x45,local_tsce,task_only,37,0.1,0.4999675576146916
34x45,local_tsce,task_plus_reg,11,10.0,0.4999675576146916
34x45,local_tsce,task_plus_reg,23,0.1,0.4999675576146916
34x45,local_tsce,task_plus_reg,37,0.01,0.4999675576146916
4x4,e2e_wc,task_only,11,1.0,0.4999675576146916
4x4,e2e_wc,task_only,23,0.1,0.4999675576146916
4x4,e2e_wc,task_only,37,0.1,0.4999675576146916
4x4,e2e_wc,task_plus_reg,11,1.0,0.4999675576146916
4x4,e2e_wc,task_plus_reg,23,1.0,0.4999675576146916
4x4,e2e_wc,task_plus_reg,37,0.01,0.4999675576146916
4x4,local_tsce,task_only,11,0.01,0.4999675576146916
4x4,local_tsce,task_only,23,0.1,0.4999675576146916
4x4,local_tsce,task_only,37,1.0,0.4999675576146916
4x4,local_tsce,task_plus_reg,11,0.01,0.4999675576146916
4x4,local_tsce,task_plus_reg,23,0.1,0.4999675576146916
4x4,local_tsce,task_plus_reg,37,0.1,0.4999675576146916
5x5,e2e_wc,task_only,11,0.1,0.4999675576146916
5x5,e2e_wc,task_only,23,0.01,0.4999675576146916
5x5,e2e_wc,task_only,37,0.1,0.4999675576146916
5x5,e2e_wc,task_plus_reg,11,0.001,0.4999675576146916
5x5,e2e_wc,task_plus_reg,23,0.1,0.4999675576146916
5x5,e2e_wc,task_plus_reg,37,0.001,0.4999675576146916
5x5,local_tsce,task_only,11,1.0,0.4999675576146916
5x5,local_tsce,task_only,23,0.01,0.4999675576146916
5x5,local_tsce,task_only,37,0.01,0.4999675576146916
5x5,local_tsce,task_plus_reg,11,0.01,0.4999675576146916
5x5,local_tsce,task_plus_reg,23,0.1,0.4999675576146916
5x5,local_tsce,task_plus_reg,37,1.0,0.4999675576146916
