architecture,training_family,regularization,seed,source,split,accuracy,balanced_accuracy,macro_f1
234x234,e2e_wc,task_only,11,native_e2e_lif,test,0.5,0.47935051060051054,0.4723581518801266
234x234,e2e_wc,task_only,11,native_e2e_lif,train,0.8984509466437177,0.8968517495741355,0.898856960376417
234x234,e2e_wc,task_only,11,native_e2e_lif,val,0.4523809523809524,0.44167869167869167,0.4338463227137117
234x234,e2e_wc,task_only,11,native_w_analog_sum,test,0.5136986301369864,0.4955912143412142,0.48269920050332343
234x234,e2e_wc,task_only,11,native_w_analog_sum,train,0.8984509466437177,0.8958907183148693,0.8986029655613622
234x234,e2e_wc,task_only,11,native_w_analog_sum,val,0.4365079365079365,0.42884199134199125,0.42097639804456805
234x234,e2e_wc,task_only,11,probe_analog_sum,test,0.6027397260273972,0.5951250138750138,0.5918729783861363
234x234,e2e_wc,task_only,11,probe_analog_sum,train,0.9345955249569707,0.9327033792923024,0.937765980380486
234x234,e2e_wc,task_only,11,probe_analog_sum,val,0.47619047619047616,0.4691558441558441,0.47664700701027934
234x234,e2e_wc,task_only,11,probe_bipolar_lif_beta05_cap1,test,0.07534246575342465,0.08333333333333333,0.01167728237791932
234x234,e2e_wc,task_only,11,probe_bipolar_lif_beta05_cap1,train,0.08950086058519793,0.08333333333333333,0.01369141653501843
234x234,e2e_wc,task_only,11,probe_bipolar_lif_beta05_cap1,val,0.09523809523809523,0.08333333333333333,0.014492753623188406
234x234,e2e_wc,task_only,11,probe_if_beta1_cap1,test,0.5273972602739726,0.5165327727827728,0.5096309465917308
234x234,e2e_wc,task_only,11,probe_if_beta1_cap1,train,0.9018932874354562,0.9015104858735964,0.9068107580229648
234x234,e2e_wc,task_only,11,probe_if_beta1_cap1,val,0.42063492063492064,0.41078643578643576,0.406266448443312
234x234,e2e_wc,task_only,11,probe_lif_beta05_cap1,test,0.07534246575342465,0.08333333333333333,0.01167728237791932
234x234,e2e_wc,task_only,11,probe_lif_beta05_cap1,train,0.08950086058519793,0.08333333333333333,0.01369141653501843
234x234,e2e_wc,task_only,11,probe_lif_beta05_cap1,val,0.09523809523809523,0.08333333333333333,0.014492753623188406
234x234,e2e_wc,task_only,11,probe_lif_beta05_cap31,test,0.07534246575342465,0.08333333333333333,0.01167728237791932
234x234,e2e_wc,task_only,11,probe_lif_beta05_cap31,train,0.08950086058519793,0.08333333333333333,0.01369141653501843
234x234,e2e_wc,task_only,11,probe_lif_beta05_cap31,val,0.09523809523809523,0.08333333333333333,0.014492753623188406
234x234,e2e_wc,task_only,23,native_e2e_lif,test,0.5616438356164384,0.5450931013431013,0.5292078082519258
234x234,e2e_wc,task_only,23,native_e2e_lif,train,0.8623063683304647,0.8535978662424561,0.856505918176303
234x234,e2e_wc,task_only,23,native_e2e_lif,val,0.48412698412698413,0.4592412217412217,0.4317367765819779
234x234,e2e_wc,task_only,23,native_w_analog_sum,test,0.5684931506849316,0.55127997002997,0.5462872855932711
234x234,e2e_wc,task_only,23,native_w_analog_sum,train,0.8450946643717728,0.8348121653055761,0.8385462826545823
234x234,e2e_wc,task_only,23,native_w_analog_sum,val,0.4523809523809524,0.4291486291486291,0.40379753113246264
234x234,e2e_wc,task_only,23,probe_analog_sum,test,0.5821917808219178,0.5646346708846709,0.5576599053799598
234x234,e2e_wc,task_only,23,probe_analog_sum,train,0.9018932874354562,0.9008730708505898,0.906759304028849
234x234,e2e_wc,task_only,23,probe_analog_sum,val,0.5238095238095238,0.5063251563251564,0.5147002668776862
234x234,e2e_wc,task_only,23,probe_bipolar_lif_beta05_cap1,test,0.07534246575342465,0.08333333333333333,0.01167728237791932
234x234,e2e_wc,task_only,23,probe_bipolar_lif_beta05_cap1,train,0.08950086058519793,0.08333333333333333,0.01369141653501843
234x234,e2e_wc,task_only,23,probe_bipolar_lif_beta05_cap1,val,0.09523809523809523,0.08333333333333333,0.014492753623188406
234x234,e2e_wc,task_only,23,probe_if_beta1_cap1,test,0.5684931506849316,0.552777084027084,0.5463920177594068
234x234,e2e_wc,task_only,23,probe_if_beta1_cap1,train,0.8709122203098106,0.8667658590301368,0.8729745127918953
234x234,e2e_wc,task_only,23,probe_if_beta1_cap1,val,0.5,0.483044733044733,0.47809021588433365
234x234,e2e_wc,task_only,23,probe_lif_beta05_cap1,test,0.07534246575342465,0.08333333333333333,0.01167728237791932
234x234,e2e_wc,task_only,23,probe_lif_beta05_cap1,train,0.08950086058519793,0.08333333333333333,0.01369141653501843
234x234,e2e_wc,task_only,23,probe_lif_beta05_cap1,val,0.09523809523809523,0.08333333333333333,0.014492753623188406
234x234,e2e_wc,task_only,23,probe_lif_beta05_cap31,test,0.07534246575342465,0.08333333333333333,0.01167728237791932
234x234,e2e_wc,task_only,23,probe_lif_beta05_cap31,train,0.08950086058519793,0.08333333333333333,0.01369141653501843
234x234,e2e_wc,task_only,23,probe_lif_beta05_cap31,val,0.09523809523809523,0.08333333333333333,0.014492753623188406
234x234,e2e_wc,task_only,37,native_e2e_lif,test,0.5068493150684932,0.4840111277611277,0.45798104363369524
234x234,e2e_wc,task_only,37,native_e2e_lif,train,0.9122203098106713,0.9131628219297908,0.9150360425505912
234x234,e2e_wc,task_only,37,native_e2e_lif,val,0.47619047619047616,0.46545815295815296,0.4467715057846637
234x234,e2e_wc,task_only,37,native_w_analog_sum,test,0.5342465753424658,0.5144404206904206,0.4991920268613144
234x234,e2e_wc,task_only,37,native_w_analog_sum,train,0.9053356282271945,0.9063020333473041,0.9060704628075361
234x234,e2e_wc,task_only,37,native_w_analog_sum,val,0.4603174603174603,0.45745550745550756,0.44478549195761025
234x234,e2e_wc,task_only,37,probe_analog_sum,test,0.5753424657534246,0.5614690864690864,0.5589470945617151
234x234,e2e_wc,task_only,37,probe_analog_sum,train,0.8537005163511188,0.8463062497265086,0.8576488980420601
234x234,e2e_wc,task_only,37,probe_analog_sum,val,0.46825396825396826,0.45275372775372774,0.43838493185656496
