metric,D_mixed_to_raw,D_mixed_to_reconstruction
CNN_test_balanced_accuracy,0.5552849927849928,0.5499037999037999
CNN_test_accuracy,0.5748031496062992,0.5669291338582677
CNN_test_macro_f1,0.5615775018076151,0.5315672250454859
kNN_selected_k,5.0,5.0
kNN_test_balanced_accuracy,0.5528499278499278,0.6033549783549783
kNN_test_accuracy,0.5748031496062992,0.6141732283464567
kNN_test_macro_f1,0.5254027028432801,0.5889765878542969
prototype_test_balanced_accuracy,0.5915704665704665,0.5894660894660895
prototype_test_accuracy,0.6062992125984252,0.5984251968503937
prototype_test_macro_f1,0.5616458218930513,0.5805729779056438
linear_probe_test_balanced_accuracy,0.5270863395863395,0.5891654641654643
linear_probe_test_accuracy,0.5433070866141733,0.5905511811023622
linear_probe_test_macro_f1,0.501360877447834,0.5793961791156742
retrieval_macro_mAP,0.4456628136339178,0.4677838158857817
retrieval_micro_mAP,0.45825735298137743,0.4786513850259234
SameLabel_macro_at_1,0.5263648388648389,0.566017316017316
SameLabel_micro_at_1,0.5354330708661418,0.5748031496062992
D_intra_macro,0.06056792040712846,0.05990217549465094
D_inter_centroids,0.083070307970047,0.09838784486055374
D_inter_over_D_intra,1.371523199249526,1.6424753199104924
NMI_arithmetic,0.6773046299181615,0.6275980069090364
ARI,0.41217172416004455,0.42100996808655544
silhouette_macro,0.08915527699559385,0.13548280802297627
silhouette_micro,0.09725749643261303,0.1410311330753274
