objective,seed,accuracy,balanced_accuracy,macro_f1,n_samples,observed_ms,prefix_bin
timestep_ce,11,0.11643835616438356,0.12561119436119436,0.10533574540927482,146,250.0,1
timestep_ce,11,0.22602739726027396,0.22695290820290817,0.21046978463311414,146,500.0,2
timestep_ce,11,0.2937062937062937,0.27557072557072554,0.2547358039441188,143,750.0,3
timestep_ce,11,0.41964285714285715,0.3638347763347764,0.36177373073924796,112,1000.0,4
timestep_ce,11,0.5903614457831325,0.53666950333617,0.42277041754729383,83,1250.0,5
timestep_ce,11,0.6666666666666666,0.7587301587301587,0.5797619047619047,36,1500.0,6
timestep_ce,11,0.75,0.8,0.6044444444444445,16,1750.0,7
timestep_ce,11,0.0,0.0,0.0,1,2000.0,8
timestep_ce,23,0.1232876712328767,0.12924575424575424,0.09185026216759962,146,250.0,1
timestep_ce,23,0.22602739726027396,0.2294920357420357,0.20170937922344134,146,500.0,2
timestep_ce,23,0.32167832167832167,0.308821965071965,0.286677562282401,143,750.0,3
timestep_ce,23,0.48214285714285715,0.495580808080808,0.425440659651186,112,1000.0,4
timestep_ce,23,0.5903614457831325,0.5098549598549599,0.4381030669028772,83,1250.0,5
timestep_ce,23,0.75,0.8145124716553288,0.7777888777888778,36,1500.0,6
timestep_ce,23,0.75,0.65,0.5277777777777778,16,1750.0,7
timestep_ce,23,0.0,0.0,0.0,1,2000.0,8
timestep_ce,101,0.11643835616438356,0.11853146853146852,0.09731339292142804,146,250.0,1
timestep_ce,101,0.2054794520547945,0.21556499056499057,0.1985760418065405,146,500.0,2
timestep_ce,101,0.3776223776223776,0.37371147371147373,0.3616785089870025,143,750.0,3
timestep_ce,101,0.4642857142857143,0.47121212121212125,0.40405775799407606,112,1000.0,4
timestep_ce,101,0.6506024096385542,0.5969841886508553,0.459024309024309,83,1250.0,5
timestep_ce,101,0.7222222222222222,0.7986394557823129,0.6215714840714841,36,1500.0,6
timestep_ce,101,0.75,0.7250000000000001,0.5361111111111111,16,1750.0,7
timestep_ce,101,0.0,0.0,0.0,1,2000.0,8
whole_fixed250_ce,11,0.07534246575342465,0.08251748251748252,0.031827652811364085,146,250.0,1
whole_fixed250_ce,11,0.1643835616438356,0.1668317793317793,0.12203595716603555,146,500.0,2
whole_fixed250_ce,11,0.13286713286713286,0.12995337995337997,0.05298725895316805,143,750.0,3
whole_fixed250_ce,11,0.2767857142857143,0.4097402597402598,0.2789014367275237,112,1000.0,4
whole_fixed250_ce,11,0.27710843373493976,0.27912057078723745,0.22483894029946663,83,1250.0,5
whole_fixed250_ce,11,0.4166666666666667,0.539795918367347,0.304840613931523,36,1500.0,6
whole_fixed250_ce,11,0.6875,0.6625,0.47294372294372294,16,1750.0,7
whole_fixed250_ce,11,1.0,1.0,1.0,1,2000.0,8
whole_fixed250_ce,23,0.0958904109589041,0.10442890442890444,0.040106080746474836,146,250.0,1
whole_fixed250_ce,23,0.0958904109589041,0.10434704184704184,0.07190345054144148,146,500.0,2
whole_fixed250_ce,23,0.1258741258741259,0.1228956228956229,0.05054112554112553,143,750.0,3
whole_fixed250_ce,23,0.25,0.385290404040404,0.2372811447811448,112,1000.0,4
whole_fixed250_ce,23,0.25301204819277107,0.26764870931537593,0.18412910618792974,83,1250.0,5
whole_fixed250_ce,23,0.4166666666666667,0.4072562358276644,0.2788059163059163,36,1500.0,6
whole_fixed250_ce,23,0.625,0.5375000000000001,0.29180194805194803,16,1750.0,7
whole_fixed250_ce,23,1.0,1.0,1.0,1,2000.0,8
whole_fixed250_ce,101,0.0958904109589041,0.10635198135198136,0.040265542609958634,146,250.0,1
whole_fixed250_ce,101,0.11643835616438356,0.12670038295038294,0.11261859899483613,146,500.0,2
whole_fixed250_ce,101,0.13986013986013987,0.13688163688163688,0.07033113085744665,143,750.0,3
whole_fixed250_ce,101,0.20535714285714285,0.32374639249639253,0.16435743169614137,112,1000.0,4
whole_fixed250_ce,101,0.2289156626506024,0.25022446689113353,0.1724657287157287,83,1250.0,5
whole_fixed250_ce,101,0.5277777777777778,0.602267573696145,0.3896643760280124,36,1500.0,6
whole_fixed250_ce,101,0.75,0.775,0.5416666666666666,16,1750.0,7
whole_fixed250_ce,101,0.0,0.0,0.0,1,2000.0,8
