objective,n_seeds,mean_test_ba,sd_test_ba,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1,mean_best_epoch,head_parameters,total_parameters
timestep_ce,3,0.5083226958226957,0.04853855028761813,0.5273972602739726,0.04939111336252039,0.47541912622041754,0.06646435420619604,98.66666666666667,1548,21772
whole_fixed250_ce,3,0.5259377196877196,0.006676870959332176,0.5388127853881278,0.007908907797118128,0.519074049452305,0.012613607104219734,50.0,24588,44812
causal_fixed250_prefix_ce,3,0.5166541791541791,0.04495930443068978,0.5319634703196346,0.046622323873657875,0.5026695645716821,0.037845667875720385,28.666666666666668,24588,44812
