objective,observed_ms,n_seeds,mean_ba,sd_ba,mean_accuracy,mean_macro_f1,min_n_samples
timestep_ce,250.0,3,0.12446280571280571,0.0054486766244334715,0.1187214611872146,0.09816646683276749,146
timestep_ce,500.0,3,0.22400331150331146,0.007417259423706819,0.2191780821917808,0.20358506855436534,146
timestep_ce,750.0,3,0.31936805478472147,0.04991309064342309,0.33100233100233095,0.3010306250711741,143
timestep_ce,1000.0,3,0.4435425685425685,0.07009605786994341,0.45535714285714285,0.39709071612817004,112
timestep_ce,1250.0,3,0.5478362172806618,0.04462507426190407,0.6104417670682731,0.43996593115816,83
timestep_ce,1500.0,3,0.7906273620559334,0.028741291606860998,0.7129629629629629,0.6597074222074223,36
timestep_ce,1750.0,3,0.7250000000000001,0.07500000000000004,0.75,0.5561111111111111,16
timestep_ce,2000.0,3,0.0,0.0,0.0,0.0,1
whole_fixed250_ce,250.0,3,0.09776612276612277,0.013240669480330532,0.08904109589041094,0.03739975872259919,146
whole_fixed250_ce,500.0,3,0.13262640137640136,0.031661078241640335,0.12557077625570776,0.10218600223410439,146
whole_fixed250_ce,750.0,3,0.1299102132435466,0.006993106915232531,0.1328671328671329,0.057953171783913404,143
whole_fixed250_ce,1000.0,3,0.37292568542568544,0.04431028098201186,0.24404761904761907,0.22684667106826994,112
whole_fixed250_ce,1250.0,3,0.26566458233124896,0.014549871992923626,0.25301204819277107,0.1938112584010417,83
whole_fixed250_ce,1500.0,3,0.5164399092970521,0.09958153867099284,0.4537037037037037,0.32443696875515055,36
whole_fixed250_ce,1750.0,3,0.6583333333333333,0.11880481191152704,0.6875,0.4354707792207792,16
whole_fixed250_ce,2000.0,3,0.6666666666666666,0.5773502691896258,0.6666666666666666,0.6666666666666666,1
causal_fixed250_prefix_ce,250.0,3,0.09333166833166834,0.011248229260096753,0.0867579908675799,0.05762122639312129,146
causal_fixed250_prefix_ce,500.0,3,0.1723114848114848,0.02360193558252584,0.1598173515981735,0.14374963933947502,146
causal_fixed250_prefix_ce,750.0,3,0.27938966897300227,0.06290036496669311,0.2913752913752914,0.2516842975906428,143
causal_fixed250_prefix_ce,1000.0,3,0.46067821067821063,0.03447874757626755,0.4136904761904762,0.36188671731328803,112
causal_fixed250_prefix_ce,1250.0,3,0.49358275469386576,0.03628927539859961,0.5341365461847389,0.3760468061331046,83
causal_fixed250_prefix_ce,1500.0,3,0.6263038548752834,0.018988137338284142,0.6481481481481481,0.46783535999222275,36
causal_fixed250_prefix_ce,1750.0,3,0.7000000000000001,0.0760345316287278,0.7083333333333334,0.4618543713781809,16
causal_fixed250_prefix_ce,2000.0,3,0.0,0.0,0.0,0.0,1
