epoch,train_ba,val_ba,train_loss,val_loss,grad_l1,grad_l2,grad_out
1.0,0.07629770410773148,0.09206349206349206,2.483984912324075,2.4785945415496826,0.001749786944128573,0.012920719012618065,0.07865386605262756
2.0,0.08865708263900089,0.1115079365079365,2.4756094551743,2.4730544090270996,0.0019848041934892534,0.0132992098107934,0.07730287760496139
3.0,0.10904459722393499,0.11706349206349205,2.466054728847773,2.463977336883545,0.0028877319302409886,0.016245405189692974,0.10774911791086197
4.0,0.11248348160690926,0.09623015873015872,2.454331384878766,2.455641031265259,0.003311659349128604,0.01794134210795164,0.1156950205564499
5.0,0.10773989186331952,0.08928571428571429,2.439448364425239,2.442725658416748,0.00424158638343215,0.02251655124127865,0.14189279079437256
6.0,0.10824021439194394,0.1011904761904762,2.426527810794351,2.4283785820007324,0.00452644913457334,0.027566156163811684,0.1750853627920151
7.0,0.1112957699474995,0.12896825396825398,2.4123503726854176,2.416506052017212,0.004563541011884808,0.027641786634922026,0.17799776792526245
8.0,0.11615163996846385,0.14517195767195767,2.3981966726135675,2.4088261127471924,0.005931741837412119,0.032064991816878316,0.18553790748119353
9.0,0.1555782893440126,0.12136243386243385,2.3827060434370977,2.394615888595581,0.006449454464018345,0.030036823078989982,0.1519039049744606
10.0,0.17683557983479367,0.1283068783068783,2.364502518599702,2.3836100101470947,0.005472043715417385,0.03318814784288406,0.19312230944633485
11.0,0.18510606488200831,0.13525132275132276,2.344161786639136,2.369168519973755,0.007103795092552901,0.04070402756333351,0.20622823834419252
12.0,0.20368229138669391,0.14517195767195767,2.3203062305351954,2.357612133026123,0.007136958371847868,0.036122091487050055,0.18042020499706268
13.0,0.22037754887204572,0.16600529100529102,2.293494964015258,2.33677339553833,0.006928282137960195,0.040402211248874664,0.20815378725528716
14.0,0.24879526599652388,0.16104497354497357,2.263864596000842,2.3124492168426514,0.008112652320414781,0.04143510311841965,0.21420958638191223
15.0,0.26978964954524515,0.15654761904761902,2.2317291003701607,2.2854182720184326,0.007933830935508012,0.04778206795454025,0.251492902636528
16.0,0.28265778145102044,0.17380952380952383,2.196314624582839,2.256013870239258,0.009860772360116243,0.05128177031874657,0.24392602145671843
17.0,0.3142249668775751,0.21686507936507937,2.1599154866295716,2.2298452854156494,0.0123892892152071,0.06373580023646355,0.30321986079216
18.0,0.3135316759209194,0.18769841269841273,2.124744464115924,2.2045388221740723,0.011133277229964733,0.05669449046254158,0.29111762940883634
19.0,0.336031842587059,0.27195767195767195,2.087983642100467,2.1751537322998047,0.010362396761775017,0.06037524193525314,0.2790353447198868
20.0,0.3517262857139846,0.2988095238095238,2.0514086843973183,2.1401004791259766,0.012703322246670723,0.062403954565525055,0.3019195467233658
21.0,0.35771102374940855,0.2892195767195767,2.0121449455747094,2.1033854484558105,0.01414552479982376,0.06404216960072517,0.27640493810176847
22.0,0.3960952489274292,0.26362433862433865,1.9775486503328596,2.100447177886963,0.009590626135468483,0.05535024553537369,0.27716540098190307
23.0,0.41983113904387154,0.33366402116402116,1.9437424982681537,2.0533432960510254,0.012960484065115453,0.06317683383822441,0.2867613673210144
24.0,0.4276308345346555,0.3267195767195767,1.9099680521812374,2.0233376026153564,0.011670391820371152,0.06460790112614631,0.3025024324655533
25.0,0.427154813641968,0.29199735449735453,1.8785893791924244,2.0160253047943115,0.012336887419223785,0.06313945204019547,0.2879455238580704
26.0,0.4454688493186116,0.3880291005291005,1.8479221909468844,1.9681518077850342,0.015578127279877663,0.07181038483977317,0.29322903156280516
27.0,0.44393146094178687,0.3727513227513228,1.8155125157968517,1.9520444869995117,0.017987046018242837,0.08267425298690796,0.3342782139778137
28.0,0.4759191147782677,0.3810846560846561,1.78712593996176,1.934134602546692,0.01943789590150118,0.08802058100700379,0.3675382435321808
29.0,0.4750779415062752,0.3794011544011544,1.7609962333705462,1.9235806465148926,0.022732791118323804,0.09046241343021393,0.3181478261947632
30.0,0.492700549240475,0.4039381914381915,1.7250581565288996,1.8788384199142456,0.013538841903209687,0.07495940700173379,0.2982197284698486
31.0,0.4895688515481935,0.3710678210678211,1.69993605568569,1.873335838317871,0.019065084122121333,0.09466612190008164,0.34519110023975375
32.0,0.5262124809933024,0.40750962000961993,1.6684681131999792,1.8591811656951904,0.018126411363482475,0.09048673957586288,0.321860259771347
33.0,0.5458529025051663,0.40750962000961993,1.6403543401297933,1.8225734233856201,0.017159554921090604,0.09366047233343125,0.33134484887123106
34.0,0.5463851766306626,0.3831048581048581,1.6077717587787805,1.83356511592865,0.016913783363997938,0.08491529822349549,0.29599027931690214
35.0,0.5575284828033863,0.43267797017797016,1.5820996065763515,1.7930792570114136,0.017583301477134227,0.0927532434463501,0.3075370490550995
36.0,0.5749487281573643,0.39193722943722936,1.557488189506859,1.793105125427246,0.016804763488471507,0.09349458664655685,0.3291008293628693
37.0,0.5872584291501072,0.43267797017797016,1.5265587297446142,1.754023551940918,0.016457078233361244,0.0908722847700119,0.3216896653175354
38.0,0.6003170162316287,0.4257335257335257,1.5024735463876118,1.7593873739242554,0.017450363747775553,0.09600978344678879,0.31364886164665223
39.0,0.5962184843531285,0.42110389610389604,1.475573834371649,1.7296663522720337,0.018262437731027602,0.09245401322841644,0.28716360330581664
40.0,0.6085713748476226,0.4396224146224146,1.4484595963138311,1.7227380275726318,0.015236364863812923,0.09008177071809768,0.3078873038291931
41.0,0.6334733705461869,0.4687890812890813,1.426116956901222,1.700549602508545,0.023326009511947632,0.11374797075986862,0.3187108874320984
42.0,0.617964020994383,0.4286796536796536,1.401027920529272,1.6840105056762695,0.018244663253426552,0.10849737524986267,0.34147661328315737
43.0,0.6506025081675122,0.4382335257335257,1.376383681921048,1.6829111576080322,0.017704291082918645,0.09966362863779069,0.31404614448547363
44.0,0.648714869782553,0.43684463684463687,1.35586879688368,1.6543848514556885,0.02508518025279045,0.1195355087518692,0.3696510851383209
45.0,0.6639120457496619,0.4785473785473786,1.3300111831363015,1.6542083024978638,0.021297399327158927,0.10981827080249787,0.2512521892786026
46.0,0.6623921045317448,0.4267917267917268,1.2983911852007683,1.6415016651153564,0.018222119845449924,0.10744000524282456,0.2948597133159637
47.0,0.6947592092487923,0.4396224146224146,1.2829404837498362,1.6223857402801514,0.024769968166947366,0.1234551340341568,0.36139909029006956
48.0,0.705355713206466,0.4674001924001923,1.2581142849848315,1.6050195693969727,0.02024843357503414,0.11960803270339966,0.32947166860103605
49.0,0.7130285276755298,0.4208032708032708,1.23314287863582,1.6148227453231812,0.020967021770775317,0.10731011480093003,0.3070602536201477
50.0,0.7223263131209275,0.4458092833092833,1.2137541848903268,1.5904898643493652,0.021056554093956948,0.11796702444553375,0.30538339614868165
51.0,0.7218031512323323,0.44442039442039444,1.1914466486124902,1.5915374755859375,0.021644195914268492,0.11617956459522247,0.25403196215629575
52.0,0.739257137055081,0.446566859066859,1.163860677646893,1.5595402717590332,0.02396712563931942,0.11791591495275497,0.30072103142738343
53.0,0.7398072163433679,0.4515271765271765,1.1519045679991915,1.557665467262268,0.032587072998285296,0.15263167917728424,0.3614566922187805
54.0,0.757800007317755,0.4604557479557479,1.1304276955927917,1.5598262548446655,0.03279132731258869,0.14228206872940063,0.2878062129020691
55.0,0.7716675253064778,0.4481541606541606,1.1092946648392539,1.5500316619873047,0.02459641471505165,0.13230087608098984,0.30320635437965393
56.0,0.7614673705566589,0.4604557479557479,1.0885047621242767,1.5276340246200562,0.023102464713156225,0.12237867712974548,0.301088410615921
57.0,0.7745563166947188,0.48688071188071186,1.0669509400188821,1.5348796844482422,0.023467414453625678,0.12309070080518722,0.2789384514093399
58.0,0.7840225652905413,0.42569745069745074,1.054192222129047,1.5253658294677734,0.025669048726558685,0.1352306142449379,0.304357248544693
59.0,0.7843241157204212,0.48624939874939876,1.0395004782126815,1.506778597831726,0.02863273099064827,0.14386128783226013,0.2787582606077194
60.0,0.7905475960839327,0.49954304954304957,1.017761053604021,1.4876551628112793,0.02914401926100254,0.13891139924526213,0.2774230867624283
61.0,0.7939827433245737,0.47930495430495434,0.999800389481904,1.4881128072738647,0.022821345925331117,0.1353136971592903,0.3128958135843277
62.0,0.8193849918932637,0.4856180856180856,0.9784620346793209,1.4876680374145508,0.024805795028805734,0.13182508796453477,0.2799178004264832
63.0,0.8167225548617417,0.47930495430495434,0.9575757495097162,1.4799178838729858,0.02158983200788498,0.11871209442615509,0.25661781430244446
64.0,0.8276701086465178,0.47930495430495434,0.9432814774743046,1.4656033515930176,0.021741589531302452,0.12128507345914841,0.2281976342201233
65.0,0.838627451384148,0.47236050986050987,0.9235475194638855,1.464278221130371,0.019248359464108945,0.12055017501115799,0.27788312137126925
66.0,0.8295059288435077,0.4981541606541606,0.9065150007118251,1.4396268129348755,0.019071667082607748,0.11607558578252793,0.23981843888759613
67.0,0.8494228363058771,0.4931938431938432,0.8973218467272498,1.4435458183288574,0.02932750415056944,0.15352161824703217,0.29155599772930146
68.0,0.8320746584914533,0.4981541606541606,0.8811940456421569,1.4308772087097168,0.02002732940018177,0.1217499777674675,0.24610114693641663
69.0,0.8444180160780146,0.4981541606541607,0.8665222149092237,1.4314520359039307,0.022596037574112417,0.14221836775541305,0.29772698879241943
70.0,0.8651635045830787,0.518987493987494,0.8552267994609839,1.4039889574050903,0.02799331434071064,0.15576512664556502,0.29416424334049224
71.0,0.8502448322616548,0.5120430495430496,0.842421223087278,1.398308515548706,0.02944476641714573,0.1499281793832779,0.25820121467113494
72.0,0.8656425932335017,0.5050986050986052,0.8265278326049319,1.3938719034194946,0.02927717249840498,0.16043932139873504,0.2886806219816208
73.0,0.8659838702792318,0.5077140452140453,0.8089014179940478,1.3905832767486572,0.02208761274814606,0.12725744843482972,0.23048938810825348
74.0,0.874146716009364,0.5265632515632516,0.787813744323389,1.3815548419952393,0.016801615990698338,0.11026426404714584,0.22426242828369142
