condition,seed,accuracy,balanced_accuracy,loss,macro_f1,n_samples,replicate
ordered_gru,11,0.4931506849315068,0.4899746087246087,1.7340585284772727,0.4795995990800978,146,0
ordered_gru,11,0.4931506849315068,0.48997460872460863,1.7218711030427576,0.47548989184539053,146,1
ordered_gru,11,0.4794520547945205,0.47644647019647013,1.734470133245906,0.46169515904515657,146,2
ordered_gru,11,0.4863013698630137,0.4840222277722277,1.7199292494546632,0.47336736753754055,146,3
ordered_gru,11,0.4794520547945205,0.47644647019647013,1.7374315702930263,0.46169515904515657,146,4
ordered_gru,23,0.5342465753424658,0.5253399378399378,1.7190838385279923,0.5320034083248065,146,0
ordered_gru,23,0.5342465753424658,0.5253399378399378,1.7146238371649887,0.5320034083248065,146,1
ordered_gru,23,0.5205479452054794,0.5118117993117993,1.72008024859298,0.5194676717694621,146,2
ordered_gru,23,0.5136986301369864,0.5058594183594184,1.7203445480906707,0.5119018135173293,146,3
ordered_gru,23,0.5273972602739726,0.5187562437562437,1.724023264977328,0.5220981465013861,146,4
ordered_gru,37,0.5068493150684932,0.5010454822954823,2.0402977165153606,0.48817006093321885,146,0
ordered_gru,37,0.5068493150684932,0.5010454822954823,2.044116671948964,0.48817006093321885,146,1
ordered_gru,37,0.5205479452054794,0.5134081196581196,2.034844385147843,0.4977591312831588,146,2
ordered_gru,37,0.5205479452054794,0.5134081196581196,2.031937453988084,0.49966007475081886,146,3
ordered_gru,37,0.5136986301369864,0.5074557387057387,2.0276029136349365,0.49295257009072796,146,4
ordered_gru,53,0.5342465753424658,0.5305839993339992,2.4005066501690338,0.5188817119653282,146,0
ordered_gru,53,0.547945205479452,0.5429466366966366,2.3803642092090103,0.5321874446647658,146,1
ordered_gru,53,0.5342465753424658,0.5305839993339992,2.377976565747811,0.5197087840599192,146,2
ordered_gru,53,0.541095890410959,0.5365363802863802,2.3999779770698697,0.5248052637222133,146,3
ordered_gru,53,0.5342465753424658,0.5310418747918747,2.39311376128218,0.5201853064662662,146,4
ordered_gru,71,0.4726027397260274,0.46989468864468864,2.136039508469166,0.45505914407230197,146,0
ordered_gru,71,0.4726027397260274,0.472275641025641,2.1140626175605397,0.4573527828094391,146,1
ordered_gru,71,0.4589041095890411,0.4579899267399268,2.1331062610913496,0.44001352649808023,146,2
ordered_gru,71,0.4863013698630137,0.48864468864468863,2.1159313240540834,0.4696164372412857,146,3
ordered_gru,71,0.4726027397260274,0.472275641025641,2.1216364916010435,0.45530418781175946,146,4
