condition,n_runs,trainable_parameter_count,mean_val_balanced_accuracy,sd_val_balanced_accuracy,mean_test_balanced_accuracy,sd_test_balanced_accuracy,sem_test_balanced_accuracy,mean_test_accuracy,mean_test_macro_f1
shared,5,1548,0.4668145743145743,0.01873567378258065,0.4446819846819846,0.03471948013051761,0.015527023543058127,0.4493150684931506,0.4411766238765102
clock,5,12300,0.5751635401635402,0.028262162777169437,0.5500742313242313,0.03729966626086199,0.01668091785946856,0.5575342465753426,0.5385689270279502
oracle_progress,5,12300,0.5980772005772006,0.012321792681628942,0.5719311244311244,0.03623480890007028,0.016204699170454306,0.5821917808219178,0.5689023339288128
reset_gru,5,50068,0.5505603655603656,0.010403508841010201,0.5030028305028305,0.029938532909975956,0.013388918946664165,0.5095890410958904,0.49539721363474165
ordered_gru,5,50068,0.5384427609427609,0.014750005308078035,0.4898638861138861,0.03532120144602409,0.015796121496054746,0.49452054794520545,0.48049061594523435
