condition,seed,axis,position,state,probability
clock,11,relative_progress,0.05,0,0.4003409973663997
clock,11,relative_progress,0.05,1,0.33736263540915296
clock,11,relative_progress,0.05,2,0.18252667324924016
clock,11,relative_progress,0.05,3,0.06340542585954448
clock,11,relative_progress,0.05,4,0.014141817623602015
clock,11,relative_progress,0.05,5,0.0020252073342437397
clock,11,relative_progress,0.05,6,0.00018622009609984321
clock,11,relative_progress,0.05,7,1.0994664874867996e-05
clock,11,relative_progress,0.15,0,0.3570049581994049
clock,11,relative_progress,0.15,1,0.336425395636716
clock,11,relative_progress,0.15,2,0.20379304179289298
clock,11,relative_progress,0.15,3,0.07935917467686406
clock,11,relative_progress,0.15,4,0.019867002084744016
clock,11,relative_progress,0.15,5,0.0031975182932529483
clock,11,relative_progress,0.15,6,0.0003308698341120697
clock,11,relative_progress,0.15,7,2.2013024804410056e-05
clock,11,relative_progress,0.25,0,0.3152309179281174
clock,11,relative_progress,0.25,1,0.3307093260087402
clock,11,relative_progress,0.25,2,0.22362195431341023
clock,11,relative_progress,0.25,3,0.09746873530375152
clock,11,relative_progress,0.25,4,0.027385831983749123
clock,11,relative_progress,0.25,5,0.004960394899412877
clock,11,relative_progress,0.25,6,0.0005792296946981224
clock,11,relative_progress,0.25,7,4.3605014668368625e-05
clock,11,relative_progress,0.35,0,0.2742247671769138
clock,11,relative_progress,0.35,1,0.3199922396663875
clock,11,relative_progress,0.35,2,0.24162551099238014
clock,11,relative_progress,0.35,3,0.11807414070714878
clock,11,relative_progress,0.35,4,0.03734154470013415
clock,11,relative_progress,0.35,5,0.007642756603886118
clock,11,relative_progress,0.35,6,0.0010122845772376778
clock,11,relative_progress,0.35,7,8.67567977999172e-05
clock,11,relative_progress,0.45,0,0.23584743923548954
clock,11,relative_progress,0.45,1,0.3047617090668898
clock,11,relative_progress,0.45,2,0.2561430570768008
clock,11,relative_progress,0.45,3,0.14003432356456846
clock,11,relative_progress,0.45,4,0.04979653146639212
clock,11,relative_progress,0.45,5,0.01151614171395606
clock,11,relative_progress,0.45,6,0.0017315769510126335
clock,11,relative_progress,0.45,7,0.0001692169775035405
clock,11,relative_progress,0.55,0,0.1998175348770196
clock,11,relative_progress,0.55,1,0.2851781277177949
clock,11,relative_progress,0.55,2,0.2664356699608027
clock,11,relative_progress,0.55,3,0.16296946899220655
clock,11,relative_progress,0.55,4,0.06525014398000699
clock,11,relative_progress,0.55,5,0.017093436758326457
clock,11,relative_progress,0.55,6,0.002927959599443508
clock,11,relative_progress,0.55,7,0.0003276608377278896
clock,11,relative_progress,0.65,0,0.16641212554769388
clock,11,relative_progress,0.65,1,0.26173900279794476
clock,11,relative_progress,0.65,2,0.2715591989618768
clock,11,relative_progress,0.65,3,0.18588633084059158
clock,11,relative_progress,0.65,4,0.08391961399558777
clock,11,relative_progress,0.65,5,0.024966138550630474
clock,11,relative_progress,0.65,6,0.004888539397521503
clock,11,relative_progress,0.65,7,0.0006290514757256007
clock,11,relative_progress,0.75,0,0.13672395039179602
clock,11,relative_progress,0.75,1,0.23593198808064517
clock,11,relative_progress,0.75,2,0.27081438552354997
clock,11,relative_progress,0.75,3,0.20685914182773904
clock,11,relative_progress,0.75,4,0.10509466875640773
clock,11,relative_progress,0.75,5,0.03546675827035873
clock,11,relative_progress,0.75,6,0.00793499815121747
clock,11,relative_progress,0.75,7,0.0011741113855755438
clock,11,relative_progress,0.85,0,0.11187616100562783
clock,11,relative_progress,0.85,1,0.20994595452546078
clock,11,relative_progress,0.85,2,0.2644367498005173
clock,11,relative_progress,0.85,3,0.22375770990358967
clock,11,relative_progress,0.85,4,0.1271380014276017
clock,11,relative_progress,0.85,5,0.048424293276214836
clock,11,relative_progress,0.85,6,0.012329669476184335
clock,11,relative_progress,0.85,7,0.0020914631806927555
clock,11,relative_progress,0.95,0,0.08969180184477782
clock,11,relative_progress,0.95,1,0.18282272141181563
