condition,seed,model_seed,best_epoch,stopped_after_epoch,trainable_parameter_count,val_balanced_accuracy,val_accuracy,val_macro_f1,val_loss,test_balanced_accuracy,test_accuracy,test_macro_f1,test_loss
shared,11,1438468696,117,142,1548,0.46049182299182306,0.46825396825396826,0.4505982153680363,5.994625091552734,0.44415237540237534,0.4452054794520548,0.4410263552166773,7.316702842712402
shared,23,3334060998,136,161,1548,0.4784511784511785,0.47619047619047616,0.46436187551748187,6.643150806427002,0.4851134976134976,0.4931506849315068,0.48455771250937557,7.599480341558587
shared,37,3937172365,138,163,1548,0.4679653679653679,0.4603174603174603,0.4567972063814932,7.234445571899414,0.4669566544566544,0.4726027397260274,0.46787191606186157,8.542170420084915
shared,53,1801114884,84,109,1548,0.48814333814333816,0.5,0.476535401026063,5.223574638366699,0.4330572205572205,0.4315068493150685,0.43252520581219134,8.743774675343134
shared,71,1840036718,72,97,1548,0.4390211640211641,0.4365079365079365,0.4142031038676466,6.075388431549072,0.39413017538017536,0.4041095890410959,0.3799019297824449,9.152785876025892
clock,11,1438468696,38,63,12300,0.6027597402597403,0.5952380952380952,0.6070436507936509,2.1884961128234863,0.5440150127650127,0.541095890410959,0.5303770040494326,2.281664636037121
clock,23,3334060998,24,49,12300,0.532058682058682,0.5238095238095238,0.5241382183044575,1.8602558374404907,0.5939636752136751,0.6095890410958904,0.5821490092564965,1.7962308093293073
clock,37,3937172365,26,51,12300,0.5908429533429534,0.5793650793650794,0.5731308153797373,1.660753607749939,0.5580468142968144,0.5616438356164384,0.557535644570877,1.7893179900025669
clock,53,1801114884,44,69,12300,0.5879148629148628,0.5952380952380952,0.5844904141066721,1.878587245941162,0.5624542124542123,0.5753424657534246,0.5521745818271101,2.5122149774473006
clock,71,1840036718,8,33,12300,0.5622414622414622,0.5634920634920635,0.5450838497587723,1.4812681674957275,0.4918914418914418,0.5,0.4706083954358347,1.6350264924846283
oracle_progress,11,1438468696,17,42,12300,0.6065957190957191,0.6031746031746031,0.6111905557080995,1.600203275680542,0.6210601898101897,0.6301369863013698,0.6044800678748721,1.6660662677190075
oracle_progress,23,3334060998,21,46,12300,0.5989297739297738,0.5873015873015873,0.5805128105113804,1.6839114427566528,0.5848817848817848,0.5958904109589042,0.5907933120972474,1.748392307595031
oracle_progress,37,3937172365,26,51,12300,0.576924001924002,0.5714285714285714,0.5667316278729322,1.8634088039398193,0.5706931956931957,0.5821917808219178,0.5733171961242137,1.7707641745266849
oracle_progress,53,1801114884,61,86,12300,0.6068963443963444,0.6111111111111112,0.5962153304561048,2.22965931892395,0.5617347929847929,0.5684931506849316,0.5571960822497247,2.82449678198932
oracle_progress,71,1840036718,14,39,12300,0.6010401635401635,0.5952380952380952,0.5982044523655103,1.4386037588119507,0.5212856587856588,0.5342465753424658,0.518725011298007,1.6410984127488855
reset_gru,11,1438468696,36,61,50068,0.5581469456469456,0.5476190476190477,0.5589891499931546,2.0724170207977295,0.5180229492729492,0.5273972602739726,0.5090513564604644,2.4728646311041427
reset_gru,23,3334060998,10,35,50068,0.5556697931697933,0.5476190476190477,0.5543637194431379,1.5611085891723633,0.5380133755133755,0.547945205479452,0.5331639567755753,1.857622015966128
reset_gru,37,3937172365,34,59,50068,0.5355519480519481,0.5317460317460317,0.523858926400206,1.940415620803833,0.50505883005883,0.5068493150684932,0.5105292986528683,2.1979351370301967
reset_gru,53,1801114884,20,45,50068,0.559505772005772,0.5634920634920635,0.552168823312199,1.6306322813034058,0.49662143412143406,0.5068493150684932,0.4875128812822312,2.2880407914723437
reset_gru,71,1840036718,17,42,50068,0.543927368927369,0.5396825396825397,0.5354302902850997,1.6203335523605347,0.45729756354756357,0.4589041095890411,0.43672857500256873,2.145143600359355
ordered_gru,11,1438468696,9,34,50068,0.5508658008658008,0.5476190476190477,0.54886983206269,1.4296985864639282,0.46602980352980344,0.4726027397260274,0.4563355338199708,1.7075200538112694
ordered_gru,23,3334060998,8,33,50068,0.5519300144300144,0.5476190476190477,0.5477512730709662,1.6249892711639404,0.527955377955378,0.5342465753424658,0.5304656960059947,1.7586876562196914
ordered_gru,37,3937172365,26,51,50068,0.5424062049062048,0.5317460317460317,0.5277569441895057,1.8677186965942383,0.4950931013431013,0.5,0.4818836893112255,2.0395574243101353
ordered_gru,53,1801114884,23,48,50068,0.5295093795093795,0.5396825396825397,0.517140958456748,1.8356136083602905,0.5172292984792984,0.5205479452054794,0.5071321835485922,2.3916785912970973
ordered_gru,71,1840036718,17,42,50068,0.517502405002405,0.5158730158730159,0.5197818765486247,1.663806438446045,0.44301184926184917,0.4452054794520548,0.42663597704038886,2.2025634948521446
