temporal_mode,primitive_width,seed,representation,quantile,threshold,val_ba,test_ba,test_accuracy,test_macro_f1,active_fraction_test,events_per_sample_test_mean,zero_event_fraction_test,events_per_true_stroke_test,event_inside_stroke_fraction_test,cross_primitive_pair_fraction_le_16_steps,cross_primitive_pair_fraction_le_32_steps
t0,16,11,r2_mh_qraw,0.2,0.0477342121303081,0.5463023088023088,0.5068674381174381,0.5205479452054794,0.4881917731287581,0.487740225314778,40.32876712328767,0.0,19.89189189189189,0.7014266304347826,0.7627591012018812,0.7628004179728317
t0,16,11,r2_mh_qraw,0.4,0.2065152376890182,0.5464706589706588,0.5052440614940614,0.5205479452054794,0.4847576659698824,0.376325381047051,31.116438356164384,0.0,15.347972972972974,0.7004182258419547,0.6232939035486806,0.6233795769843075
t0,16,11,r2_mh_qraw,0.6,0.4070322513580322,0.5131012506012506,0.5137397324897325,0.5273972602739726,0.5018441167768882,0.2669814446653413,22.075342465753423,0.0,10.888513513513514,0.6925224945702761,0.5024406117800195,0.5027624309392266
t0,16,11,r2_mh_qraw,0.8,0.7193230986595154,0.4751382876382876,0.4413350538350538,0.4589041095890411,0.4337631656618061,0.142312789927104,11.767123287671232,0.0068493150684931,5.804054054054054,0.6769499417927823,0.3926174496644295,0.412779552715655
t0,16,11,r2_mh_qraw,0.9,0.9885950684547424,0.4166065416065416,0.4084027084027083,0.4246575342465753,0.4027381225119997,0.0743041749502982,6.1438356164383565,0.0342465753424657,3.0304054054054053,0.653288740245262,0.2850241545893719,0.3726027397260274
t0,16,11,r2_mh_qnorm,0.2,0.0477342121303081,0.5336700336700336,0.5166527916527915,0.5273972602739726,0.5078326384290343,0.487740225314778,40.32876712328767,0.0,19.89189189189189,0.7014266304347826,0.7627591012018812,0.7628004179728317
t0,16,11,r2_mh_qnorm,0.4,0.2065152376890182,0.5177308802308802,0.4799623987123987,0.5,0.4648207308920538,0.376325381047051,31.116438356164384,0.0,15.347972972972974,0.7004182258419547,0.6232939035486806,0.6233795769843075
t0,16,11,r2_mh_qnorm,0.6,0.4070322513580322,0.5058261183261183,0.466111666111666,0.4794520547945205,0.460620090236264,0.2669814446653413,22.075342465753423,0.0,10.888513513513514,0.6925224945702761,0.5024406117800195,0.5027624309392266
t0,16,11,r2_mh_qnorm,0.8,0.7193230986595154,0.468524531024531,0.4222416472416472,0.4315068493150685,0.4182757379162963,0.142312789927104,11.767123287671232,0.0068493150684931,5.804054054054054,0.6769499417927823,0.3926174496644295,0.412779552715655
t0,16,11,r2_mh_qnorm,0.9,0.9885950684547424,0.3811267436267436,0.3582764457764457,0.3698630136986301,0.3601725401544242,0.0743041749502982,6.1438356164383565,0.0342465753424657,3.0304054054054053,0.653288740245262,0.2850241545893719,0.3726027397260274
t0,16,11,r2_ms_qraw,0.2,0.0477342121303081,0.5463023088023088,0.5068674381174381,0.5205479452054794,0.4916390656089355,0.487740225314778,40.32876712328767,0.0,19.89189189189189,0.7014266304347826,0.7627591012018812,0.7628004179728317
t0,16,11,r2_ms_qraw,0.4,0.2065152376890182,0.5431938431938432,0.5290133477633477,0.541095890410959,0.5176304677385869,0.376325381047051,31.116438356164384,0.0,15.347972972972974,0.7004182258419547,0.6232939035486806,0.6233795769843075
t0,16,11,r2_ms_qraw,0.6,0.4070322513580322,0.5283790283790285,0.5137376512376511,0.5273972602739726,0.5046544501349993,0.2669814446653413,22.075342465753423,0.0,10.888513513513514,0.6925224945702761,0.5024406117800195,0.5027624309392266
t0,16,11,r2_ms_qraw,0.8,0.7193230986595154,0.4742123617123617,0.440577478077478,0.4589041095890411,0.4347087058490567,0.142312789927104,11.767123287671232,0.0068493150684931,5.804054054054054,0.6769499417927823,0.3926174496644295,0.412779552715655
t0,16,11,r2_ms_qraw,0.9,0.9885950684547424,0.4166065416065416,0.4124320124320124,0.4315068493150685,0.404045213248593,0.0743041749502982,6.1438356164383565,0.0342465753424657,3.0304054054054053,0.653288740245262,0.2850241545893719,0.3726027397260274
t0,16,11,r2_ms_qnorm,0.2,0.0477342121303081,0.5168049543049543,0.523063048063048,0.5342465753424658,0.5086179810344483,0.487740225314778,40.32876712328767,0.0,19.89189189189189,0.7014266304347826,0.7627591012018812,0.7628004179728317
t0,16,11,r2_ms_qnorm,0.4,0.2065152376890182,0.5107864357864358,0.4747675935175935,0.4931506849315068,0.4620525436154772,0.376325381047051,31.116438356164384,0.0,15.347972972972974,0.7004182258419547,0.6232939035486806,0.6233795769843075
