temporal_mode,primitive_width,seed,representation,dimension,train_ba,val_ba,test_ba,test_accuracy,test_macro_f1
t0,16,11,r0_direct_l2,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
t0,16,11,r0a_integrated_128d,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
t0,16,11,r0b_analog_k,16,0.9239184083458888,0.5540464165464166,0.5107004107004106,0.5205479452054794,0.491534406923094
t0,16,11,r1_raw_what,16,0.961662458383828,0.558411495911496,0.526436063936064,0.5342465753424658,0.5097772574385061
t0,16,11,r1_norm_what,16,0.9361503361560198,0.5325817700817701,0.4890623265623264,0.5,0.4863783454335392
t0,16,11,r2_mh_qraw,16,0.9211100081352964,0.5673039923039923,0.5380792818292818,0.5547945205479452,0.5239596131837512
t0,16,11,r2_mh_qnorm,16,0.8908745141500338,0.5399531024531025,0.5006583694083694,0.5205479452054794,0.4846375714782132
t0,16,11,r2_ms_qraw,16,0.9527528146623564,0.5610209235209235,0.5202242202242202,0.5342465753424658,0.5042671442695091
t0,16,11,r2_ms_qnorm,16,0.9730051756094578,0.5577501202501202,0.5111013986013986,0.5273972602739726,0.499290035433411
t0,16,11,r2_mh_qraw_hard,16,0.8464850662378797,0.4352873977873979,0.4508699633699633,0.4589041095890411,0.4315710240201802
t0,16,11,r2_mh_qnorm_hard,16,0.8464850662378797,0.4352873977873979,0.4508699633699633,0.4589041095890411,0.4315710240201802
t0,16,11,r2_ms_qraw_hard,16,0.8245452790952116,0.4391594516594517,0.4563873626373626,0.4726027397260274,0.4439488479271316
t0,16,11,r2_ms_qnorm_hard,16,0.8245452790952116,0.4391594516594517,0.4563873626373626,0.4726027397260274,0.4439488479271316
t0,16,23,r0_direct_l2,128,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674
t0,16,23,r0a_integrated_128d,128,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.6027397260273972,0.5918189327859674
t0,16,23,r0b_analog_k,16,0.912135811343263,0.5247113997113998,0.5237255799755799,0.5342465753424658,0.5278893986130828
t0,16,23,r1_raw_what,16,0.8798793697766539,0.5415464165464166,0.5262896825396824,0.541095890410959,0.5314853547204212
t0,16,23,r1_norm_what,16,0.8963778544981779,0.4899531024531025,0.4894501332001331,0.5068493150684932,0.4965056779368547
t0,16,23,r2_mh_qraw,16,0.8642750527194559,0.5591029341029341,0.5310266122766122,0.547945205479452,0.5335577631844387
t0,16,23,r2_mh_qnorm,16,0.8734825005483429,0.5144901394901396,0.5084346209346209,0.5205479452054794,0.5038492392646245
t0,16,23,r2_ms_qraw,16,0.8707933674178019,0.5435305435305435,0.5326499888999888,0.547945205479452,0.5385482734134696
t0,16,23,r2_ms_qnorm,16,0.895650098479862,0.5121753246753246,0.4917429792429792,0.5,0.4927399980851183
t0,16,23,r2_mh_qraw_hard,16,0.6947984761568011,0.4627705627705628,0.4899642024642024,0.4931506849315068,0.4882317054407092
t0,16,23,r2_mh_qnorm_hard,16,0.6947984761568011,0.4627705627705628,0.4899642024642024,0.4931506849315068,0.4882317054407092
t0,16,23,r2_ms_qraw_hard,16,0.6982493274788574,0.483603896103896,0.4913530913530913,0.4931506849315068,0.4792870023067424
t0,16,23,r2_ms_qnorm_hard,16,0.6982493274788574,0.483603896103896,0.4913530913530913,0.4931506849315068,0.4792870023067424
t0,16,37,r0_direct_l2,128,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186
t0,16,37,r0a_integrated_128d,128,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.6027397260273972,0.5886323296910186
t0,16,37,r0b_analog_k,16,0.961306980630738,0.5563552188552189,0.5109619547119547,0.5136986301369864,0.5019476352680687
t0,16,37,r1_raw_what,16,0.966114738814375,0.5635040885040886,0.507415501165501,0.5136986301369864,0.5064599247889955
t0,16,37,r1_norm_what,16,0.9127423574724216,0.5140993265993266,0.4358918858918859,0.4452054794520548,0.448480211047787
t0,16,37,r2_mh_qraw,16,0.9522044356746984,0.5576178451178452,0.5250242812742812,0.5273972602739726,0.5200007229612493
t0,16,37,r2_mh_qnorm,16,0.9268852462169104,0.4984848484848483,0.4920877733377733,0.5,0.4886216682182144
t0,16,37,r2_ms_qraw,16,0.9520115344401306,0.5682659932659934,0.5121274558774559,0.5136986301369864,0.5070038931752038
t0,16,37,r2_ms_qnorm,16,0.9271760819244124,0.5345959595959596,0.4871274558774559,0.4931506849315068,0.4850606222040241
t0,16,37,r2_mh_qraw_hard,16,0.8038449915819893,0.4552008177008178,0.3810779498279498,0.3904109589041096,0.3810696503564341
t0,16,37,r2_mh_qnorm_hard,16,0.8038449915819893,0.4552008177008178,0.3810779498279498,0.3904109589041096,0.3810696503564341
t0,16,37,r2_ms_qraw_hard,16,0.7957128334168555,0.4989177489177489,0.4150023587523587,0.4246575342465753,0.4055820816522702
t0,16,37,r2_ms_qnorm_hard,16,0.7957128334168555,0.4989177489177489,0.4150023587523587,0.4246575342465753,0.4055820816522702
t0,32,11,r0_direct_l2,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
t0,32,11,r0a_integrated_128d,128,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.5958904109589042,0.5647219342648474
t0,32,11,r0b_analog_k,32,0.8797330766228524,0.5379329004329004,0.5437229437229437,0.5684931506849316,0.5257431187952769
t0,32,11,r1_raw_what,32,0.9907104522564646,0.5406144781144782,0.5409493284493284,0.547945205479452,0.5248138606253473
t0,32,11,r1_norm_what,32,0.9821978704780668,0.528577441077441,0.5426719114219114,0.5547945205479452,0.532738820067671
t0,32,11,r2_mh_qraw,32,0.9458637032912778,0.5494107744107743,0.5501123876123876,0.5684931506849316,0.5387848497055657
