temporal_mode,primitive_width,representation,quantile,val_ba_mean,test_ba_mean,events_per_sample_test_mean,events_per_true_stroke_test_mean,cross_primitive_pair_fraction_le_16_steps_mean,cross_primitive_pair_fraction_le_32_steps_mean
t0,16,r2_mh_qraw,0.2,0.5347723264389931,0.523850455100455,41.09132420091324,20.268018018018015,0.780337985207518,0.7803517574645014
t0,16,r2_mh_qraw,0.4,0.540506253006253,0.5224819162319162,31.61643835616438,15.594594594594595,0.6459657017093858,0.6459942595212614
t0,16,r2_mh_qraw,0.6,0.5103775853775854,0.5046999296999296,22.100456621004565,10.9009009009009,0.5226174693503659,0.5229944676486112
t0,16,r2_mh_qraw,0.8,0.45703864037197367,0.4164340289340289,11.472602739726028,5.658783783783783,0.39762487179828354,0.41706612770275164
t0,16,r2_mh_qraw,0.9,0.39765913099246436,0.37408771783771777,5.878995433789954,2.899774774774775,0.2911248186264572,0.3568928656267321
t0,16,r2_mh_qnorm,0.2,0.51595518678852,0.49809588559588547,41.09132420091324,20.268018018018015,0.780337985207518,0.7803517574645014
t0,16,r2_mh_qnorm,0.4,0.5107844316177649,0.4849962537462537,31.61643835616438,15.594594594594595,0.6459657017093858,0.6459942595212614
t0,16,r2_mh_qnorm,0.6,0.4980098605098604,0.4653126965626965,22.100456621004565,10.9009009009009,0.5226174693503659,0.5229944676486112
t0,16,r2_mh_qnorm,0.8,0.4389951098284432,0.39278499278499274,11.472602739726028,5.658783783783783,0.39762487179828354,0.41706612770275164
t0,16,r2_mh_qnorm,0.9,0.3552549302549302,0.34392459392459385,5.878995433789954,2.899774774774775,0.2911248186264572,0.3568928656267321
t0,16,r2_ms_qraw,0.2,0.5372975789642456,0.5172570485070483,41.09132420091324,20.268018018018015,0.780337985207518,0.7803517574645014
t0,16,r2_ms_qraw,0.4,0.5388949013949014,0.5287020849520849,31.61643835616438,15.594594594594595,0.6459657017093858,0.6459942595212614
t0,16,r2_ms_qraw,0.6,0.5196368446368447,0.5051825489325489,22.100456621004565,10.9009009009009,0.5226174693503659,0.5229944676486112
t0,16,r2_ms_qraw,0.8,0.4667728876062209,0.42375726125726115,11.472602739726028,5.658783783783783,0.39762487179828354,0.41706612770275164
t0,16,r2_ms_qraw,0.9,0.38489458072791405,0.3761335886335886,5.878995433789954,2.899774774774775,0.2911248186264572,0.3568928656267321
t0,16,r2_ms_qnorm,0.2,0.5170254128587461,0.49745485995485983,41.09132420091324,20.268018018018015,0.780337985207518,0.7803517574645014
t0,16,r2_ms_qnorm,0.4,0.5102132435465768,0.47018282643282644,31.61643835616438,15.594594594594595,0.6459657017093858,0.6459942595212614
t0,16,r2_ms_qnorm,0.6,0.5058802308802308,0.4586418211418211,22.100456621004565,10.9009009009009,0.5226174693503659,0.5229944676486112
t0,16,r2_ms_qnorm,0.8,0.42358305274971936,0.38883500758500755,11.472602739726028,5.658783783783783,0.39762487179828354,0.41706612770275164
t0,16,r2_ms_qnorm,0.9,0.35233485650152313,0.34818884818884815,5.878995433789954,2.899774774774775,0.2911248186264572,0.3568928656267321
t0,32,r2_mh_qraw,0.2,0.558507696007696,0.5354518167018166,43.19634703196348,21.306306306306308,0.8247887767938434,0.8247974917963897
t0,32,r2_mh_qraw,0.4,0.5589365881032548,0.5469146594146594,32.910958904109584,16.23310810810811,0.6988448496480718,0.6988644184802095
t0,32,r2_mh_qraw,0.6,0.5296015712682379,0.5277287527287527,22.751141552511417,11.221846846846846,0.57498137870249,0.5752102938562675
t0,32,r2_mh_qraw,0.8,0.46932820266153596,0.4540642228142228,12.077625570776256,5.957207207207207,0.44905593066973754,0.4649371351517959
