seed,sample_index,scale,gap_ms,gap_steps,stroke_index,layer,state,corr_mean,context_sensitivity,count
11,1,stroke,50,3,0,L1,spike50,0.7206761743640689,0.27932382563593106,16
11,1,stroke,50,3,0,L1,syn_current,0.9314349905413726,0.06856500945862742,16
11,1,stroke,50,3,0,L1,pre_reset,0.91728471571765,0.08271528428234998,16
11,1,stroke,50,3,0,L2,spike50,0.03146707154687715,0.9685329284531229,14
11,1,stroke,50,3,0,L2,syn_current,0.141869771202257,0.858130228797743,16
11,1,stroke,50,3,0,L2,pre_reset,0.0550166885592323,0.9449833114407677,16
11,1,stroke,50,3,1,L1,spike50,0.8928743922197674,0.10712560778023261,47
11,1,stroke,50,3,1,L1,syn_current,0.973863918867567,0.026136081132433042,48
11,1,stroke,50,3,1,L1,pre_reset,0.9648320535780054,0.03516794642199461,48
11,1,stroke,50,3,1,L2,spike50,0.7962413900927013,0.20375860990729866,46
11,1,stroke,50,3,1,L2,syn_current,0.8802121250197622,0.1197878749802378,47
11,1,stroke,50,3,1,L2,pre_reset,0.8746884625862489,0.12531153741375112,47
11,2,stroke,50,3,0,L1,spike50,0.802491614973112,0.19750838502688794,13
11,2,stroke,50,3,0,L1,syn_current,0.9490104065813452,0.05098959341865483,15
11,2,stroke,50,3,0,L1,pre_reset,0.9383646490563711,0.06163535094362893,15
11,2,stroke,50,3,0,L2,spike50,0.6841122663043783,0.31588773369562173,13
11,2,stroke,50,3,0,L2,syn_current,0.8588377361310179,0.14116226386898212,13
11,2,stroke,50,3,0,L2,pre_reset,0.8297155023763457,0.17028449762365427,13
11,2,stroke,50,3,1,L1,spike50,0.7248868189031342,0.2751131810968658,14
11,2,stroke,50,3,1,L1,syn_current,0.9249213316945618,0.07507866830543819,14
11,2,stroke,50,3,1,L1,pre_reset,0.8970057721557225,0.10299422784427748,14
11,2,stroke,50,3,1,L2,spike50,0.6651482566606057,0.33485174333939427,12
11,2,stroke,50,3,1,L2,syn_current,0.6987787782396272,0.3012212217603728,14
11,2,stroke,50,3,1,L2,pre_reset,0.6703974119681801,0.32960258803181985,14
11,3,stroke,50,3,0,L1,spike50,0.7484901484344559,0.25150985156554406,13
11,3,stroke,50,3,0,L1,syn_current,0.88922522754721,0.11077477245279,17
11,3,stroke,50,3,0,L1,pre_reset,0.8711300586329888,0.12886994136701124,17
11,3,stroke,50,3,0,L2,spike50,0.270854210262771,0.729145789737229,12
11,3,stroke,50,3,0,L2,syn_current,0.5397676447145413,0.4602323552854587,13
11,3,stroke,50,3,0,L2,pre_reset,0.5209243623219246,0.4790756376780754,13
