variant,stage,l1_mem_shift,l1_beta,l1_tau_mem_ms,coding,objective,rotation,seed,probe,source,state,aggregation,feature_dim,selected_C,selected_val_ba,probe_seed,candidate_validation_json,train_accuracy,train_balanced_accuracy,train_macro_f1,val_accuracy,val_balanced_accuracy,val_macro_f1,test_accuracy,test_balanced_accuracy,test_macro_f1,test_action0_accuracy,test_action0_balanced_accuracy,test_action0_macro_f1,test_action1_accuracy,test_action1_balanced_accuracy,test_action1_macro_f1
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,input__events__whole_count,input,events,whole_count,30,0.1,0.4598096348096348,3854372766,"[{""C"": 0.001, ""val_ba"": 0.3034188034188034}, {""C"": 0.01, ""val_ba"": 0.38593940781440783}, {""C"": 0.1, ""val_ba"": 0.4598096348096348}, {""C"": 1.0, ""val_ba"": 0.4502608502608502}, {""C"": 10.0, ""val_ba"": 0.3973228160728161}]",0.6588235294117647,0.6484503504004652,0.6501724821191205,0.48520710059171596,0.4598096348096348,0.4492913742726336,0.41379310344827586,0.4066306446821153,0.4024094173835049,0.3894736842105263,0.3770833333333334,0.36400133682742375,0.4430379746835443,0.4459325396825396,0.4354377104377105
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,input__events__fixed250_count,input,events,fixed250_count,480,0.1,0.5976662226662227,1863387974,"[{""C"": 0.001, ""val_ba"": 0.4389003357753358}, {""C"": 0.01, ""val_ba"": 0.5629079254079254}, {""C"": 0.1, ""val_ba"": 0.5976662226662227}, {""C"": 1.0, ""val_ba"": 0.5884646603396603}, {""C"": 10.0, ""val_ba"": 0.5657960095460095}]",1.0,1.0,1.0,0.6035502958579881,0.5976662226662227,0.5919785147108986,0.6666666666666666,0.6578262831939302,0.6593279579800227,0.6,0.586574074074074,0.5890929790310594,0.7468354430379747,0.7513888888888888,0.7457403163285518
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__syn_current__whole_mean,l1,syn_current,whole_mean,128,10.0,0.5129974192474193,857369416,"[{""C"": 0.001, ""val_ba"": 0.36422847985347984}, {""C"": 0.01, ""val_ba"": 0.48685689310689306}, {""C"": 0.1, ""val_ba"": 0.46428710178710175}, {""C"": 1.0, ""val_ba"": 0.5117798867798867}, {""C"": 10.0, ""val_ba"": 0.5129974192474193}]",0.8941176470588236,0.8957630280349616,0.8968663269267262,0.5207100591715976,0.5129974192474193,0.5170261969830936,0.4885057471264368,0.47955045363133597,0.4770964166656773,0.4842105263157895,0.47430555555555554,0.470825207295459,0.4936708860759494,0.4887896825396825,0.48341005399828924
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__syn_current__fixed250_ordered_mean,l1,syn_current,fixed250_ordered_mean,2048,0.01,0.7321057414807416,3842935889,"[{""C"": 0.001, ""val_ba"": 0.6775079087579088}, {""C"": 0.01, ""val_ba"": 0.7321057414807416}, {""C"": 0.1, ""val_ba"": 0.7109747890997892}, {""C"": 1.0, ""val_ba"": 0.690191058941059}, {""C"": 10.0, ""val_ba"": 0.6533761377511377}]",0.9764705882352941,0.9753569102322474,0.9762060387625683,0.7337278106508875,0.7321057414807416,0.729834563552788,0.7126436781609196,0.7101515722839253,0.7031333900659349,0.6947368421052632,0.6895833333333333,0.6879249878088888,0.7341772151898734,0.7442460317460317,0.7289661727161728
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__pre_reset__whole_mean,l1,pre_reset,whole_mean,128,0.1,0.5151244588744588,874957324,"[{""C"": 0.001, ""val_ba"": 0.35249923687423684}, {""C"": 0.01, ""val_ba"": 0.4849046786546786}, {""C"": 0.1, ""val_ba"": 0.5151244588744588}, {""C"": 1.0, ""val_ba"": 0.5015196608946609}, {""C"": 10.0, ""val_ba"": 0.49700577200577195}]",0.9058823529411765,0.9019310147169873,0.904984936437215,0.5207100591715976,0.5151244588744588,0.5202145838265888,0.5,0.4955732380364734,0.49004215909457843,0.5157894736842106,0.5101851851851852,0.5084760827407886,0.4810126582278481,0.4846230158730158,0.4703902306843483
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__pre_reset__fixed250_ordered_mean,l1,pre_reset,fixed250_ordered_mean,2048,0.01,0.721738677988678,426594477,"[{""C"": 0.001, ""val_ba"": 0.6355838605838605}, {""C"": 0.01, ""val_ba"": 0.721738677988678}, {""C"": 0.1, ""val_ba"": 0.7169882201132202}, {""C"": 1.0, ""val_ba"": 0.7117798867798868}, {""C"": 10.0, ""val_ba"": 0.7050588300588302}]",0.9980392156862745,0.9970238095238094,0.9976076555023924,0.7218934911242604,0.721738677988678,0.7179599335849335,0.7471264367816092,0.7417139437360025,0.7408439174892644,0.7368421052631579,0.7243055555555555,0.723207733385752,0.759493670886076,0.7584325396825399,0.7563462000962001
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__spike__whole_mean,l1,spike,whole_mean,128,0.1,0.5204184704184703,630004072,"[{""C"": 0.001, ""val_ba"": 0.40518717393717396}, {""C"": 0.01, ""val_ba"": 0.4980630480630481}, {""C"": 0.1, ""val_ba"": 0.5204184704184703}, {""C"": 1.0, ""val_ba"": 0.5114937146187146}, {""C"": 10.0, ""val_ba"": 0.49272082084582086}]",0.9686274509803922,0.9687856893625719,0.9691432411745492,0.5266272189349113,0.5204184704184703,0.5150450584681998,0.4540229885057471,0.4431693918826272,0.44244711067716164,0.4421052631578947,0.4303240740740741,0.43040398409963626,0.46835443037974683,0.4613095238095239,0.4452155506077074
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__spike__fixed250_ordered_mean,l1,spike,fixed250_ordered_mean,2048,0.1,0.6957466144966146,3195806523,"[{""C"": 0.001, ""val_ba"": 0.610805167055167}, {""C"": 0.01, ""val_ba"": 0.6669042762792764}, {""C"": 0.1, ""val_ba"": 0.6957466144966146}, {""C"": 1.0, ""val_ba"": 0.6689740814740815}, {""C"": 10.0, ""val_ba"": 0.6610014985014986}]",1.0,1.0,1.0,0.6982248520710059,0.6957466144966146,0.6923333634003471,0.6379310344827587,0.6297408473879063,0.6238057935880078,0.6210526315789474,0.6155092592592593,0.6075360369478017,0.6582278481012658,0.6592261904761906,0.6412545787545788
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__post_reset__whole_mean,l1,post_reset,whole_mean,128,0.1,0.5166371822621821,3446306864,"[{""C"": 0.001, ""val_ba"": 0.35319368131868134}, {""C"": 0.01, ""val_ba"": 0.4984328171828172}, {""C"": 0.1, ""val_ba"": 0.5166371822621821}, {""C"": 1.0, ""val_ba"": 0.4994630369630369}, {""C"": 10.0, ""val_ba"": 0.4885388916638916}]",0.9333333333333333,0.9290287813287309,0.9319766874848234,0.5266272189349113,0.5166371822621821,0.5170809923653776,0.5057471264367817,0.5027973456282281,0.4917703137721055,0.5052631578947369,0.4997685185185184,0.49006667552720184,0.5063291139240507,0.5188492063492064,0.5005572858514035
postencode_mask,e2e_retrain,4,0.9375,242.10347130039656,bb,l2_wcce,0,23,l1__post_reset__fixed250_ordered_mean,l1,post_reset,fixed250_ordered_mean,2048,0.01,0.7356140387390387,3143840455,"[{""C"": 0.001, ""val_ba"": 0.6167707292707293}, {""C"": 0.01, ""val_ba"": 0.7356140387390387}, {""C"": 0.1, ""val_ba"": 0.732029082029082}, {""C"": 1.0, ""val_ba"": 0.7236350455100454}, {""C"": 10.0, ""val_ba"": 0.7224695443445444}]",1.0,1.0,1.0,0.7337278106508875,0.7356140387390387,0.7306848837444612,0.764367816091954,0.7607058994926644,0.7591237550720037,0.7473684210526316,0.7381944444444445,0.7366952921519485,0.7848101265822784,0.7807539682539684,0.779438249658838
