epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
0,7.772265831492649,0.07240566507367581,6.545507431030273,0.08730158730158728
1,5.427846268409295,0.10668691429697719,3.214691400527954,0.14098124098124099
2,2.3226768295448945,0.3456388527761211,2.26816463470459,0.35708874458874457
3,1.2219210935952125,0.6085444040034146,1.8383630514144897,0.4097342472342471
4,0.7561793479164373,0.7553731637441716,1.8569040298461914,0.42858345358345357
5,0.5616888732179717,0.825302674847252,1.7057515382766724,0.4928330928330928
6,0.4392199068492128,0.8635758113162327,1.7019137144088745,0.5059283309283309
7,0.3864923687379249,0.8803395621248917,1.7750623226165771,0.5107623857623858
8,0.3305515733622848,0.8993644262521436,1.5533047914505005,0.5928691678691679
9,0.2755112189177597,0.9345658610140654,1.7532879114151,0.5198893698893698
10,0.24331491293061827,0.9249907338471419,1.58882737159729,0.5379088504088504
11,0.20407338481454143,0.950435243683024,1.7344582080841064,0.5232623857623857
12,0.1890850864517504,0.952373857447618,1.5010136365890503,0.5295755170755171
13,0.16554847590484226,0.9538646959482605,1.6941548585891724,0.52250481000481
14,0.14561220003282346,0.9670407741793702,1.636224389076233,0.5383778258778259
15,0.1511535511164575,0.9630306979266469,1.7255816459655762,0.5453583453583454
16,0.16425163592508452,0.954819600702185,1.550435185432434,0.5844095719095719
17,0.12310856139598328,0.9751799842793646,1.8298718929290771,0.5251202501202501
18,0.11355050800691989,0.9717498337291159,1.5789475440979004,0.5754449254449253
19,0.10319306130766254,0.9784593052670189,1.643416166305542,0.5302068302068302
20,0.09978902463043003,0.980254770604151,1.790021300315857,0.5334535834535835
21,0.08796071444546705,0.9884337467180604,1.6839114427566528,0.5989297739297738
22,0.08238112476370626,0.9866685184394673,1.7646816968917847,0.5516714766714766
23,0.07567376608795225,0.9883743924920395,1.7904536724090576,0.5427068302068302
24,0.0754707466022283,0.9883743924920395,1.8358250856399536,0.5438011063011063
25,0.06719409247376217,0.9883743924920395,1.8037638664245605,0.583020683020683
26,0.0644016065049705,0.9900410591587062,1.7649694681167603,0.5794853294853294
27,0.05897697106183293,0.9883743924920395,1.828170657157898,0.5490560365560365
28,0.05602662674377379,0.9900410591587062,1.8754297494888306,0.5314333814333815
29,0.054510159357074206,0.9916750460868108,1.8778297901153564,0.5844095719095718
30,0.054446887744273254,0.9916750460868108,1.834515929222107,0.5655603655603655
31,0.04968871469905988,0.9916750460868108,1.9372174739837646,0.5635762385762385
32,0.049371447311570026,0.9916750460868108,1.932754635810852,0.5572270322270323
33,0.049778091039976644,0.9916750460868108,1.9567224979400635,0.5523027898027898
34,0.046167359095893916,0.9916750460868108,1.8982785940170288,0.5615560365560365
35,0.043115871363734626,0.9916750460868108,1.98430335521698,0.5566317941317941
36,0.04239832283207656,0.9916750460868108,1.9908472299575806,0.5407227032227032
37,0.040579862155263886,0.9916750460868108,2.048959970474243,0.5363936988936989
38,0.03973993045404528,0.9916750460868108,2.009836435317993,0.5413540163540164
39,0.03875808544110718,0.9916750460868108,2.0206711292266846,0.5552429052429052
40,0.037490757012326216,0.9916750460868108,2.091984272003174,0.5447270322270322
41,0.03701455718332745,0.9916750460868108,2.0533320903778076,0.5377825877825878
42,0.036155723631638464,0.9916750460868108,2.0477733612060547,0.5447270322270322
43,0.03539937354060028,0.9916750460868108,2.122199296951294,0.5377825877825878
44,0.034720407487911116,0.9933090330149154,2.1602413654327393,0.5294492544492545
45,0.03410975578947958,0.9933090330149154,2.126326322555542,0.5294492544492545
46,0.03352378606603909,0.9933090330149154,2.0998501777648926,0.5413540163540164
