epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
0,9.04873989453209,0.06096153846153846,7.497310161590576,0.08888888888888889
1,5.607497341251209,0.0962035957096553,2.7565529346466064,0.18185425685425685
2,2.1972784610295255,0.32452204841088006,2.145642042160034,0.3101671476671477
3,1.2356159386454268,0.5688199208337749,1.618544578552246,0.39039201539201535
4,0.8215231686163688,0.7009688733229558,1.6089732646942139,0.4506012506012506
5,0.6458265794739255,0.777829270899836,1.5503724813461304,0.46002886002886
6,0.543718233884099,0.8114906029835156,1.4826105833053589,0.5006373256373257
7,0.49095512785517614,0.8465023726347688,1.5112723112106323,0.46783309283309277
8,0.4117458094930895,0.8679345538768836,1.5113340616226196,0.4682299182299183
9,0.3759307857737484,0.8874834412950814,1.4296985864639282,0.5508658008658008
10,0.3254219061741525,0.9133483905979745,1.6083229780197144,0.46535594035594036
11,0.3201963391905192,0.9122928629738193,1.5570849180221558,0.48475829725829717
12,0.2787701489080045,0.934380573721166,1.4933561086654663,0.5135040885040885
13,0.26491617956383096,0.9351331319900965,1.6823514699935913,0.484493746993747
14,0.2508261247879462,0.9476176340153866,1.5348107814788818,0.49587542087542086
15,0.24454284358045114,0.9426479692290828,1.686832070350647,0.5073472823472823
16,0.22768962829535677,0.9464820842463739,1.6492234468460083,0.5190536315536316
17,0.2037819263857121,0.9508821823224801,1.7975434064865112,0.4781806156806157
18,0.20682082713778788,0.9448499918679333,1.7910324335098267,0.5074795574795574
19,0.18846749351480127,0.9505379640433285,1.8419398069381714,0.49699975949975944
20,0.18656061499951834,0.9561771715082852,1.9292641878128052,0.4893879268879268
21,0.18763976094029242,0.9506774609246849,1.789038896560669,0.5011664261664261
22,0.14906397797872606,0.96682402914668,1.9655530452728271,0.485515873015873
23,0.14821394665003232,0.965339788121882,1.882559061050415,0.5161495911495911
24,0.14217037142041217,0.9622704763515899,1.946955919265747,0.5261303511303511
25,0.13372807453503502,0.965614493445607,1.8994293212890625,0.5037818662818663
26,0.12185134565563498,0.9720342465320267,2.0503056049346924,0.5018879268879268
27,0.11636208626161139,0.9753022203882359,2.0650503635406494,0.5000420875420876
28,0.11036108713757356,0.9755200853119832,2.2921369075775146,0.4889610389610389
29,0.10878348083791552,0.9803906232707563,2.2719624042510986,0.48896705146705144
30,0.0977342821234475,0.9787566363426518,2.2367265224456787,0.5026875901875901
31,0.09148331982902734,0.9835655144173456,2.28328537940979,0.5366462241462241
32,0.08881988790585128,0.9787880591681923,2.4754788875579834,0.4886724386724386
33,0.08398828952350428,0.9819629503147816,2.387802839279175,0.5233886483886484
34,0.08088632516575762,0.981994373140322,2.4743430614471436,0.5028559403559404
