condition,family,shifts_mem,tau_mem_ms,shifts_syn,tau_syn_ms,recurrent,seed,feature_dim,feature_type,group,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_val_ba,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_r2,progress_probe_val_mae
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,43,membrane_s4,membrane_s4,1.0,0.32430417495029823,0.3199562244631935,0.29957586864293584,0.3092227782968571,10.0,0.1214183121919632,0.7185580730438232,0.13348981738090515
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,43,membrane_s5,membrane_s5,10.0,0.3030980781974818,0.29805454874929627,0.269955772309186,0.3082360408754815,0.01,0.1196015402674675,0.7173545360565186,0.13356107473373413
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,42,membrane_s6,membrane_s6,10.0,0.3304340622929092,0.32572743047246777,0.30146632552304004,0.3139622836725172,0.01,0.1160527691245079,0.7252994179725647,0.12456385046243668
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,43,membrane_s4,membrane_s4,1.0,0.3266235917826375,0.32256177480069465,0.30150101861268674,0.32032790613292883,10.0,0.11701322346925735,0.7346208691596985,0.1296253800392151
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,43,membrane_s5,membrane_s5,10.0,0.31817428760768723,0.3132574734001066,0.28642253693392233,0.3286780590609434,0.01,0.11336342990398407,0.7453869581222534,0.1271045058965683
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,42,membrane_s6,membrane_s6,10.0,0.3194996686547382,0.3148050333944772,0.2903969173242475,0.3204713459682703,0.1,0.11813133955001831,0.7141414880752563,0.12720856070518494
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,43,membrane_s4,membrane_s4,1.0,0.3113817097415507,0.30683843906958613,0.281780250151988,0.3254040203012959,10.0,0.1279764026403427,0.6877694129943848,0.12901349365711212
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,43,membrane_s5,membrane_s5,10.0,0.32993704440026506,0.3255324232024311,0.30423882739420827,0.3151532481129185,0.01,0.11888319998979568,0.7121673822402954,0.12699230015277863
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,42,membrane_s6,membrane_s6,1.0,0.3488237243207422,0.34451565681566976,0.32515087531171216,0.3302962579502165,10.0,0.10924652963876724,0.7528051137924194,0.11681827902793884
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,53,43,membrane_s4,membrane_s4,1.0,0.32852882703777336,0.3241401241351338,0.30251735061350954,0.3307287973229776,10.0,0.11660747230052948,0.7311646938323975,0.13153184950351715
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,53,43,membrane_s5,membrane_s5,10.0,0.33018555334658717,0.3251102082527172,0.2999798446248974,0.31278586628118854,10.0,0.11319030076265335,0.7478872537612915,0.1306208074092865
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,53,42,membrane_s6,membrane_s6,1.0,0.3436878727634195,0.33869886014432254,0.31150805623661987,0.3457079286906585,0.01,0.11482326686382294,0.7328224182128906,0.12079819291830063
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,71,43,membrane_s4,membrane_s4,10.0,0.334493041749503,0.3293424582782451,0.3042447270324245,0.30024521000853854,10.0,0.12084649503231049,0.7331188321113586,0.13920000195503235
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,71,43,membrane_s5,membrane_s5,1.0,0.3122929092113983,0.30679872736719876,0.2779078089598647,0.31042345247927866,10.0,0.12239213287830353,0.7117587924003601,0.1353129744529724
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,71,42,membrane_s6,membrane_s6,10.0,0.3190854870775348,0.31383536765215236,0.28623601625908823,0.3365521216563492,0.01,0.1158815547823906,0.7300443053245544,0.12763826549053192
