condition,family,shifts_mem,tau_mem_ms,shifts_syn,tau_syn_ms,recurrent,seed,feature_dim,feature_type,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_val_ba,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_r2,progress_probe_val_mae
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,128,membrane,10.0,0.3210735586481113,0.3168134220821034,0.29822035112024564,0.3297800147515077,0.01,0.12113261967897415,0.7174334526062012,0.1327529400587082
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,128,synaptic,0.1,0.3435222001325381,0.339120284884015,0.3188424162682785,0.3240111685883672,0.1,0.13482198119163513,0.6761207580566406,0.15203681588172913
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,128,spike,0.01,0.3190854870775348,0.3144840634363388,0.29315506433093513,0.29547785742020843,10.0,0.13499175012111664,0.675532877445221,0.15201354026794434
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,128,spike250,0.01,0.31610337972166996,0.31135079915225766,0.2896505076842911,0.3117910054122264,10.0,0.1222350224852562,0.7148388624191284,0.13483810424804688
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,128,spike500,1.0,0.32123923127899273,0.3170868481113286,0.2962475914600256,0.3130879666094805,0.01,0.11779285967350006,0.7231037616729736,0.12600378692150116
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,128,membrane,1.0,0.33921471172962225,0.33500663368604844,0.3171192510414683,0.3365509339756791,0.01,0.11442927271127701,0.7442280054092407,0.12656448781490326
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,128,synaptic,0.1,0.34857521537442016,0.3442254827740419,0.32673041097480604,0.3394382527395582,0.01,0.1269984245300293,0.7117802500724792,0.14313611388206482
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,128,spike,10.0,0.31552352551358515,0.31082767300165304,0.28889440185418025,0.30559214778570326,0.01,0.13484597206115723,0.6778338551521301,0.1495128720998764
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,128,spike250,0.01,0.3113817097415507,0.3071286623999164,0.28429979349453205,0.32046256879326723,10.0,0.12545932829380035,0.7048670053482056,0.13039164245128632
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,128,spike500,10.0,0.3023525513585156,0.2976760215096808,0.27185259507352716,0.31731042530545983,10.0,0.12166152149438858,0.7132625579833984,0.12384801357984543
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,128,membrane,0.01,0.33325049701789267,0.32892555813794566,0.30925945749518957,0.3357185064860956,1.0,0.11573715507984161,0.7332472205162048,0.12117315828800201
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,128,synaptic,0.01,0.3410371106693174,0.33679141762819104,0.3190821373153366,0.33749742636583774,0.01,0.12823504209518433,0.6996948719024658,0.1405010223388672
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,128,spike,0.01,0.32712060967528167,0.322533080367816,0.2987462581656547,0.30658969567760935,0.1,0.13102515041828156,0.6902731657028198,0.14290085434913635
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,128,spike250,10.0,0.33316766070245196,0.32886593206928927,0.30447135377766277,0.3210586761535781,10.0,0.11669249087572098,0.7354812622070312,0.12559735774993896
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,128,spike500,0.01,0.3329191517561299,0.3281681416652188,0.2993793028024959,0.32407812978189254,10.0,0.11241879314184189,0.7482749223709106,0.12051545828580856
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,128,membrane,0.01,0.34600728959575877,0.3415288674760808,0.32299342188276975,0.33838968474379616,10.0,0.11538217216730118,0.7460367679595947,0.12737613916397095
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,128,synaptic,0.01,0.34070576540755465,0.3360449707121128,0.31741067118103966,0.33425276853048397,10.0,0.13129328191280365,0.6916818618774414,0.14731216430664062
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,128,spike,0.01,0.31403247183565275,0.3090562808195618,0.2866417793805164,0.3022268906689796,10.0,0.13462470471858978,0.6778213977813721,0.15015605092048645
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,128,spike250,0.01,0.31146454605699136,0.30692984005627105,0.28517934008448237,0.3057053960436753,10.0,0.11887001991271973,0.7311877012252808,0.13181084394454956
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,128,spike500,0.01,0.31452948972829686,0.30964803727645357,0.2866472705729865,0.3096077234458255,10.0,0.112665094435215,0.7508295178413391,0.1242484524846077
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,128,membrane,10.0,0.346752816434725,0.34154961487745994,0.3203103685110035,0.3154708227241193,0.01,0.11545131355524063,0.7443445920944214,0.13249725103378296
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,128,synaptic,1.0,0.3442677269715043,0.3394465136856045,0.31790961403530493,0.3264110994531968,1.0,0.13438473641872406,0.682508647441864,0.15174990892410278
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,128,spike,0.01,0.3107190192180252,0.3057898764049177,0.2802384219572819,0.28646479606970565,10.0,0.1397467702627182,0.6600450277328491,0.15426339209079742
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,128,spike250,0.1,0.31469516235917827,0.3096482382034174,0.28157664583280523,0.2906073520391299,10.0,0.12200157344341278,0.7253856658935547,0.13854043185710907
