condition,family,shifts_mem,tau_mem_ms,shifts_syn,tau_syn_ms,recurrent,seed,ablation,replicate,native_val_phase_ba,native_test_phase_ba,native_test_progress_mae,probe_val_phase_ba,probe_test_phase_ba,probe_test_progress_mae
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,ordered,0,0.33914480515914774,0.3474267770066005,0.16109409234295152,0.3297800147515077,0.3168134220821034,0.12113261967897415
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,state_reset,0,0.19294532104403667,0.2079214148771707,0.2521527695329222,0.29801386883791786,0.3198106239534696,0.14309628307819366
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,temporal_shuffle,0,0.10981607814479762,0.10389851895582307,0.25643584826221205,0.24269227378087974,0.26641940389453156,0.16563624143600464
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,temporal_shuffle,1,0.10473854552462943,0.10912277484410353,0.2537123667050714,0.25464680433974657,0.2584617556852534,0.17029191553592682
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,temporal_shuffle,2,0.11570154738446008,0.10073479272742096,0.24993141383340914,0.23176155815584448,0.26646293135613347,0.16647526621818542
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,temporal_shuffle,3,0.11186820213390529,0.10991192730566594,0.2493212386353375,0.24736596884028242,0.2626539664162443,0.16435925662517548
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,11,temporal_shuffle,4,0.10241720433328885,0.11273647952395813,0.25323796598878623,0.24136996943960148,0.2651153807510693,0.16574709117412567
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,ordered,0,0.3417932669454082,0.3560021248987184,0.16794469748457816,0.3365509339756791,0.33500663368604844,0.11442927271127701
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,state_reset,0,0.18878980441449283,0.198709084100427,0.25286403094252496,0.3151334081137067,0.3237013851459397,0.13571825623512268
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,temporal_shuffle,0,0.11734975354432338,0.1021025929140091,0.25092317633432887,0.2506683590285294,0.26737050744088836,0.16603776812553406
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,temporal_shuffle,1,0.10865056582083059,0.10388391588667956,0.25168054724392824,0.25220785870549917,0.26554076184656167,0.16026714444160461
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,temporal_shuffle,2,0.1103319986337995,0.11096339631985248,0.24812896284338545,0.25538650916022887,0.2579712400216718,0.1651134192943573
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,temporal_shuffle,3,0.10947142593344686,0.10664683796800767,0.25013659098376967,0.25120974998996426,0.2756864998876679,0.160908505320549
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,23,temporal_shuffle,4,0.11319618710029773,0.10767895119941968,0.25114225034844384,0.25680472010189825,0.27227692429371364,0.16198162734508514
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,ordered,0,0.349549893433845,0.342527966593248,0.17799474605142254,0.3357185064860956,0.32892555813794566,0.11573715507984161
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,state_reset,0,0.23539615360744967,0.24384129976651786,0.24718207529146377,0.30964450882259015,0.3210627175863906,0.1417328417301178
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,temporal_shuffle,0,0.09862570609187743,0.10511336613215701,0.2556336187336543,0.26495045063004896,0.2833723213454763,0.16016286611557007
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,temporal_shuffle,1,0.10824027166833332,0.09983799833713544,0.2569805040751418,0.2689545990825266,0.26816454598625816,0.15689951181411743
