condition,family,shifts_mem,tau_mem_ms,shifts_syn,tau_syn_ms,recurrent,seed,ablation,replicate,native_val_phase_ba,native_test_phase_ba,native_test_progress_mae,probe_val_phase_ba,probe_test_phase_ba,probe_test_progress_mae
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,temporal_shuffle,2,0.10724466909402512,0.10661259555268816,0.2564169315442647,0.25573458343429395,0.267636647185613,0.16328665614128113
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,temporal_shuffle,3,0.10760777069325315,0.10955597642755069,0.25198529844414697,0.2611328480929603,0.2567753394097354,0.16163183748722076
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,37,temporal_shuffle,4,0.11399041439512622,0.10236690543180446,0.2569594350579667,0.26437652564076164,0.2710628169163615,0.16056324541568756
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,ordered,0,0.30226659237107156,0.3084674217199471,0.17387361069248147,0.33838968474379616,0.3415288674760808,0.11538217216730118
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,state_reset,0,0.14593911558598788,0.15670941885768205,0.2522259966967857,0.3015618343513017,0.31245830973885425,0.1397380530834198
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,temporal_shuffle,0,0.10441223320709594,0.09402194455680943,0.24821594643266234,0.2578850040073584,0.27954655442844534,0.16326278448104858
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,temporal_shuffle,1,0.10522792979491295,0.09946303651911165,0.24854644030740816,0.24848542970707016,0.27554783344521994,0.16176463663578033
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,temporal_shuffle,2,0.10437438994051296,0.10623339062244763,0.25083873369922377,0.25152537625377425,0.265230077506437,0.16236862540245056
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,temporal_shuffle,3,0.1086041008324187,0.10462581250172823,0.25073279746591226,0.2535452572768825,0.285383893083779,0.16204246878623962
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,53,temporal_shuffle,4,0.09680727619265725,0.09748211532973966,0.25186522039648607,0.2544712705046358,0.26733407233398593,0.1609543412923813
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,ordered,0,0.3387765113911775,0.357109869994825,0.17430108214077883,0.3154708227241193,0.34154961487745994,0.11545131355524063
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,state_reset,0,0.2187377797388376,0.23810341496783885,0.24848945500099495,0.29414378949061887,0.31750413174717346,0.14473333954811096
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,temporal_shuffle,0,0.10867277665430249,0.10413799003141236,0.2573488313857823,0.24033055735540293,0.26098563349572024,0.17239774763584137
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,temporal_shuffle,1,0.10372812410892396,0.10695083972482156,0.2554603178207188,0.2633429010210188,0.2615544454664359,0.173208549618721
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,temporal_shuffle,2,0.10274777630835921,0.10521108386210105,0.2560267383105134,0.24423970840646217,0.2590016666429272,0.1749858856201172
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,temporal_shuffle,3,0.1118223760479112,0.11155462993516854,0.25292411895647443,0.24450455343015812,0.266181747276779,0.1701975017786026
mem_single_s4,mem,[4],[242.10347130039656],[1],[22.542110013890053],False,71,temporal_shuffle,4,0.10725206201856405,0.10724038165358407,0.257782129392232,0.2466523839163502,0.24953015977360252,0.1713101714849472
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,11,ordered,0,0.33517266890683556,0.3397323724002849,0.17816311365937534,0.3274725883781635,0.31136963754351954,0.12001414597034454
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,11,state_reset,0,0.1714514295753177,0.18079251437615526,0.25520606236915067,0.298848275303828,0.3177685087852297,0.1434168815612793
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,11,temporal_shuffle,0,0.11284038393107894,0.10682817304886597,0.24037474475494802,0.3234706005219473,0.34522129335928475,0.11441989243030548
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,11,temporal_shuffle,1,0.11263693869828204,0.10918829824541923,0.24079065453516293,0.325906800648163,0.3513342040026516,0.11817020922899246
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,11,temporal_shuffle,2,0.11143844061649374,0.10369568240754627,0.23735789730124277,0.30830175170439744,0.34007102534810113,0.11657445877790451
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,11,temporal_shuffle,3,0.11476098189148845,0.10896237551027821,0.23585070812538877,0.3167687573319738,0.33441472698659097,0.11327856034040451
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,11,temporal_shuffle,4,0.10607476914456151,0.11444564816289456,0.23804934710672457,0.3047043952600554,0.3405980080642942,0.11538037657737732
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,23,ordered,0,0.34299587077792615,0.34741219044544247,0.16756617533017512,0.3280872828842816,0.33550842555385835,0.11356714367866516
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,23,state_reset,0,0.15847657630639267,0.16444469454930538,0.25425118942783304,0.3117177113804955,0.3211796926141643,0.13629107177257538
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,23,temporal_shuffle,0,0.12129916767088275,0.10696160205824619,0.24357240167382646,0.3320099007422086,0.3388651333940105,0.11901050806045532
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,23,temporal_shuffle,1,0.1138449849439461,0.11237210598176617,0.24513574822308265,0.31455728741711253,0.3335247283716105,0.11382146924734116
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,23,temporal_shuffle,2,0.11170924124849738,0.11505434365571623,0.24306246025921546,0.3303856016558554,0.33429161242899813,0.11769590526819229
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,23,temporal_shuffle,3,0.11375047989444664,0.108235107660446,0.24504554108397603,0.31893153517995787,0.35026570722672945,0.1132788434624672
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,23,temporal_shuffle,4,0.1159897625062365,0.1148815903911421,0.24327995352549095,0.3166912806043023,0.33065460802351737,0.11538056284189224
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,37,ordered,0,0.34311144731827625,0.34059098522373704,0.18035971301875703,0.3329923306585193,0.33001910424823716,0.11475135385990143
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,37,state_reset,0,0.21342140993806952,0.2168928419731751,0.2513138953953573,0.3122367707024816,0.32153283775522656,0.14160774648189545
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,37,temporal_shuffle,0,0.10817795943376844,0.10457740970619671,0.24312295325814862,0.3425533943962761,0.3413699666163686,0.1128198653459549
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,37,temporal_shuffle,1,0.10905616625257628,0.10277435753001411,0.24413500093433954,0.32885701339101414,0.3329393710305475,0.11311699450016022
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,37,temporal_shuffle,2,0.10918474396775506,0.1112870445735575,0.24428019131699655,0.332106888336012,0.3286803398006267,0.11933133751153946
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,37,temporal_shuffle,3,0.10963587764548403,0.11307511831735491,0.2392676987060129,0.33283066597847566,0.33102751572086875,0.1195177361369133
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,37,temporal_shuffle,4,0.1195473695854529,0.10732323112950679,0.24439221538909495,0.3276790738278955,0.33382283445217653,0.11498936265707016
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,53,ordered,0,0.3009613013889662,0.3083567977681859,0.17817435199267243,0.3330920533827327,0.3358970535886195,0.1144682988524437
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,53,state_reset,0,0.12126179944719358,0.1305492498486975,0.25410317068230615,0.30547318865036455,0.31781436409241864,0.1402565985918045
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,53,temporal_shuffle,0,0.10586082686954726,0.0980173840581817,0.23975040488047142,0.3283959098498953,0.34200883373548185,0.11405055969953537
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,53,temporal_shuffle,1,0.10455114071334362,0.10637688566267496,0.239544832543151,0.3270369622016106,0.34630310792717184,0.11459200084209442
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,53,temporal_shuffle,2,0.10853777973351927,0.10374667310750005,0.24148809093318574,0.31930379977757434,0.34984464907964813,0.11403878778219223
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,53,temporal_shuffle,3,0.09926855012122376,0.1081635680927429,0.2413711809132197,0.31025320067659196,0.3590741971724015,0.11117123067378998
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,53,temporal_shuffle,4,0.10696679596378593,0.10250146394889832,0.24200477338817022,0.3148419456765631,0.3404922037085609,0.11065132170915604
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,71,ordered,0,0.3411034673716878,0.3410838073691404,0.1728871554544527,0.3151776348042631,0.33435326633514756,0.11395356059074402
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,71,state_reset,0,0.1638561668943033,0.17261757984840642,0.2580166581558855,0.29565504021361866,0.31242401950716314,0.14448677003383636
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,71,temporal_shuffle,0,0.11062057424511225,0.11162616285296037,0.24620320698986314,0.3201130052051171,0.3360437042158373,0.1229918897151947
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,71,temporal_shuffle,1,0.11510536982332406,0.10750617336030857,0.2467482089996338,0.32850721889599316,0.34720576118210245,0.12053143233060837
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,71,temporal_shuffle,2,0.11710138125542366,0.11322284726781764,0.24354423888742108,0.3180965280290233,0.33348894220487085,0.12489598244428635
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,71,temporal_shuffle,3,0.1128894426111164,0.11007931287838305,0.24311378557388097,0.31063997232616836,0.3402321907699898,0.11962825804948807
mem_single_s5,mem,[5],[492.1461612435418],[1],[22.542110013890053],False,71,temporal_shuffle,4,0.11523320022540018,0.11153557462718573,0.24787159488625723,0.3138425206058042,0.3273745473026105,0.12026122212409973
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,11,ordered,0,0.32577106787812204,0.33346991337690246,0.17625666807775628,0.32074883653150826,0.3048203452480358,0.12442897260189056
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,11,state_reset,0,0.1479602639672007,0.1504564602565056,0.2598675734376254,0.29947718876240736,0.31244741899335393,0.1438317596912384
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,11,temporal_shuffle,0,0.11189294241354997,0.10712404538778741,0.23236307216017213,0.3693566407854561,0.3986644030341603,0.09229381382465363
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,11,temporal_shuffle,1,0.11690755842599773,0.1139009947359492,0.2331791838554487,0.38055819311152267,0.39963731421518633,0.09565890580415726
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,11,temporal_shuffle,2,0.11991877475803721,0.11424170768611205,0.2324867803756505,0.35494882507873854,0.3894537927467503,0.09482130408287048
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,11,temporal_shuffle,3,0.1208922384345891,0.11073739523659354,0.23052473917399366,0.36974928143622254,0.3926508388127363,0.09376087784767151
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,11,temporal_shuffle,4,0.10750248790309833,0.11314125334663909,0.2320787922976768,0.36343165178278297,0.4067372693894347,0.09538571536540985
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,23,ordered,0,0.32576992416460165,0.3406294719592308,0.16861932081718967,0.3248165384993313,0.32768172119025446,0.11371753364801407
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,23,state_reset,0,0.13857264973082795,0.1395371474819859,0.2562241162339302,0.3120788614666098,0.32023372846634535,0.1362936943769455
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,23,temporal_shuffle,0,0.1175495248927578,0.1123791269406883,0.24436883730431125,0.3817299492445444,0.3803548509046678,0.09653489291667938
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,23,temporal_shuffle,1,0.11718418903519019,0.12201353017994335,0.2467152386495512,0.3708546734014408,0.39239363244578734,0.09386411309242249
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,23,temporal_shuffle,2,0.11546337913238154,0.11563937949408656,0.24541233010488014,0.37926189914833286,0.3942653513611633,0.09595519304275513
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,23,temporal_shuffle,3,0.12133769597111113,0.11439396204370081,0.24716072539760642,0.3695441415162205,0.3870101258152209,0.09218698740005493
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,23,temporal_shuffle,4,0.120410848945577,0.11841464465075338,0.24509433197648559,0.3697329040363327,0.39157326117644564,0.09449908882379532
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,37,ordered,0,0.33634425204677715,0.33470563231034556,0.1711276165426594,0.32651712456222065,0.3311203619151644,0.11755680292844772
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,37,state_reset,0,0.18368042944309323,0.18407768858713466,0.25582445484318145,0.3103471987914971,0.317739177394271,0.14254771173000336
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,37,temporal_shuffle,0,0.11324816673608148,0.10583261877233638,0.2353368687303099,0.3838022418026926,0.3804710367024087,0.09419016540050507
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,37,temporal_shuffle,1,0.11550472375255574,0.1051745961471812,0.23707721821249347,0.3733764559070755,0.3617785639100689,0.09510533511638641
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,37,temporal_shuffle,2,0.11426227990548869,0.10967748027725073,0.2363512352721332,0.3717250905132386,0.3693980548033727,0.10074698179960251
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,37,temporal_shuffle,3,0.11384677037148996,0.11574395985455006,0.23291915410185512,0.38624834460949564,0.36543772318668005,0.10151058435440063
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,37,temporal_shuffle,4,0.11863232246388251,0.11305208280868698,0.23743392996592064,0.3716475578379696,0.3736610260328053,0.0967535525560379
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,53,ordered,0,0.2923606187921396,0.3061560691799229,0.17436582584903665,0.3256739325356321,0.32960892375902884,0.11624671518802643
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,53,state_reset,0,0.10823362776612377,0.11316220904462841,0.25557372014816493,0.3036823718803613,0.317357451979719,0.1411058008670807
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,53,temporal_shuffle,0,0.1073085330636816,0.103498184920053,0.23950369717323616,0.36995496717802534,0.3942033712974006,0.09430265426635742
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,53,temporal_shuffle,1,0.10419157859211839,0.10767906101040312,0.24038119838662345,0.36812755037560585,0.4009895358249483,0.09170212596654892
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,53,temporal_shuffle,2,0.11099157014986409,0.10277024971794853,0.24294709179499377,0.3651012265346571,0.394932558093996,0.09153476357460022
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,53,temporal_shuffle,3,0.10628566317881365,0.1088714969394046,0.24180348278724983,0.3736709268811102,0.4037962539944167,0.08839394897222519
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,53,temporal_shuffle,4,0.10890504276823405,0.10480594193938086,0.24214270016918443,0.37204670489698877,0.37988685798423105,0.08962011337280273
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,71,ordered,0,0.33889223817058944,0.32833121697549794,0.17628683782603644,0.3176312909153116,0.3300886588726605,0.1189732551574707
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,71,state_reset,0,0.1484639950990278,0.15638212712148475,0.259715201103524,0.29566063508076956,0.31185529076426977,0.144907608628273
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,71,temporal_shuffle,0,0.11822654136626456,0.1150297750646766,0.25382805850407847,0.36730691863184933,0.3832380659132945,0.10007579624652863
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,71,temporal_shuffle,1,0.1195059670079234,0.1114392378463421,0.2536851347309269,0.37567066370978,0.3945912064279128,0.09768381714820862
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,71,temporal_shuffle,2,0.11271210643797436,0.1130500720470791,0.25165108132035763,0.3668526758384844,0.3936357821844927,0.10060936957597733
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,71,temporal_shuffle,3,0.11267079087318499,0.11363932546339077,0.25055725280552693,0.3690936152652486,0.38379345308835544,0.09871817380189896
mem_single_s6,mem,[6],[992.1669944116244],[1],[22.542110013890053],False,71,temporal_shuffle,4,0.11745215386042566,0.11115650550608314,0.25364396996694066,0.3723047690678784,0.36844789713635556,0.09864314645528793
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,ordered,0,0.35815689516266247,0.35428851901031777,0.16330595539040763,0.34303015834618233,0.31896445317593963,0.12467239797115326
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,state_reset,0,0.1365315404855513,0.1383849925284033,0.2656943634764789,0.29907313991778495,0.3188799063968221,0.1443680226802826
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,temporal_shuffle,0,0.1402636650725139,0.15822268384833998,0.1893972109441888,0.4208861416072671,0.41993222535668046,0.10306540131568909
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,temporal_shuffle,1,0.15308114153094232,0.15405318383979066,0.1891492474569033,0.4231389323962794,0.41130500248655605,0.10271664708852768
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,temporal_shuffle,2,0.14904450339783645,0.15761115563477562,0.18769117740735616,0.4149744767352706,0.41606600745511324,0.10421370714902878
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,temporal_shuffle,3,0.1418386923108356,0.15871062827227506,0.18448659165264808,0.43963327312135386,0.4077477475078948,0.10383965075016022
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,11,temporal_shuffle,4,0.14066240233583,0.15364831305106003,0.18855967750288036,0.41172887837804717,0.430170398841076,0.10053645074367523
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,ordered,0,0.36148898314874095,0.35386926078289227,0.1736968461781332,0.35018827357831694,0.33866688856852073,0.11147862672805786
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,state_reset,0,0.13454704086108302,0.1321898065491566,0.2624733611328961,0.311755547553858,0.3275709726224017,0.13528598845005035
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,temporal_shuffle,0,0.16226422478527408,0.1692741109986535,0.1723658173051599,0.43622761767417934,0.4292221747046268,0.08941341191530228
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,temporal_shuffle,1,0.15980041409737744,0.16171032794467471,0.16977329123510074,0.43299028445787957,0.430902609233594,0.08762994408607483
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,temporal_shuffle,2,0.16310187722937258,0.1675719851058275,0.17002177728365545,0.4292185803006734,0.44443656728238434,0.08712219446897507
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,temporal_shuffle,3,0.17455360298454586,0.17157645146649642,0.17111535431587532,0.4260466463004805,0.43346065654298593,0.08791206032037735
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,23,temporal_shuffle,4,0.1643065208313273,0.16713783487118344,0.17138260194700058,0.4205683691252788,0.4154997278464033,0.08973662555217743
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,ordered,0,0.36404792682781817,0.36492490929797367,0.16780099803454254,0.35039657129891655,0.346913944896143,0.11231686919927597
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,state_reset,0,0.17608016791194434,0.17350407458215344,0.25981850493444153,0.30518528285997515,0.31877346489833075,0.14185158908367157
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,temporal_shuffle,0,0.14746135534899732,0.15868770649697636,0.2028768487172584,0.39576850921582835,0.42582275486830723,0.09586454927921295
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,temporal_shuffle,1,0.15774899836982964,0.15949495501089606,0.20428531463832073,0.37989836073853434,0.43494876251662895,0.09272695332765579
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,temporal_shuffle,2,0.14835452691194992,0.15987784243796072,0.2044052930727397,0.4079935014498329,0.4341795307319572,0.09733963757753372
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,temporal_shuffle,3,0.1485397373074501,0.16074826322505592,0.20431880591666862,0.3876057026166951,0.4007843690756242,0.09816516190767288
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,37,temporal_shuffle,4,0.16116238813277534,0.16637896687732975,0.20376631331770387,0.3880816942639774,0.4195398724661533,0.09779749065637589
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,53,ordered,0,0.3178022187468299,0.32694927759202314,0.1839286938105544,0.34899794300007886,0.3456137149094201,0.11713801324367523
mem_multi_s456,mem,"[4, 5, 6]","[242.10347130039656, 492.1461612435418, 992.1669944116244]",[1],[22.542110013890053],False,53,state_reset,0,0.10014849933957562,0.10053599425956453,0.26382516181632265,0.3038074352827444,0.3071750047864109,0.14236712455749512
