seed,baseline,feature_dim,feature_type,phase_probe_C,phase_probe_test_accuracy,phase_probe_test_ba,phase_probe_test_macro_f1,phase_probe_val_ba,progress_probe_alpha,progress_probe_test_mae,progress_probe_test_r2,progress_probe_val_mae
11,what_only,128,what,1.0,0.32629224652087474,0.32169667646552885,0.3007454074586696,0.30294450300817305,10.0,0.14162498712539673,0.6481685638427734,0.1593949794769287
11,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.6826409697532654,0.11372977495193481
23,what_only,128,what,0.1,0.334493041749503,0.3298981047220013,0.31004317286288463,0.31601012647778337,10.0,0.1343957781791687,0.6832339763641357,0.1513528823852539
23,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.6826409697532654,0.11372977495193481
37,what_only,128,what,10.0,0.3312624254473161,0.32685344212295897,0.30738920145886767,0.3185354190317621,0.01,0.137952521443367,0.6615563035011292,0.151252880692482
37,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.6826409697532654,0.11372977495193481
53,what_only,128,what,10.0,0.32546388336646787,0.32079186177939145,0.29950877853818164,0.31160906979945613,10.0,0.13880522549152374,0.6615139245986938,0.1548178642988205
53,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.6826409697532654,0.11372977495193481
71,what_only,128,what,0.1,0.32123923127899273,0.3163964865647495,0.2925050389594125,0.30228363638238065,10.0,0.14105331897735596,0.6543788909912109,0.15924018621444702
71,elapsed_time_only,1,elapsed,10.0,0.3710238568588469,0.36841527369694493,0.35112452657358795,0.42380019489392246,0.01,0.12418155372142792,0.6826409697532654,0.11372977495193481
