accuracy,actual_duration_ms,balanced_accuracy,classifier,condition,eval_split,experiment,feature_dim,macro_f1,n_bins,protocol_version,representation_family,requested_duration_ms,samples_per_bin,split_seed
0.10091743119266056,46.875,0.10185185185185186,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.028560351512018606,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,11
0.13253012048192772,46.875,0.11805555555555557,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.062495983548615124,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,11
0.42201834862385323,46.875,0.41412037037037036,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.4166781829281829,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,11
0.21686746987951808,46.875,0.2073412698412698,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.19562912765245422,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,11
0.10638297872340426,46.875,0.0925925925925926,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.03068783068783069,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,23
0.09195402298850575,46.875,0.08482142857142856,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.023412698412698413,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,23
0.26595744680851063,46.875,0.2765542328042328,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.26775308025308026,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,23
0.3333333333333333,46.875,0.3363095238095238,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.32391648312700944,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,23
0.13333333333333333,46.875,0.11904761904761905,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.0493730407523511,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,37
0.1875,46.875,0.18449074074074076,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.1356939356939357,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,37
0.4666666666666667,46.875,0.47222222222222227,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.4412821111350524,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,37
0.4583333333333333,46.875,0.4398148148148148,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.44431364316274796,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,37
0.09302325581395349,46.875,0.10416666666666667,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.048400673400673395,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,53
0.09345794392523364,46.875,0.08333333333333333,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.014492753623188406,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,53
0.38372093023255816,46.875,0.37202380952380953,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.3537849541526012,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,53
0.48598130841121495,46.875,0.47906746031746034,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.48662979196361883,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,53
0.09278350515463918,46.875,0.08333333333333333,5nn,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.014285714285714285,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,71
0.09090909090909091,46.875,0.08333333333333333,5nn,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.014150943396226414,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,71
0.4329896907216495,46.875,0.43039021164021163,linear,fixed_0050ms,test,withGyro_experiment_0_1_temporal_representation_probe,5160,0.43425716440422324,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,71
0.48484848484848486,46.875,0.47800925925925924,linear,fixed_0050ms,val,withGyro_experiment_0_1_temporal_representation_probe,5160,0.4599493385871094,86,linear_angular_accel_60event_v2,fixed_duration,50.0,3.0,71
