split_seed,condition,split,user
11,fixed_0050ms,test,user_1
11,fixed_0050ms,test,user_14
11,fixed_0050ms,test,user_2
11,fixed_0050ms,test,user_3
11,fixed_0050ms,train,user_0
11,fixed_0050ms,train,user_10
11,fixed_0050ms,train,user_13
11,fixed_0050ms,train,user_15
11,fixed_0050ms,train,user_18
11,fixed_0050ms,train,user_19
11,fixed_0050ms,train,user_20
11,fixed_0050ms,train,user_4
11,fixed_0050ms,train,user_5
11,fixed_0050ms,train,user_6
11,fixed_0050ms,train,user_7
11,fixed_0050ms,train,user_8
11,fixed_0050ms,val,user_11
11,fixed_0050ms,val,user_12
11,fixed_0050ms,val,user_16
11,fixed_0050ms,val,user_9
11,fixed_0150ms,test,user_1
11,fixed_0150ms,test,user_14
11,fixed_0150ms,test,user_2
11,fixed_0150ms,test,user_3
11,fixed_0150ms,train,user_0
11,fixed_0150ms,train,user_10
11,fixed_0150ms,train,user_13
11,fixed_0150ms,train,user_15
11,fixed_0150ms,train,user_18
11,fixed_0150ms,train,user_19
11,fixed_0150ms,train,user_20
11,fixed_0150ms,train,user_4
11,fixed_0150ms,train,user_5
11,fixed_0150ms,train,user_6
11,fixed_0150ms,train,user_7
11,fixed_0150ms,train,user_8
11,fixed_0150ms,val,user_11
11,fixed_0150ms,val,user_12
11,fixed_0150ms,val,user_16
11,fixed_0150ms,val,user_9
11,fixed_0250ms,test,user_1
11,fixed_0250ms,test,user_14
11,fixed_0250ms,test,user_2
11,fixed_0250ms,test,user_3
11,fixed_0250ms,train,user_0
11,fixed_0250ms,train,user_10
11,fixed_0250ms,train,user_13
11,fixed_0250ms,train,user_15
11,fixed_0250ms,train,user_18
11,fixed_0250ms,train,user_19
11,fixed_0250ms,train,user_20
11,fixed_0250ms,train,user_4
11,fixed_0250ms,train,user_5
11,fixed_0250ms,train,user_6
11,fixed_0250ms,train,user_7
11,fixed_0250ms,train,user_8
11,fixed_0250ms,val,user_11
11,fixed_0250ms,val,user_12
11,fixed_0250ms,val,user_16
11,fixed_0250ms,val,user_9
11,fixed_0350ms,test,user_1
11,fixed_0350ms,test,user_14
11,fixed_0350ms,test,user_2
11,fixed_0350ms,test,user_3
11,fixed_0350ms,train,user_0
11,fixed_0350ms,train,user_10
11,fixed_0350ms,train,user_13
11,fixed_0350ms,train,user_15
11,fixed_0350ms,train,user_18
11,fixed_0350ms,train,user_19
11,fixed_0350ms,train,user_20
11,fixed_0350ms,train,user_4
11,fixed_0350ms,train,user_5
11,fixed_0350ms,train,user_6
11,fixed_0350ms,train,user_7
11,fixed_0350ms,train,user_8
11,fixed_0350ms,val,user_11
11,fixed_0350ms,val,user_12
11,fixed_0350ms,val,user_16
11,fixed_0350ms,val,user_9
11,fixed_0450ms,test,user_1
11,fixed_0450ms,test,user_14
11,fixed_0450ms,test,user_2
11,fixed_0450ms,test,user_3
11,fixed_0450ms,train,user_0
11,fixed_0450ms,train,user_10
11,fixed_0450ms,train,user_13
11,fixed_0450ms,train,user_15
11,fixed_0450ms,train,user_18
11,fixed_0450ms,train,user_19
11,fixed_0450ms,train,user_20
11,fixed_0450ms,train,user_4
11,fixed_0450ms,train,user_5
11,fixed_0450ms,train,user_6
11,fixed_0450ms,train,user_7
11,fixed_0450ms,train,user_8
11,fixed_0450ms,val,user_11
11,fixed_0450ms,val,user_12
11,fixed_0450ms,val,user_16
11,fixed_0450ms,val,user_9
11,fixed_0550ms,test,user_1
11,fixed_0550ms,test,user_14
11,fixed_0550ms,test,user_2
11,fixed_0550ms,test,user_3
11,fixed_0550ms,train,user_0
11,fixed_0550ms,train,user_10
11,fixed_0550ms,train,user_13
11,fixed_0550ms,train,user_15
11,fixed_0550ms,train,user_18
11,fixed_0550ms,train,user_19
11,fixed_0550ms,train,user_20
11,fixed_0550ms,train,user_4
11,fixed_0550ms,train,user_5
11,fixed_0550ms,train,user_6
11,fixed_0550ms,train,user_7
11,fixed_0550ms,train,user_8
11,fixed_0550ms,val,user_11
11,fixed_0550ms,val,user_12
11,fixed_0550ms,val,user_16
11,fixed_0550ms,val,user_9
11,fixed_0650ms,test,user_1
11,fixed_0650ms,test,user_14
11,fixed_0650ms,test,user_2
11,fixed_0650ms,test,user_3
11,fixed_0650ms,train,user_0
11,fixed_0650ms,train,user_10
11,fixed_0650ms,train,user_13
11,fixed_0650ms,train,user_15
11,fixed_0650ms,train,user_18
11,fixed_0650ms,train,user_19
11,fixed_0650ms,train,user_20
11,fixed_0650ms,train,user_4
11,fixed_0650ms,train,user_5
11,fixed_0650ms,train,user_6
11,fixed_0650ms,train,user_7
11,fixed_0650ms,train,user_8
11,fixed_0650ms,val,user_11
11,fixed_0650ms,val,user_12
11,fixed_0650ms,val,user_16
11,fixed_0650ms,val,user_9
11,fixed_0750ms,test,user_1
11,fixed_0750ms,test,user_14
11,fixed_0750ms,test,user_2
11,fixed_0750ms,test,user_3
11,fixed_0750ms,train,user_0
11,fixed_0750ms,train,user_10
11,fixed_0750ms,train,user_13
11,fixed_0750ms,train,user_15
11,fixed_0750ms,train,user_18
11,fixed_0750ms,train,user_19
11,fixed_0750ms,train,user_20
11,fixed_0750ms,train,user_4
11,fixed_0750ms,train,user_5
11,fixed_0750ms,train,user_6
11,fixed_0750ms,train,user_7
11,fixed_0750ms,train,user_8
11,fixed_0750ms,val,user_11
11,fixed_0750ms,val,user_12
11,fixed_0750ms,val,user_16
11,fixed_0750ms,val,user_9
11,fixed_0850ms,test,user_1
11,fixed_0850ms,test,user_14
11,fixed_0850ms,test,user_2
11,fixed_0850ms,test,user_3
11,fixed_0850ms,train,user_0
11,fixed_0850ms,train,user_10
11,fixed_0850ms,train,user_13
11,fixed_0850ms,train,user_15
11,fixed_0850ms,train,user_18
11,fixed_0850ms,train,user_19
11,fixed_0850ms,train,user_20
11,fixed_0850ms,train,user_4
11,fixed_0850ms,train,user_5
11,fixed_0850ms,train,user_6
11,fixed_0850ms,train,user_7
11,fixed_0850ms,train,user_8
11,fixed_0850ms,val,user_11
11,fixed_0850ms,val,user_12
11,fixed_0850ms,val,user_16
11,fixed_0850ms,val,user_9
11,fixed_0950ms,test,user_1
11,fixed_0950ms,test,user_14
