representation_family,condition,requested_duration_ms,samples_per_bin,actual_duration_ms,n_bins,feature_dim,classifier,n_splits,mean_test_balanced_accuracy,sd_test_balanced_accuracy,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1
fixed_duration,fixed_1050ms,1050.0,67.0,1046.875,4,240,5nn,5,0.4519047619047619,0.05411983228771674,0.4581999106172602,0.06175633220785705,0.4326819074310719,0.060541686301055254
fixed_duration,fixed_0850ms,850.0,54.0,843.75,5,300,5nn,5,0.42211640211640217,0.06200889927482356,0.4281462298378143,0.06120748038249109,0.40918798361160497,0.06669638120583368
fixed_duration,fixed_0950ms,950.0,61.0,953.125,5,300,5nn,5,0.4764814814814814,0.05004091134938458,0.4831152663108173,0.05096277408388459,0.4533731750515232,0.06223792326195169
fixed_duration,fixed_0750ms,750.0,48.0,750.0,6,360,5nn,5,0.4231746031746032,0.06855634645690194,0.42817479119392976,0.06710546931664835,0.40272018975433677,0.08358029640110529
fixed_duration,fixed_0650ms,650.0,42.0,656.25,7,420,5nn,5,0.47069444444444447,0.11641262466096226,0.47567976606300943,0.11268560103718847,0.45761685296999605,0.12000180858957514
fixed_duration,fixed_0550ms,550.0,35.0,546.875,8,480,5nn,5,0.468941798941799,0.09036775270981784,0.4604724344382408,0.09252223477886487,0.4600363879206366,0.09256571585746881
fixed_duration,fixed_0450ms,450.0,29.0,453.125,9,540,5nn,5,0.45048280423280423,0.09464757874352912,0.45058132248298194,0.09224831250770268,0.4401504747365227,0.10671068747815723
fixed_duration,fixed_0350ms,350.0,22.0,343.75,12,720,5nn,5,0.43416005291005294,0.10383648434480801,0.43736506353517274,0.10163839908712294,0.4273396137788059,0.1101909543867827
fixed_duration,fixed_0250ms,250.0,16.0,250.0,16,960,5nn,5,0.411005291005291,0.08127064820550017,0.4154203893888283,0.07873862671151019,0.40973927145115363,0.06296392688492478
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,1560,5nn,5,0.27356481481481476,0.060547928596182576,0.2791670404727161,0.061681657927030765,0.25947502085414437,0.0558624218430346
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5160,5nn,5,0.1001984126984127,0.013379582224962905,0.10528810084359816,0.016685532004690057,0.03426152212771762,0.014769741955258089
fixed_duration,fixed_1050ms,1050.0,67.0,1046.875,4,240,linear,5,0.5347883597883598,0.09206566277069776,0.5414343306814124,0.08403602213123004,0.5255724985074842,0.09045576497857126
fixed_duration,fixed_0850ms,850.0,54.0,843.75,5,300,linear,5,0.5296693121693121,0.04413910495677,0.537962549820722,0.03693523712126317,0.5251700527553166,0.037925497033251834
fixed_duration,fixed_0950ms,950.0,61.0,953.125,5,300,linear,5,0.5270039682539682,0.06834816530690667,0.5333202386948767,0.06117960175440733,0.5213707798261573,0.06304175387561772
fixed_duration,fixed_0750ms,750.0,48.0,750.0,6,360,linear,5,0.5389285714285714,0.05138486366025396,0.5431046412180288,0.043114592748603846,0.528805848286162,0.04353040713857687
fixed_duration,fixed_0650ms,650.0,42.0,656.25,7,420,linear,5,0.5866468253968253,0.04390255778196753,0.5910219774245637,0.0398427582350486,0.5851690344623444,0.03925518893005517
fixed_duration,fixed_0550ms,550.0,35.0,546.875,8,480,linear,5,0.6018320105820105,0.09169818693991302,0.5963510513734855,0.08762111748827213,0.5942170875552443,0.08015181350971029
fixed_duration,fixed_0450ms,450.0,29.0,453.125,9,540,linear,5,0.6038359788359788,0.07413753821246981,0.6060419617784504,0.07271542097765173,0.5936017760998916,0.0728082118467158
