representation_family,condition,requested_duration_ms,samples_per_bin,actual_duration_ms,n_bins,feature_dim,classifier,n_splits,mean_test_balanced_accuracy,sd_test_balanced_accuracy,mean_test_accuracy,sd_test_accuracy,mean_test_macro_f1,sd_test_macro_f1
fixed_duration,fixed_0350ms,350.0,22.0,343.75,12,720,linear,5,0.6265542328042328,0.08401348059207414,0.6276251212578465,0.0807548122857773,0.6239770306606691,0.07833485993022872
fixed_duration,fixed_0250ms,250.0,16.0,250.0,16,960,linear,5,0.5740343915343915,0.11013206433148955,0.5755189503872444,0.10566515586365927,0.5688124627512499,0.1097760105817303
fixed_duration,fixed_0150ms,150.0,10.0,156.25,26,1560,linear,5,0.553611111111111,0.08420002286271172,0.5487298501769754,0.08661769956039456,0.5461499785463868,0.08906941994232205
fixed_duration,fixed_0050ms,50.0,3.0,46.875,86,5160,linear,5,0.3930621693121693,0.07436372839714259,0.39427061661064766,0.07759809408573068,0.38275109857462797,0.0729612620537178
relative_progress,relative_01bin,,,,1,60,5nn,5,0.3573478835978836,0.07730932107157962,0.35879079096018496,0.07788820133615468,0.33338290476418087,0.07737411724515988
relative_progress,relative_02bin,,,,2,120,5nn,5,0.484484126984127,0.08562327080944891,0.4900260344350211,0.08572799205098484,0.4713939769916348,0.07819471990136143
relative_progress,relative_04bin,,,,4,240,5nn,5,0.6054695767195767,0.11294175474370254,0.6078843129828562,0.10905014700139598,0.5984153519227217,0.10720089895576378
relative_progress,relative_06bin,,,,6,360,5nn,5,0.6020568783068783,0.09800494542759709,0.6103040891659675,0.09473109877808104,0.6054584066122743,0.09609687994703217
relative_progress,relative_08bin,,,,8,480,5nn,5,0.5527050264550265,0.09876174734579733,0.5624076533389853,0.09096996734509807,0.5634743829472743,0.10851140429425311
relative_progress,relative_10bin,,,,10,600,5nn,5,0.5192129629629629,0.09089734488677981,0.5290894532032967,0.08819611830351018,0.5300585270122697,0.08874294433086274
relative_progress,relative_12bin,,,,12,720,5nn,5,0.4447156084656084,0.04029404010064624,0.4503094103233555,0.04076790683954122,0.46365122601228154,0.053021839484471145
relative_progress,relative_16bin,,,,16,960,5nn,5,0.3540410052910053,0.042782088057071226,0.36502752218699774,0.03896433351084942,0.37013630419610594,0.03856346793231859
relative_progress,relative_20bin,,,,20,1200,5nn,5,0.2330357142857143,0.02233202031676244,0.24318892743504592,0.025418022277807775,0.20957862353123685,0.01792821731147362
relative_progress,relative_01bin,,,,1,60,linear,5,0.4554960317460317,0.07068021468037228,0.4638781864479524,0.06104474486058597,0.44242442286985806,0.07707371649588615
relative_progress,relative_02bin,,,,2,120,linear,5,0.6035780423280424,0.08212403546752385,0.6081744971097715,0.07929340442449342,0.5983465140063269,0.08524677933339235
relative_progress,relative_04bin,,,,4,240,linear,5,0.7091732804232804,0.0835076826041225,0.7070963856461036,0.08566004635395719,0.7051355215319074,0.08485238950199854
relative_progress,relative_06bin,,,,6,360,linear,5,0.729239417989418,0.09722554704029446,0.7266369060736662,0.09917519602203152,0.7240263654092344,0.10410890677747403
relative_progress,relative_08bin,,,,8,480,linear,5,0.7823809523809524,0.06927063708705485,0.7831729749450187,0.06985578438129551,0.7816248305644591,0.0690582510929794
relative_progress,relative_10bin,,,,10,600,linear,5,0.7572156084656084,0.09259464873945294,0.7631184520665364,0.09201559225163339,0.7561134833232357,0.09561661251045313
relative_progress,relative_12bin,,,,12,720,linear,5,0.7374669312169313,0.07673497638957688,0.7374603794368906,0.08196611625882305,0.7392871604945908,0.078375969141488
relative_progress,relative_16bin,,,,16,960,linear,5,0.738373015873016,0.08586526381731024,0.7391165366196006,0.08909328900875921,0.7362113249381051,0.08799370195599081
relative_progress,relative_20bin,,,,20,1200,linear,5,0.7104365079365079,0.08990926747680626,0.7160627113096154,0.08879082210867442,0.7098719535252043,0.08816566362989242
