segment_index,user,action,dataset_id,label_index,label,label_timestamp_us,next_label_timestamp_us,start_sample_index,stop_sample_index_exclusive,first_sample_timestamp_us,last_sample_timestamp_us,sample_count,is_last_label,segment_end_source,ring_source_path,label_source_path
0,user_10,0,0,2,t,1720390033146186.0,1720390035843907.0,5103,5646,1720390033172293.0,1720390035795834.0,543,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
1,user_10,0,0,3,f,1720390035843907.0,1720390040165721.0,5646,6509,1720390035873844.0,1720390040093694.0,863,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
2,user_10,0,0,4,j,1720390040165721.0,1720390042379835.0,6509,6964,1720390040169837.0,1720390042372859.0,455,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
3,user_10,0,0,5,b,1720390042379835.0,1720390044202736.0,6964,7333,1720390042384082.0,1720390044184163.0,369,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
4,user_10,0,0,6,x,1720390044202736.0,1720390046153550.0,7333,7715,1720390044276898.0,1720390046084849.0,382,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
5,user_10,0,0,7,e,1720390046153550.0,1720390047653859.0,7715,8016,1720390046178148.0,1720390047584346.0,301,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
6,user_10,0,0,8,u,1720390047653859.0,1720390049149615.0,8016,8317,1720390047677312.0,1720390049084464.0,301,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
7,user_10,0,0,9,n,1720390049149615.0,1720390050498828.0,8317,8599,1720390049173512.0,1720390050488572.0,282,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
8,user_10,0,0,10,m,1720390050498828.0,1720390051912549.0,8599,8879,1720390050566218.0,1720390051892099.0,280,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
9,user_10,0,0,11,g,1720390051912549.0,1720390053459122.0,8879,9181,1720390051957060.0,1720390053394767.0,302,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
10,user_10,0,0,12,z,1720390053459122.0,1720390055453452.0,9181,9583,1720390053471790.0,1720390055388574.0,402,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
11,user_10,0,0,13,y,1720390055453452.0,1720390056899365.0,9583,9884,1720390055464855.0,1720390056885635.0,301,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
12,user_10,0,0,14,r,1720390056899365.0,1720390058196839.0,9884,10146,1720390056963862.0,1720390058187452.0,262,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
13,user_10,0,0,15,c,1720390058196839.0,1720390059445563.0,10146,10387,1720390058279850.0,1720390059386584.0,241,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
14,user_10,0,0,16,o,1720390059445563.0,1720390060797093.0,10387,10668,1720390059463970.0,1720390060788922.0,281,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
15,user_10,0,0,17,i,1720390060797093.0,1720390062333543.0,10668,10969,1720390060867572.0,1720390062285937.0,301,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
16,user_10,0,0,18,d,1720390062333543.0,1720390063699490.0,10969,11251,1720390062363376.0,1720390063694741.0,282,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
17,user_10,0,0,19,h,1720390063699490.0,1720390065087978.0,11251,11532,1720390063772452.0,1720390065083231.0,281,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
18,user_10,0,0,20,w,1720390065087978.0,1720390066497754.0,11532,11813,1720390065176434.0,1720390066487923.0,281,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
19,user_10,0,0,21,q,1720390066497754.0,1720390067909902.0,11813,12093,1720390066565517.0,1720390067896437.0,280,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
20,user_10,0,0,22,a,1720390067909902.0,1720390069162415.0,12093,12335,1720390067962040.0,1720390069083784.0,242,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
21,user_10,0,0,23,p,1720390069162415.0,1720390070513601.0,12335,12617,1720390069177355.0,1720390070491736.0,282,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
22,user_10,0,0,24,k,1720390070513601.0,1720390072058316.0,12617,12918,1720390070569298.0,1720390071991157.0,301,False,next_label_timestamp,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
23,user_10,0,0,25,v,1720390072058316.0,,12918,13153,1720390072068668.0,1720390073176308.0,235,True,ring_recording_end,data/user_10/0/0_ring_0.bin,data/user_10/0/0_timestamp.txt
24,user_10,0,1,0,S,1720390109703632.0,1720390111679127.0,964,1365,1720390109775572.0,1720390111676994.0,401,False,next_label_timestamp,data/user_10/0/1_ring_0.bin,data/user_10/0/1_timestamp.txt
