label,train,val,test
A,24,5,5
B,26,5,5
C,28,6,6
D,28,6,5
E,28,6,6
G,26,6,6
H,30,6,6
I,27,6,5
J,29,6,6
K,29,6,6
L,20,4,3
X,24,4,4
