sample_id,user,action,stem,segment_index,source_segment_index,dataset_id,label,valid_length,package_relative_dir,package_index,split,label_idx
user_0/action_0/user_0_action_0/segment_000000,user_0,0,user_0_action_0,0,0,0,f,275,user_0/action_0,0,train,31
user_0/action_0/user_0_action_0/segment_000001,user_0,0,user_0_action_0,1,1,0,j,224,user_0/action_0,0,train,35
user_0/action_0/user_0_action_0/segment_000002,user_0,0,user_0_action_0,2,2,0,b,288,user_0/action_0,0,train,27
user_0/action_0/user_0_action_0/segment_000003,user_0,0,user_0_action_0,3,3,0,x,257,user_0/action_0,0,train,49
user_0/action_0/user_0_action_0/segment_000004,user_0,0,user_0_action_0,4,4,0,e,262,user_0/action_0,0,train,30
user_0/action_0/user_0_action_0/segment_000005,user_0,0,user_0_action_0,5,5,0,u,254,user_0/action_0,0,train,46
user_0/action_0/user_0_action_0/segment_000006,user_0,0,user_0_action_0,6,6,0,n,272,user_0/action_0,0,train,39
user_0/action_0/user_0_action_0/segment_000007,user_0,0,user_0_action_0,7,7,0,m,338,user_0/action_0,0,train,38
user_0/action_0/user_0_action_0/segment_000008,user_0,0,user_0_action_0,8,8,0,g,370,user_0/action_0,0,train,32
user_0/action_0/user_0_action_0/segment_000009,user_0,0,user_0_action_0,9,9,0,z,281,user_0/action_0,0,train,51
user_0/action_0/user_0_action_0/segment_000010,user_0,0,user_0_action_0,10,10,0,y,294,user_0/action_0,0,train,50
user_0/action_0/user_0_action_0/segment_000011,user_0,0,user_0_action_0,11,11,0,r,276,user_0/action_0,0,train,43
user_0/action_0/user_0_action_0/segment_000012,user_0,0,user_0_action_0,12,12,0,c,256,user_0/action_0,0,train,28
user_0/action_0/user_0_action_0/segment_000013,user_0,0,user_0_action_0,13,13,0,o,273,user_0/action_0,0,train,40
user_0/action_0/user_0_action_0/segment_000014,user_0,0,user_0_action_0,14,14,0,i,254,user_0/action_0,0,train,34
user_0/action_0/user_0_action_0/segment_000015,user_0,0,user_0_action_0,15,15,0,d,337,user_0/action_0,0,train,29
user_0/action_0/user_0_action_0/segment_000016,user_0,0,user_0_action_0,16,16,0,h,303,user_0/action_0,0,train,33
user_0/action_0/user_0_action_0/segment_000017,user_0,0,user_0_action_0,17,17,0,w,332,user_0/action_0,0,train,48
user_0/action_0/user_0_action_0/segment_000018,user_0,0,user_0_action_0,18,18,0,q,340,user_0/action_0,0,train,42
user_0/action_0/user_0_action_0/segment_000019,user_0,0,user_0_action_0,19,19,0,a,323,user_0/action_0,0,train,26
user_0/action_0/user_0_action_0/segment_000020,user_0,0,user_0_action_0,20,20,0,p,336,user_0/action_0,0,train,41
user_0/action_0/user_0_action_0/segment_000021,user_0,0,user_0_action_0,21,21,0,k,407,user_0/action_0,0,train,36
user_0/action_0/user_0_action_0/segment_000022,user_0,0,user_0_action_0,22,22,0,v,254,user_0/action_0,0,train,47
user_0/action_0/user_0_action_0/segment_000023,user_0,0,user_0_action_0,23,23,1,F,359,user_0/action_0,0,train,5
user_0/action_0/user_0_action_0/segment_000024,user_0,0,user_0_action_0,24,24,1,J,225,user_0/action_0,0,train,9
user_0/action_0/user_0_action_0/segment_000025,user_0,0,user_0_action_0,25,25,1,B,405,user_0/action_0,0,train,1
user_0/action_0/user_0_action_0/segment_000026,user_0,0,user_0_action_0,26,26,1,X,335,user_0/action_0,0,train,23
user_0/action_0/user_0_action_0/segment_000027,user_0,0,user_0_action_0,27,27,1,E,384,user_0/action_0,0,train,4
user_0/action_0/user_0_action_0/segment_000028,user_0,0,user_0_action_0,28,28,1,U,297,user_0/action_0,0,train,20
user_0/action_0/user_0_action_0/segment_000029,user_0,0,user_0_action_0,29,29,1,N,375,user_0/action_0,0,train,13
user_0/action_0/user_0_action_0/segment_000030,user_0,0,user_0_action_0,30,30,1,M,401,user_0/action_0,0,train,12
user_0/action_0/user_0_action_0/segment_000031,user_0,0,user_0_action_0,31,31,1,G,388,user_0/action_0,0,train,6
user_0/action_0/user_0_action_0/segment_000032,user_0,0,user_0_action_0,32,32,1,Z,317,user_0/action_0,0,train,25
user_0/action_0/user_0_action_0/segment_000033,user_0,0,user_0_action_0,33,33,1,Y,312,user_0/action_0,0,train,24
user_0/action_0/user_0_action_0/segment_000034,user_0,0,user_0_action_0,34,34,1,R,388,user_0/action_0,0,train,17
user_0/action_0/user_0_action_0/segment_000035,user_0,0,user_0_action_0,35,35,1,C,265,user_0/action_0,0,train,2
user_0/action_0/user_0_action_0/segment_000036,user_0,0,user_0_action_0,36,36,1,O,262,user_0/action_0,0,train,14
user_0/action_0/user_0_action_0/segment_000037,user_0,0,user_0_action_0,37,37,1,I,183,user_0/action_0,0,train,8
user_0/action_0/user_0_action_0/segment_000038,user_0,0,user_0_action_0,38,38,1,D,346,user_0/action_0,0,train,3
user_0/action_0/user_0_action_0/segment_000039,user_0,0,user_0_action_0,39,39,1,H,400,user_0/action_0,0,train,7
user_0/action_0/user_0_action_0/segment_000040,user_0,0,user_0_action_0,40,40,1,W,397,user_0/action_0,0,train,22
