epoch,optimization_train_loss_mean,optimization_train_loss_std,optimization_train_loss_count,train_ba_mean,train_ba_std,train_ba_count,val_ba_mean,val_ba_std,val_ba_count,train_loss_mean,train_loss_std,train_loss_count,val_loss_mean,val_loss_std,val_loss_count,gain_mean,gain_std,gain_count,q_l2_mean,q_l2_std,q_l2_count,q_span_mean,q_span_std,q_span_count
1,2.4849066734313965,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.484236001968384,0.0,3,2.484174966812134,0.0,3,0.1353352814912796,0.0,3,0.1632957011461258,0.0,3,0.09999949485063549,0.0,3
2,2.484236001968384,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.483558654785156,0.0,3,2.483501434326172,0.0,3,0.140465423464775,0.0,3,0.3191502094268799,0.0,3,0.19990018010139457,0.0,3
3,2.483558654785156,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4828665256500244,0.0,3,2.482952833175659,0.0,3,0.1464255899190902,0.0,3,0.4634400904178619,0.0,3,0.2997812032699585,0.0,3
4,2.4828665256500244,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4821605682373047,0.0,3,2.482480525970459,0.0,3,0.1529782116413116,0.0,3,0.6042638421058655,0.0,3,0.399667352437973,0.0,3
5,2.4821605682373047,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4814488887786865,0.0,3,2.482061624526977,0.0,3,0.1600761860609054,0.0,3,0.7442319989204407,0.0,3,0.4995627701282501,0.0,3
6,2.4814488887786865,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.480740547180176,0.0,3,2.481691360473633,0.0,3,0.1677214056253433,0.0,3,0.8830707669258118,0.0,3,0.5994532704353333,0.0,3
7,2.480740547180176,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.480046510696411,0.0,3,2.481372117996216,0.0,3,0.1759338527917862,0.0,3,1.0194634199142456,0.0,3,0.6993037462234497,0.0,3
8,2.480046510696411,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4793763160705566,0.0,3,2.48110294342041,0.0,3,0.1847403645515442,0.0,3,1.1514908075332642,0.0,3,0.7990533113479614,0.0,3
9,2.4793763160705566,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.47874116897583,0.0,3,2.480882167816162,0.0,3,0.1941678971052169,0.0,3,1.2770756483078003,0.0,3,0.8986074328422546,0.0,3
10,2.47874116897583,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4781503677368164,0.0,3,2.4807045459747314,0.0,3,0.2042367458343505,0.0,3,1.3947635889053345,0.0,3,0.997827649116516,0.0,3
11,2.4781503677368164,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4776153564453125,0.0,3,2.4805705547332764,0.0,3,0.21495091915130607,0.0,3,1.5041742324829102,0.0,3,1.0965152978897097,0.0,3
12,2.4776153564453125,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.47715163230896,0.0,3,2.4804818630218506,0.0,3,0.2262818217277526,0.0,3,1.6054929494857788,0.0,3,1.1943883895874023,0.0,3
13,2.47715163230896,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4767744541168213,0.0,3,2.480438470840454,0.0,3,0.2381373196840286,0.0,3,1.6986324787139893,0.0,3,1.2910468578338623,0.0,3
14,2.4767744541168213,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.476497173309326,0.0,3,2.4804346561431885,0.0,3,0.2503072023391723,0.0,3,1.7828211784362793,0.0,3,1.385926604270935,0.0,3
15,2.476497173309326,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.47632098197937,0.0,3,2.480456113815308,0.0,3,0.2623805701732635,0.0,3,1.8566936254501345,0.0,3,1.4782426357269287,0.0,3
16,2.47632098197937,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4762299060821533,0.0,3,2.4804775714874268,0.0,3,0.2736663818359375,0.0,3,1.9187086820602417,0.0,3,1.566939115524292,0.0,3
17,2.4762299060821533,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4761877059936523,0.0,3,2.480455160140991,0.0,3,0.2832312881946563,0.0,3,1.9677361249923704,0.0,3,1.6506892442703247,0.0,3
18,2.4761877059936523,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4761462211608887,0.0,3,2.480344533920288,0.0,3,0.2901868820190429,0.0,3,2.0035619735717773,0.0,3,1.728014349937439,0.0,3
19,2.4761462211608887,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.476069688796997,0.0,3,2.4801154136657715,0.0,3,0.2940829992294311,0.0,3,2.0270252227783203,0.0,3,1.7975482940673828,0.0,3
20,2.476069688796997,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.475947618484497,0.0,3,2.4797658920288086,0.0,3,0.2950266897678375,0.0,3,2.039746046066284,0.0,3,1.858354568481445,0.0,3
21,2.475947618484497,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.475791931152344,0.0,3,2.47931170463562,0.0,3,0.293487548828125,0.0,3,2.043684244155884,0.0,3,1.9101158380508425,0.0,3
22,2.475791931152344,0.0,3,0.0833333333333333,0.0,3,0.0833333333333333,0.0,3,2.4756247997283936,0.0,3,2.478792190551758,0.0,3,0.2900643646717071,0.0,3,2.040850877761841,0.0,3,1.9531199932098389,0.0,3
