class_index,linear_bias_logit_mean,linear_bias_logit_std,linear_bias_logit_count,lif_count_bias_centered_mean,lif_count_bias_centered_std,lif_count_bias_centered_count,lif_count_bias_nonnegative_mean,lif_count_bias_nonnegative_std,lif_count_bias_nonnegative_count,lif_count_bias_integer_mean,lif_count_bias_integer_std,lif_count_bias_integer_count
0,-1.700475810123353,0.09667027037097133,3,-0.0005053579807281494,0.0,3,1.6283564269542694,0.0,3,2.0,0.0,3
1,-1.6841440022235377,0.1478772124851793,3,-0.0630817711353302,0.0,3,1.5657800137996674,0.0,3,2.0,0.0,3
2,1.8742479148757927,0.07622339595366265,3,0.35592541098594666,0.0,3,1.9847871959209442,0.0,3,2.0,0.0,3
3,-0.08708577315631398,0.2239533434580695,3,0.27555713057518005,0.0,3,1.9044189155101776,0.0,3,2.0,0.0,3
4,-1.4703929607807271,0.40093795375383556,3,0.14026996493339539,0.0,3,1.769131749868393,0.0,3,2.0,0.0,3
5,0.24885638322582757,0.09278240101070544,3,0.27555713057518005,0.0,3,1.9044189155101776,0.0,3,2.0,0.0,3
6,-1.4058400722053275,0.1909437848698948,3,0.47064921259880066,0.0,3,2.099510997533798,0.0,3,2.0,0.0,3
7,1.8883196018813806,0.021613435515733755,3,0.2530103027820587,0.0,3,1.8818720877170563,0.0,3,2.0,0.0,3
8,2.175805312033818,0.12249360086589638,3,0.27555713057518005,0.0,3,1.9044189155101776,0.0,3,2.0,0.0,3
9,-0.9328832932449701,0.17682115304168408,3,0.355925053358078,0.0,3,1.9847868382930756,0.0,3,2.0,0.0,3
10,0.7462534552787748,0.017858444791047617,3,-1.6288617849349976,0.0,3,0.0,0.0,3,0.0,0.0,3
11,0.3473392444387036,0.060509314485208,3,-0.710002064704895,0.0,3,0.9188597202301025,0.0,3,1.0,0.0,3
