contrast,delta_pp_mean,delta_pp_std,count
linear_bias_gain_pp,4.529197654197659,3.331323800655433,3.0
linear_to_lif_loss_pp,50.29401154401154,0.9744129522277669,3.0
continuous_bias_recovery_pp,0.0,0.0,3.0
integer_bias_recovery_pp,0.0,0.0,3.0
integer_vs_continuous_pp,0.0,0.0,3.0
remaining_gap_after_continuous_pp,50.29401154401154,0.9744129522277669,3.0
remaining_gap_after_integer_pp,50.29401154401154,0.9744129522277669,3.0
