method,seed,train_ba,val_ba,test_ba,selected_C,weight_l2,bias_l2,bias_span
L0_linear_no_bias,11,0.9967634489693312,0.5441859066859068,0.5357656232656232,10.0,0.6641525149654435,0.0,0.0
L0_linear_no_bias,23,0.9949115971174795,0.5698232323232323,0.5069597069597068,10.0,0.7782259447269498,0.0,0.0
L0_linear_no_bias,37,0.9213292716903475,0.5649891774891774,0.5802190864690865,0.01,0.08204050586060388,0.0,0.0
L1_linear_affine,11,0.9312395565165112,0.5579184704184704,0.5758297258297258,0.01,0.0792987396781396,4.839626697148874,3.9545821455246752
L1_linear_affine,23,0.8985211802679326,0.5597342472342473,0.5878697691197691,0.01,0.07938737887780548,4.995596226192942,4.23125033790851
L1_linear_affine,37,0.9142970468060572,0.5677308802308801,0.5951208513708514,0.01,0.07885442829836932,4.711548512156169,3.691007193775651
L2_same_w_lif_count,11,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.0792987396781396,0.0,0.0
L2_same_w_lif_count,23,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.07938737887780548,0.0,0.0
L2_same_w_lif_count,37,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.07885442829836932,0.0,0.0
L3_same_w_lif_continuous_bias,11,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.0792987396781396,1.9868654981314666,2.099510997533798
L3_same_w_lif_continuous_bias,23,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.07938737887780548,1.9868654981314666,2.099510997533798
L3_same_w_lif_continuous_bias,37,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.07885442829836932,1.9868654981314666,2.099510997533798
L4_same_w_lif_integer_bias,11,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.0792987396781396,0.0,2.0
L4_same_w_lif_integer_bias,23,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.07938737887780548,0.0,2.0
L4_same_w_lif_integer_bias,37,0.08333333333333333,0.08333333333333333,0.08333333333333333,,0.07885442829836932,0.0,2.0
