seed,class_index,linear_bias_logit,lif_count_bias_centered,lif_count_bias_nonnegative,lif_count_bias_integer
11,0,-1.7815222225561815,-0.0005053579807281494,1.6283564269542694,2
23,0,-1.7264262862738915,-0.0005053579807281494,1.6283564269542694,2
37,0,-1.5934789215399854,-0.0005053579807281494,1.6283564269542694,2
11,1,-1.806264646840192,-0.0630817711353302,1.5657800137996674,2
23,1,-1.7264402524744655,-0.0630817711353302,1.5657800137996674,2
37,1,-1.5197271073559557,-0.0630817711353302,1.5657800137996674,2
11,2,1.9622627196969986,0.35592541098594666,1.9847871959209442,2
23,2,1.8304678666439937,0.35592541098594666,1.9847871959209442,2
37,2,1.830013158286386,0.35592541098594666,1.9847871959209442,2
11,3,-0.3196252579454221,0.27555713057518005,1.9044189155101776,2
23,3,0.1271591755741297,0.27555713057518005,1.9044189155101776,2
37,3,-0.06879123709764949,0.27555713057518005,1.9044189155101776,2
11,4,-1.1548233175285236,0.14026996493339539,1.769131749868393,2
23,4,-1.9215429012494931,0.14026996493339539,1.769131749868393,2
37,4,-1.3348126635641642,0.14026996493339539,1.769131749868393,2
11,5,0.3433419319413378,0.27555713057518005,1.9044189155101776,2
23,5,0.1578764993355706,0.27555713057518005,1.9044189155101776,2
37,5,0.24535071840057432,0.27555713057518005,1.9044189155101776,2
11,6,-1.2587088181750958,0.47064921259880066,2.099510997533798,2
23,6,-1.3371952054231875,0.47064921259880066,2.099510997533798,2
37,6,-1.6216161930176987,0.47064921259880066,2.099510997533798,2
11,7,1.8730527227625506,0.2530103027820587,1.8818720877170563,2
23,7,1.8788553107062493,0.2530103027820587,1.8818720877170563,2
37,7,1.9130507721753423,0.2530103027820587,1.8818720877170563,2
11,8,2.1483174986844835,0.27555713057518005,1.9044189155101776,2
23,8,2.3097074366590173,0.27555713057518005,1.9044189155101776,2
37,8,2.0693910007579523,0.27555713057518005,1.9044189155101776,2
11,9,-1.0890971676039742,0.355925053358078,1.9847868382930756,2
23,9,-0.740918377617304,0.355925053358078,1.9847868382930756,2
37,9,-0.9686343345136323,0.355925053358078,1.9847868382930756,2
11,10,0.7660835063590802,-1.6288617849349976,0.0,0
23,10,0.7314393628918383,-1.6288617849349976,0.0,0
37,10,0.7412374965854058,-1.6288617849349976,0.0,0
11,11,0.316983051205279,-0.710002064704895,0.9188597202301025,1
23,11,0.4170173712274355,-0.710002064704895,0.9188597202301025,1
37,11,0.3080173108833964,-0.710002064704895,0.9188597202301025,1
