regularization,seed,sample_index,true_class,competitor_class,d_input,d_spike,d_leak,d_residual,analog_margin_unscaled
task_only,23,15,3,9,1.3155300243201413,-2.5,4.331629826106286,-0.5160998017861491,0.9302202010512701
task_only,23,27,10,2,2.9066563375836205,-0.5,3.7983029606979297,-0.3916466231143098,0.38673547143116593
task_only,23,43,9,2,0.06059106386431168,-0.5,0.13768751911535926,0.4229035447489564,0.04284435213776305
task_only,23,47,4,8,0.6189944248493973,-0.5,1.0079779396603898,0.11101648518900645,0.437695155327674
task_only,23,49,1,8,2.2992039453665125,-3.5,5.622993561997366,0.1762103833691469,0.2004577821062412
task_only,23,76,1,9,9.26665318142545,-0.5,9.51446234737276,0.2521908340526957,2.5179230936337262
task_only,23,83,6,5,3.4051647698898324,-0.5,4.071479618947121,-0.1663148490572898,0.1361233226270997
task_only,23,90,7,3,11.702773058410852,-1.0,12.641019375874134,0.061753682536717425,0.08837845172092784
task_only,23,120,11,6,1.891568190703806,-1.0,3.132739583008512,-0.24117139230470763,1.3375406947234296
task_only,23,121,9,3,3.8973279638391016,-1.0,4.475241894710722,0.4220860691283769,2.225240577281511
task_only,23,123,10,2,1.424449030353835,-1.0,2.1181761816864566,0.30627284866737936,0.14937879992066883
task_only,23,124,8,0,1.4174320024095972,0.0,1.0375326691580915,0.3798993332515057,0.46412605233490467
