label_idx,label,samples,mean_embedding_cosine_similarity,mean_embedding_cosine_distance,prediction_agreement
0,A,11,0.9476141252798307,0.052385874720169395,0.45454545454545453
1,B,9,0.9603787349415123,0.03962126505848768,0.2222222222222222
2,C,12,0.9394342918958033,0.06056570810419662,0.25
3,D,11,0.9460513395554616,0.05394866044453847,0.45454545454545453
4,E,12,0.9483144607246651,0.05168553927533504,0.6666666666666666
5,G,12,0.9609926177135572,0.03900738228644277,0.16666666666666666
6,H,12,0.9650179628176848,0.03498203718231525,0.4166666666666667
7,I,11,0.958670369198956,0.041329630801043966,0.2727272727272727
8,J,12,0.9510630910082667,0.048936908991733176,0.5
9,K,12,0.9601605921802275,0.03983940781977265,0.16666666666666666
10,L,6,0.9498626314115692,0.05013736858843073,0.0
11,X,7,0.9637269496490294,0.03627305035097058,0.42857142857142855
