transition,count,fraction
reference_wrong -> query_wrong,110,0.8661417322834646
reference_correct -> query_wrong,9,0.07086614173228346
reference_wrong -> query_correct,6,0.047244094488188976
reference_correct -> query_correct,2,0.015748031496062992
