seed,feature_dim,input_feature_dim,pca_explained_variance_ratio_sum,probe_C,probe_test_accuracy,probe_test_balanced_accuracy,probe_test_macro_f1,probe_type,probe_val_balanced_accuracy,representation
11,30,30,,1.0,0.4657534246575342,0.4569236319236319,0.4216372516372516,full_count,0.3678391053391053,raw
11,480,480,,0.1,0.5547945205479452,0.548475135975136,0.5372171762394753,fixed250_ordered,0.5872895622895623,raw
11,480,480,,0.1,0.2534246575342466,0.2509393384393384,0.23807374446593457,fixed250_shuffled,0.27666546416546417,raw
11,128,480,0.926712155342102,1.0,0.5136986301369864,0.5009844322344322,0.48378218125926997,fixed250_pca128,0.5729737854737854,raw
11,300,300,,0.01,0.7602739726027398,0.739481351981352,0.745278773202482,relative10_ordered,0.6227392977392977,raw
11,300,300,,10.0,0.1780821917808219,0.17309496059496057,0.1612691570881226,relative10_shuffled,0.26879509379509375,raw
11,128,300,0.8723031282424927,1.0,0.7328767123287672,0.7194028194028194,0.7336236233685853,relative10_pca128,0.6014790764790764,raw
11,128,128,,1.0,0.5273972602739726,0.5139554889554888,0.5018936867962301,full_count,0.5423340548340548,snn_l2
11,2048,2048,,0.01,0.6575342465753424,0.642110667110667,0.6354867189266167,fixed250_ordered,0.5880411255411254,snn_l2
11,2048,2048,,0.01,0.541095890410959,0.5259421134421134,0.5265780880171826,fixed250_shuffled,0.48783670033670035,snn_l2
11,128,2048,0.9203875064849854,0.1,0.6164383561643836,0.59885878010878,0.6109119833173984,fixed250_pca128,0.5505411255411256,snn_l2
11,1280,1280,,0.01,0.7397260273972602,0.7153339715839716,0.7174285682496636,relative10_ordered,0.6473063973063974,snn_l2
11,1280,1280,,0.001,0.5547945205479452,0.5393210955710955,0.5414453049059311,relative10_shuffled,0.5118807118807118,snn_l2
11,128,1280,0.89406418800354,0.01,0.7054794520547946,0.6767718392718393,0.6808561988716507,relative10_pca128,0.5872594997594998,snn_l2
11,158,158,,0.1,0.6232876712328768,0.6027278277278276,0.5904555433880457,full_count,0.5882094757094757,raw_plus_snn
11,2528,2528,,0.1,0.678082191780822,0.6647408147408146,0.6678221689704,fixed250_ordered,0.600583213083213,raw_plus_snn
11,2528,2528,,1.0,0.4589041095890411,0.4451201576201576,0.4484798990243292,fixed250_shuffled,0.54006734006734,raw_plus_snn
11,128,2528,0.8916824460029602,10.0,0.589041095890411,0.574688505938506,0.5756340867021982,fixed250_pca128,0.5399350649350648,raw_plus_snn
11,1580,1580,,0.01,0.773972602739726,0.7503267565767566,0.7499412701184484,relative10_ordered,0.6764790764790765,raw_plus_snn
11,1580,1580,,0.001,0.5342465753424658,0.5163683538683539,0.5088253778385358,relative10_shuffled,0.5049362674362675,raw_plus_snn
11,128,1580,0.8461883068084717,0.01,0.726027397260274,0.7046557609057609,0.717822779167022,relative10_pca128,0.6256854256854257,raw_plus_snn
11,1,1,,0.001,0.1232876712328767,0.1130952380952381,0.03377882599580713,duration_only,0.13194444444444445,duration_only
23,30,30,,1.0,0.4657534246575342,0.4569236319236319,0.4216372516372516,full_count,0.3678391053391053,raw
23,480,480,,0.1,0.5547945205479452,0.548475135975136,0.5372171762394753,fixed250_ordered,0.5872895622895623,raw
23,480,480,,0.1,0.2534246575342466,0.2509393384393384,0.23807374446593457,fixed250_shuffled,0.27666546416546417,raw
23,128,480,0.926712155342102,1.0,0.5136986301369864,0.5009844322344322,0.48378218125926997,fixed250_pca128,0.5729737854737854,raw
23,300,300,,0.01,0.7602739726027398,0.739481351981352,0.745278773202482,relative10_ordered,0.6227392977392977,raw
23,300,300,,10.0,0.1780821917808219,0.17309496059496057,0.1612691570881226,relative10_shuffled,0.26879509379509375,raw
23,128,300,0.8723031282424927,1.0,0.7328767123287672,0.7194028194028194,0.7336236233685853,relative10_pca128,0.6014790764790764,raw
23,128,128,,10.0,0.547945205479452,0.5378399378399378,0.5225037677699504,full_count,0.5326899951899952,snn_l2
23,2048,2048,,1.0,0.6164383561643836,0.5990842490842491,0.5986990634587889,fixed250_ordered,0.5996572871572871,snn_l2
23,2048,2048,,1.0,0.4863013698630137,0.46561771561771564,0.46936572694977263,fixed250_shuffled,0.4821969696969697,snn_l2
23,128,2048,0.922681987285614,0.01,0.6164383561643836,0.5970619658119658,0.5910318241950392,fixed250_pca128,0.4966329966329967,snn_l2
