probe_type,n_runs,mean_snn_minus_raw_test_ba,sd_snn_minus_raw_test_ba,mean_fusion_minus_raw_test_ba,sd_fusion_minus_raw_test_ba,mean_fusion_minus_snn_test_ba,sd_fusion_minus_snn_test_ba,mean_snn_minus_raw_val_ba,sd_snn_minus_raw_val_ba,mean_fusion_minus_raw_val_ba,sd_fusion_minus_raw_val_ba
fixed250_ordered,3,0.07746998371998366,0.023422438296115324,0.08338998963998952,0.02988701909400341,0.005920005920005855,0.03140135539638188,-0.01585898669232011,0.03926218049283458,-0.0009279300945967591,0.03439362731763329
fixed250_pca128,3,0.08488733488733484,0.02095734498374818,0.06379777629777628,0.013384732644588521,-0.02108955858955856,0.0280844731427117,-0.059605980439313665,0.032246258285249366,-0.04717412217412211,0.025110663251085262
fixed250_shuffled,3,0.23015225515225515,0.039458821056645894,0.2077219077219077,0.01736566501603715,-0.02243034743034746,0.054291980284037575,0.2136704345037678,0.009634778401028816,0.2329345037678371,0.034200306096249494
full_count,3,0.10231319606319601,0.05896699423734271,0.1314703814703814,0.032461552366419746,0.02915718540718537,0.053504090583802205,0.170302228635562,0.004943688998706412,0.18270803270803274,0.03365981139489389
relative10_ordered,3,-0.057481407481407544,0.03544747837481022,-0.012755994005993995,0.02678607566791334,0.044725413475413554,0.03880962836779258,0.011970899470899502,0.014148272410284542,0.049021965688632374,0.00871862576221177
relative10_pca128,3,-0.058785658785658744,0.033781584578089434,-0.025933325933325906,0.010213551860729512,0.032852332852332834,0.034255034240357446,-0.011333573833573732,0.0067061008098922145,0.037862754529421304,0.015150848671243139
relative10_shuffled,3,0.3798914048914049,0.020239238999446997,0.3725711788211788,0.03049387912223148,-0.007320226070226088,0.013547239801660843,0.2337161295494629,0.008261726585987388,0.23326519159852502,0.002564348498997778
