representation,probe_type,n_runs,mean_probe_val_balanced_accuracy,sd_probe_val_balanced_accuracy,mean_probe_test_balanced_accuracy,sd_probe_test_balanced_accuracy,mean_probe_test_macro_f1,sd_probe_test_macro_f1,mean_probe_test_accuracy,sd_probe_test_accuracy
duration_only,duration_only,1,0.13194444444444445,0.0,0.1130952380952381,0.0,0.03377882599580713,0.0,0.1232876712328767,0.0
raw,fixed250_ordered,1,0.5872895622895623,0.0,0.548475135975136,0.0,0.5372171762394753,0.0,0.5547945205479452,0.0
raw,fixed250_pca128,1,0.5729737854737854,0.0,0.5009844322344322,0.0,0.48378218125926997,0.0,0.5136986301369864,0.0
raw,fixed250_shuffled,1,0.27666546416546417,0.0,0.2509393384393384,0.0,0.23807374446593457,0.0,0.2534246575342466,0.0
raw,full_count,1,0.3678391053391053,0.0,0.4569236319236319,0.0,0.4216372516372516,0.0,0.4657534246575342,0.0
raw,relative10_ordered,1,0.6227392977392977,0.0,0.739481351981352,0.0,0.745278773202482,0.0,0.7602739726027398,0.0
raw,relative10_pca128,1,0.6014790764790764,0.0,0.7194028194028194,0.0,0.7336236233685853,0.0,0.7328767123287672,0.0
raw,relative10_shuffled,1,0.26879509379509375,0.0,0.17309496059496057,0.0,0.1612691570881226,0.0,0.1780821917808219,0.0
raw_plus_snn,fixed250_ordered,3,0.5863616321949655,0.03439362731763329,0.6318651256151254,0.02988701909400341,0.6341798170527375,0.02990724600409665,0.6484018264840183,0.027681177289913567
raw_plus_snn,fixed250_pca128,3,0.5257996632996633,0.025110663251085262,0.5647822085322085,0.013384732644588521,0.5675084582816236,0.01922335622817864,0.5799086757990869,0.015817815594236322
raw_plus_snn,fixed250_shuffled,3,0.5095999679333012,0.034200306096249494,0.4586612461612461,0.01736566501603715,0.4657990444573352,0.017316500893399776,0.4748858447488584,0.01723706492070946
raw_plus_snn,full_count,3,0.5505471380471381,0.03365981139489389,0.5883940133940132,0.032461552366419746,0.5831193140978002,0.03675053082742295,0.6073059360730594,0.03378686891997427
raw_plus_snn,relative10_ordered,3,0.6717612634279301,0.00871862576221177,0.726725357975358,0.02678607566791334,0.7284296721864676,0.02413203447306505,0.7465753424657535,0.03138750475997152
raw_plus_snn,relative10_pca128,3,0.6393418310084976,0.015150848671243137,0.6934694934694935,0.010213551860729512,0.703006517869162,0.014220806718464275,0.7100456621004567,0.014257986297713233
raw_plus_snn,relative10_shuffled,3,0.5020602853936188,0.002564348498997778,0.5456661394161394,0.03049387912223148,0.5420829554095753,0.03242237313220724,0.5639269406392694,0.030885272279608876
snn_l2,fixed250_ordered,3,0.5714305755972422,0.03926218049283458,0.6259451196951197,0.023422438296115324,0.625301504898928,0.02324815940325143,0.641552511415525,0.02201746749085148
snn_l2,fixed250_pca128,3,0.5133678050344718,0.032246258285249366,0.585871767121767,0.02095734498374818,0.5898398542364472,0.02169268911902164,0.6027397260273973,0.023726723391354516
snn_l2,fixed250_shuffled,3,0.49033589866923205,0.009634778401028816,0.4810915935915936,0.039458821056645894,0.48553757515918616,0.03580714210572636,0.49771689497716903,0.03894685413066667
snn_l2,full_count,3,0.5381413339746673,0.004943688998706412,0.559236827986828,0.05896699423734271,0.5504522855418568,0.06705369503469849,0.5730593607305936,0.06214912141011965
snn_l2,relative10_ordered,3,0.6347101972101972,0.014148272410284542,0.6819999444999444,0.03544747837481023,0.6900952679496476,0.02965612807132318,0.7009132420091323,0.04128571077631307
snn_l2,relative10_pca128,3,0.5901455026455026,0.0067061008098922145,0.6606171606171606,0.033781584578089434,0.6664201413693474,0.030228082984558764,0.682648401826484,0.039544538985590835
snn_l2,relative10_shuffled,3,0.5025112233445567,0.008261726585987388,0.5529863654863655,0.020239238999446997,0.5522811517537219,0.018641574401170057,0.5707762557077626,0.022017467490851518
