architecture,training_family,regularization,seed,layer,shift,tau_syn_ms,valid_firing_fraction,valid_spikes_per_neuron_second,active_neuron_sample_fraction,p32_violation_fraction,p84_violation_fraction,mean_max_run_length,p95_max_run_length,global_max_run_length
34x45,e2e_wc,task_plus_reg,11,L1,3,117.0136826471659,0.0049145232770046385,0.31452948972829686,0.16106592465753425,0.00012468166383701188,0.00034502262443438913,0.1857876712328767,1.0,8
34x45,e2e_wc,task_plus_reg,11,L1,4,242.10347130039656,0.024013471255798544,1.5368621603711068,0.3175299657534247,0.00308786078098472,0.008355486425339367,0.575021404109589,2.0,47
34x45,e2e_wc,task_plus_reg,11,L2,4,242.10347130039656,0.08909175157388999,5.701872100728959,0.4498073630136986,0.05492359932088285,0.0741289592760181,4.703767123287672,28.0,107
34x45,e2e_wc,task_plus_reg,11,L2,5,492.1461612435418,0.16067656560636182,10.283300198807156,0.5226883561643836,0.1237929753820034,0.1484445701357466,10.204302226027398,54.0,108
