architecture,training_family,regularization,seed,layer,shift,tau_syn_ms,valid_firing_fraction,valid_spikes_per_neuron_second,active_neuron_sample_fraction,p32_violation_fraction,p84_violation_fraction,mean_max_run_length,p95_max_run_length,global_max_run_length
34x345,e2e_wc,task_only,23,L1,3,117.0136826471659,0.00804936008946322,0.5151590457256461,0.22549229452054795,0.00023742572156196945,0.0006009615384615385,0.269798801369863,1.0,10
34x345,e2e_wc,task_only,23,L1,4,242.10347130039656,0.042032958499005964,2.6901093439363817,0.3924443493150685,0.007882799235993209,0.018908371040723983,0.9820205479452054,4.0,64
34x345,e2e_wc,task_only,23,L2,3,117.0136826471659,0.11954821458843837,7.6510857336600555,0.5528830837846448,0.07655269080428002,0.10204777438703568,6.3227142402038865,34.0,99
34x345,e2e_wc,task_only,23,L2,4,242.10347130039656,0.2031050133308675,12.99872085317552,0.6597642561325263,0.15566391597899476,0.18809218141639483,12.616916215355209,56.0,105
34x345,e2e_wc,task_only,23,L2,5,492.1461612435418,0.2738114961027486,17.52393575057591,0.6461187214611872,0.23398617511520736,0.264664942900237,19.10746901500326,72.0,107
