label_idx,label,test_samples,intra_cosine_distance
0,A,11,0.07092342151415987
1,B,9,0.04496056093390188
2,C,12,0.06717890401893989
3,D,11,0.07499604388127168
4,E,12,0.04400185697872416
5,G,12,0.0546285913831871
6,H,12,0.08247740635489464
7,I,11,0.06362524593107688
8,J,12,0.11117956178422916
9,K,12,0.08071198358865284
10,L,6,0.07353341234747579
11,X,7,0.10384131014781262
