condition,front_end,ff_width,seed,epoch,train_objective_loss,train_phase_ce,train_progress_loss,train_phase_balanced_accuracy,train_progress_sample_balanced_mae,val_objective_loss,val_phase_ce,val_progress_loss,val_phase_balanced_accuracy,val_progress_sample_balanced_mae
direct_rsnn64,direct,0,11,1,2.412480629249612,2.3572031278002896,0.0552775123174239,0.1015057505394387,0.2851227844028177,2.264397542923689,2.226207733154297,0.038189809769392,0.1172335311488036,0.2365803491501581
direct_rsnn64,direct,0,11,2,2.2384296944958004,2.2002021490809427,0.0382275988320578,0.1360434705418262,0.2326221728694213,2.182431798428297,2.1456148624420166,0.0368169359862804,0.1500052836235081,0.229665408058772
direct_rsnn64,direct,0,11,3,2.159308933349977,2.1199461498687278,0.0393628219844654,0.1722100384452042,0.2366470149790358,2.135331489145756,2.1016345024108887,0.033696986734867,0.1669643049490159,0.2189737955729166
direct_rsnn64,direct,0,11,4,2.107520317661988,2.073301854519344,0.0342184811407337,0.1943381967271966,0.2185047891587275,2.0980227142572403,2.06388258934021,0.0341401249170303,0.1802109040098686,0.2190128810822017
direct_rsnn64,direct,0,11,5,2.063320236238884,2.030143818633692,0.0331764365586479,0.1993553818060455,0.2132582721940006,2.068169750273228,2.0363380908966064,0.0318316593766212,0.1890631675368226,0.2097830393957713
direct_rsnn64,direct,0,11,6,2.0250438486647484,1.994153626609382,0.030890255211091,0.2141940415730323,0.2044857126915516,2.051153192296624,2.020517349243164,0.0306358430534601,0.2036564744482527,0.2044140951974051
direct_rsnn64,direct,0,11,7,1.9966729062764863,1.9665284913911671,0.0301444173122078,0.2319960804977354,0.2016979634454041,2.033521953970194,2.0036277770996094,0.0298941768705844,0.2122310997793121,0.2008181223793635
direct_rsnn64,direct,0,11,8,1.969014305461089,1.9395838393196592,0.0294304744095225,0.2362703434346214,0.1986792067036981,2.015814257785678,1.98639452457428,0.0294197332113981,0.2141252230547742,0.1979562819950164
direct_rsnn64,direct,0,11,9,1.94723964476134,1.918512290808502,0.0287273137023906,0.2408129651210243,0.1953059145587652,2.0022541135549545,1.972734808921814,0.0295193046331405,0.2172455344657802,0.1980261424231151
direct_rsnn64,direct,0,11,10,1.928143766578832,1.8996580761188893,0.0284856908735073,0.2526632432187513,0.1942667969327785,1.9923333637416365,1.9638121128082275,0.0285212509334087,0.2212585411136773,0.1943318503243582
direct_rsnn64,direct,0,11,11,1.905515264520957,1.877685238285032,0.0278299919549189,0.2608515754708943,0.1921654732420194,1.9710509479045868,1.943094253540039,0.0279566943645477,0.2300902769764398,0.1927145851982964
direct_rsnn64,direct,0,11,12,1.891017013080354,1.8635275487029817,0.0274894495018583,0.2691348857423012,0.1907089072537709,1.9599848166108127,1.932121992111206,0.027862824499607,0.2342765799076585,0.1917322249639602
direct_rsnn64,direct,0,11,13,1.8719412937837296,1.8450980340347027,0.0268432700400611,0.2734999081783701,0.1879534417708851,1.951633166521788,1.9242771863937376,0.0273559801280498,0.2383548550315752,0.1898641434926835
direct_rsnn64,direct,0,11,14,1.8516129786709703,1.8251677538154456,0.0264452480279845,0.2807943053455918,0.1865337916782924,1.9415104892104864,1.914186954498291,0.0273235347121953,0.246017371153242,0.1898041074238126
direct_rsnn64,direct,0,11,15,1.8385464944035173,1.8123834252152304,0.0261630660945649,0.2870824035065804,0.1853400983826839,1.9250363446772096,1.898430347442627,0.0266059972345829,0.2458290466980091,0.1873600974915519
direct_rsnn64,direct,0,11,16,1.8212794455316517,1.7954681198691338,0.0258113403681171,0.2895950029968159,0.1838863064212766,1.9228719007223845,1.896110773086548,0.0267611276358366,0.2479875571273243,0.1878081579056997
direct_rsnn64,direct,0,11,17,1.8071800691946036,1.7816058596317206,0.0255742183086588,0.2970744538666738,0.1828112052352826,1.9074621330946684,1.8811630010604856,0.0262991320341825,0.247816607260806,0.1862085433233352
direct_rsnn64,direct,0,11,18,1.7943518291036766,1.7691041690757476,0.0252476779843412,0.2997387968314728,0.1815104394279125,1.9039655979722736,1.8775898218154907,0.0263757761567831,0.2509259896600747,0.1865724987453884
direct_rsnn64,direct,0,11,19,1.77929675599589,1.7544279572475387,0.0248687850430017,0.305109640610561,0.1796035930745162,1.904682945460081,1.8786383867263796,0.0260445587337017,0.2488907165295368,0.1847804992917984
direct_rsnn64,direct,0,11,20,1.7642252927392772,1.7397661287074655,0.024459163470774,0.3108507723148805,0.1777213879583624,1.9006722550839183,1.8744069337844849,0.0262653212994337,0.2539698938910344,0.1860757706657288
direct_rsnn64,direct,0,11,21,1.7506263935217143,1.7264114117663412,0.0242150087396833,0.3181341102952429,0.1765014661568988,1.888837585225701,1.8630379438400269,0.0257996413856744,0.2517736579681902,0.1841034056648375
direct_rsnn64,direct,0,11,22,1.7369273644511345,1.7131023634731668,0.0238250017409788,0.3211116982598991,0.1747173319174788,1.8884138576686385,1.8629307746887207,0.0254830829799175,0.2533166601952991,0.1824724409315321
direct_rsnn64,direct,0,11,23,1.7248329076011908,1.7013104932443617,0.023522430367242,0.3226047348738485,0.1731445276388408,1.9015547838062048,1.8753821849823,0.0261725988239049,0.2532975144462838,0.1858886082967122
direct_rsnn64,direct,0,11,24,1.7158394026058676,1.6925895273582865,0.0232498743563326,0.3287835297986091,0.1717786066708589,1.897767812013626,1.871786117553711,0.0259816944599151,0.2513839608699588,0.1851162986149863
direct_rsnn64,direct,0,11,25,1.704709344394441,1.6817313143390389,0.0229780024940247,0.3289638989934636,0.1704870197736047,1.8878956213593483,1.8627854585647583,0.0251101627945899,0.2627414736655758,0.1807803048027886
direct_rsnn64,direct,0,11,26,1.696022461080305,1.6731867632233952,0.0228356873767254,0.3313859993948155,0.1695833189762398,1.9311884846538303,1.903773546218872,0.0274149384349584,0.255164473996438,0.1912665442814902
direct_rsnn64,direct,0,11,27,1.6845016186085502,1.661908436355,0.0225931807307337,0.342510061359348,0.1682126476924719,1.882413424551487,1.857115387916565,0.025298036634922,0.2657045370241909,0.1815457419743613
direct_rsnn64,direct,0,11,28,1.679153422070042,1.656698618000838,0.0224548059382608,0.3400079939894613,0.1675607415361782,1.9111649133265016,1.8851187229156492,0.0260461904108524,0.2579813255789729,0.1849143315875341
direct_rsnn64,direct,0,11,29,1.674635761165783,1.6522818280579503,0.0223539456109582,0.3409533597493357,0.166842099516404,1.9261812679469583,1.899604320526123,0.0265769474208354,0.2580303024654329,0.1880614416939871
direct_rsnn64,direct,0,11,30,1.6681351932519068,1.645897732749453,0.0222374588898711,0.3460271934509623,0.1667754342346716,1.8849525060504675,1.860019326210022,0.0249331798404455,0.2596513389828283,0.1803833492218502
direct_rsnn64,direct,0,11,31,1.6584200021937463,1.6365036806428288,0.0219163030174379,0.3502066707502428,0.1652843833174845,1.9204227477312088,1.8937463760375977,0.0266763716936111,0.2579021770632609,0.1888723070659334
direct_rsnn64,direct,0,11,32,1.6578866793243487,1.6359530990997813,0.021933553426201,0.3446860622347417,0.1653293012136436,1.9088469222188,1.8841596841812132,0.0246872380375862,0.2628135726409181,0.1790063797481476
direct_rsnn64,direct,0,11,33,1.6544081883668489,1.6328455443636685,0.0215626272714332,0.3475792518489676,0.1634456401437572,1.9085917845368383,1.8826842308044436,0.0259075537323951,0.2556221980041537,0.1857461929321289
direct_rsnn64,direct,0,11,34,1.6551425315426878,1.6336888366229767,0.021453715248511,0.3431385825100798,0.1629254395292876,1.948259875178337,1.922433614730835,0.0258262604475021,0.2614389802037496,0.1844566133287218
direct_rsnn64,direct,0,11,35,1.6602676895522417,1.6387782718556678,0.0214894005576735,0.39802709496561,0.1632807267102029,1.905240211635828,1.880970120429993,0.0242700912058353,0.3378925264501581,0.1776861917404901
direct_rsnn64,direct,0,11,36,1.6622507112571991,1.640914607376322,0.0213361196059624,0.4139230838021399,0.1630309165652565,1.9511859063059087,1.9251190423965452,0.0260668639093637,0.3314150720054761,0.1863610101124597
direct_rsnn64,direct,0,11,37,1.661184541534844,1.639801072992269,0.0213834629834929,0.4093201061021678,0.1632826439074517,1.9135737549513576,1.8898526430130005,0.0237211119383573,0.3376392081484476,0.175424818008665
direct_rsnn64,direct,0,11,38,1.6726948400372688,1.651526665318238,0.0211681485842919,0.4060608899418881,0.1623936963368611,1.9719657972455025,1.945823311805725,0.0261424854397773,0.333110990623206,0.1867880442785838
direct_rsnn64,direct,0,11,39,1.668403375169291,1.6473568493240671,0.021046491599483,0.4072813865770451,0.1615612437105425,1.92605447396636,1.901893973350525,0.0241605006158351,0.3373258189443178,0.1776261405339316
direct_rsnn64,direct,0,11,40,1.6877702882901322,1.6664308188499148,0.0213394766311175,0.3983453983828532,0.1636797466704849,1.9458343293517828,1.92055344581604,0.0252808835357427,0.3416800387899933,0.1823999919588603
