condition,seed,delta_phase_ba,delta_progress_mae,delta_spearman,delta_violation
linear64_rsnn64,11,0.01758011459390718,-0.0049640263290438025,0.024497028217743577,-0.016825817129746123
linear64_rsnn64,23,0.010922651470929967,0.0049075730502197296,0.01561238677032395,-0.011384974820749627
linear64_rsnn64,37,0.0005348336277652965,0.001849247117156852,-0.003187174139569815,0.01265016215300313
linear64_rsnn64,53,-0.006999017673415264,0.0029054076908386073,-0.019681395843393457,0.01387353234298594
linear64_rsnn64,71,-0.004471706958676935,0.0005713868631075647,0.01746827689363961,0.01228886292183512
ffsnn64_rsnn64,11,0.004992546346362925,-0.004646404021202699,0.004937492271980148,-0.035212964003104086
ffsnn64_rsnn64,23,-0.010573997759526166,0.004323564622908435,-0.0024194532867880536,-0.018688757758110464
ffsnn64_rsnn64,37,-0.00777880509053297,-0.003081803631088509,0.004229657350859117,-0.027950602990057638
ffsnn64_rsnn64,53,-0.016983403305893374,0.004139231543426658,-0.02544180605377533,0.004138249375744862
ffsnn64_rsnn64,71,0.0008595423717017159,-0.002648896371869186,0.02241635815162013,-0.02221860696196437
ffsnn128_rsnn64,11,0.0009008046316054119,-0.00417225315452438,0.005953412505852462,-0.019763198317812813
ffsnn128_rsnn64,23,-0.0022700390585355668,-0.0014745958455621294,0.01874994851647216,-0.0317352669969066
ffsnn128_rsnn64,37,-7.726359301490904e-05,-0.002601571585217566,-0.0023052862204859803,-0.012611942330656212
ffsnn128_rsnn64,53,-0.004381365823655448,0.00023768439072452408,-0.023753650756086153,-0.0022948383832636088
ffsnn128_rsnn64,71,0.001796261543386135,-0.0060256614974916745,0.013608099880939362,-0.023060738317416785
