condition,front_end,ff_width,rsnn_width,seed,parameter_count,recurrent_parameter_count,source,effective_dimension,hidden_width,n_valid_timesteps,pca90_dimension,total_variance
direct_rsnn64,direct,0,64,11,13003,4096,reused_exp5_3_2_2_h64,4.428736231250684,64,12072,16,104.42758196394749
direct_rsnn64,direct,0,64,23,13003,4096,reused_exp5_3_2_2_h64,4.734316158355801,64,12072,16,107.93938082907653
direct_rsnn64,direct,0,64,37,13003,4096,reused_exp5_3_2_2_h64,4.14185410038916,64,12072,15,106.14833525577251
direct_rsnn64,direct,0,64,53,13003,4096,reused_exp5_3_2_2_h64,4.018974984559411,64,12072,15,111.68233151316485
direct_rsnn64,direct,0,64,71,13003,4096,reused_exp5_3_2_2_h64,3.87330709486054,64,12072,15,106.73828360589593
linear64_rsnn64,linear,64,64,11,17099,4096,trained_exp5_3_2_3,3.6320681081043786,64,12072,11,101.20454126804084
linear64_rsnn64,linear,64,64,23,17099,4096,trained_exp5_3_2_3,3.0156248226362483,64,12072,9,110.67960371350657
linear64_rsnn64,linear,64,64,37,17099,4096,trained_exp5_3_2_3,3.1731032141758293,64,12072,10,95.44204886748231
linear64_rsnn64,linear,64,64,53,17099,4096,trained_exp5_3_2_3,3.4509956174386875,64,12072,10,102.8540459090967
linear64_rsnn64,linear,64,64,71,17099,4096,trained_exp5_3_2_3,3.346765394525334,64,12072,11,100.82223664864651
ffsnn64_rsnn64,ff_snn,64,64,11,17099,4096,trained_exp5_3_2_3,3.147431781668702,64,12072,11,115.94996955716883
ffsnn64_rsnn64,ff_snn,64,64,23,17099,4096,trained_exp5_3_2_3,3.0023144531430184,64,12072,12,95.8684857477124
ffsnn64_rsnn64,ff_snn,64,64,37,17099,4096,trained_exp5_3_2_3,3.1041164635262404,64,12072,13,102.4454540623442
ffsnn64_rsnn64,ff_snn,64,64,53,17099,4096,trained_exp5_3_2_3,3.8513441188584996,64,12072,13,108.76204812341186
ffsnn64_rsnn64,ff_snn,64,64,71,17099,4096,trained_exp5_3_2_3,3.398701995176615,64,12072,14,104.53859314039005
ffsnn128_rsnn64,ff_snn,128,64,11,29387,4096,trained_exp5_3_2_3,3.3966600101721744,64,12072,15,96.99806203485981
ffsnn128_rsnn64,ff_snn,128,64,23,29387,4096,trained_exp5_3_2_3,2.853961566500267,64,12072,12,126.19830277458914
ffsnn128_rsnn64,ff_snn,128,64,37,29387,4096,trained_exp5_3_2_3,3.110309479847172,64,12072,12,126.8985722414638
ffsnn128_rsnn64,ff_snn,128,64,53,29387,4096,trained_exp5_3_2_3,3.522215088147739,64,12072,14,117.51150218623118
ffsnn128_rsnn64,ff_snn,128,64,71,29387,4096,trained_exp5_3_2_3,3.0686797735921303,64,12072,12,112.10673721119255
